¬ Comments are marked with whatever character this is at the start
¬ There must be a comment on the first line if tag delimeters and comments are included in the rest of the file
{strat}					Strategy menu		¬ Mid line comment, just to test
{strat_ed}					Strategy editor menu
{toggle_overlays}			Toggle Colour Overlays
{dec_formation}				Decrease formation width
{inc_formation}				Increase formation width
{inc_xp}					Increase Experience (-cheat enabled)
{dec_xp}					Decrease Experience (-cheat enabled)
{toggle_sfx}				Toggle Sound Effects
{toggle_music}				Toggle Music
{toggle_auto_link_up}		Toggle Automatic Linking Up of Selected Unit(s)
{toggle_unit_visibility}	Toggle display of unseen units
{unit_info_toggle}			Toggle Unit information dislay
{dec_rotation}				Rotate unit clockwise
{inc_rotation}				Rotate unit anti-clockwise
{intellizoom}				Close up of the action
{show_console}				Show Debug Console
{toggle_formation_tightness}		Toggle unit formation (tight/loose)
{toggle_fire_at_will}			Toggle fire at will
{toggle_skirmish}				Toggle skirmish
{toggle_defend}				Toggle guard mode
{toggle_special_ability}			Toggle special unit ability
{order_withdraw}				Withdraw
{construction_button}			Open construction scroll
{recruitment_button}			Open recruitment scroll
{diplomacy_overview_button}		Open diplomacy overview scroll
{finances_button}				Open finances overview scroll
{senate_button}				Open Senate overview scroll
{faction_button}				Open faction overview scroll

¬****************************************************************************************
¬****************************************************************************************
¬*
¬*			THIS FILE GONE FOR LOCALISATION!!!
¬*		ALL CHANGES & ADDITIONS MADE POST THE DATE SPECIFIED 
¬*			BELOW MUST GO UNDERNEATH THIS DIVIDER!!!
¬*
¬***** Changes made after 22/03/2004 17:30:00
¬*
¬****************************************************************************************
¬****************************************************************************************

{toggle_cam_mode}				Toggle between TotalWar camera and RTS cmera

¬****************************************************************************************
¬****************************************************************************************
¬*
¬*			THIS FILE GONE FOR LOCALISATION!!!
¬*		ALL CHANGES & ADDITIONS MADE POST THE DATE SPECIFIED 
¬*			BELOW MUST GO UNDERNEATH THIS DIVIDER!!!
¬*
¬***** Changes made after 21/04/2004 17:30:00
¬*
¬****************************************************************************************
¬****************************************************************************************

{default}			Default Setup
{fps}				FPS Style Setup

¬****************************************************************************************
¬****************************************************************************************
¬*
¬*			THIS FILE GONE FOR LOCALISATION!!!
¬*		ALL CHANGES & ADDITIONS MADE POST THE DATE SPECIFIED 
¬*			BELOW MUST GO UNDERNEATH THIS DIVIDER!!!
¬*
¬***** Changes made after 13/05/2004 09:00:00
¬*
¬****************************************************************************************
¬****************************************************************************************

{next_brush}		Select Next Brush
{prev_brush}		Select Previous Brush
{battle_replay}		Battle replay
{toggle_cam_mode}		Toggle between Total War camera and RTS camera
{toggle_move_fast}	Toggle Camera Speed
{battle_details_tool}	Set Battle Details
{edit_armies_tool}	Create Army Mode
{edit_units_tool}		Edit Unit Mode
{deployment_area_tool}	Deployment Area Mode
{heights_tool}		Set Heights Mode	
{textures_tool}		Set Textures Mode
{place_settlements_tool}	Place Settlements Mode
{place_models_tool}		Place Models Mode
{victory_conditions_tool}	Edit Victory Conditions Dialog
{roads_tool}		Edit Roads Mode
{update_trees_tool}	Update Vegetation
{options_button}		Show Ingame Options

¬****************************************************************************************
¬****************************************************************************************
¬*
¬*			THIS FILE GONE FOR LOCALISATION!!!
¬*		ALL CHANGES & ADDITIONS MADE POST THE DATE SPECIFIED 
¬*			BELOW MUST GO UNDERNEATH THIS DIVIDER!!!
¬*
¬***** Changes made after 03/06/2004 16:48:00
¬*
¬****************************************************************************************
¬****************************************************************************************

¬****************************************************************************************
¬****************************************************************************************
¬*
¬*			THIS FILE GONE FOR LOCALISATION!!!
¬*		ALL CHANGES & ADDITIONS MADE POST THE DATE SPECIFIED 
¬*			BELOW MUST GO UNDERNEATH THIS DIVIDER!!!
¬*
¬***** Changes made after 17/06/2004 13:01:00
¬*
¬****************************************************************************************
¬****************************************************************************************

{unit_info_toggle}			Toggle Unit information display

¬****************************************************************************************
¬****************************************************************************************
¬*
¬*			THIS FILE GONE FOR LOCALISATION!!!
¬*		ALL CHANGES & ADDITIONS MADE POST THE DATE SPECIFIED 
¬*			BELOW MUST GO UNDERNEATH THIS DIVIDER!!!
¬*
¬*		This particular divider does not denote a changes round.
¬*	This is when the files were locked to be sent for Russian and Polish translation.
¬*
¬*
¬***** Changes made after 01/07/2004 09:00:00
¬*
¬****************************************************************************************
¬****************************************************************************************

{radar_zoom_in_button}		Radar: increase scale
{radar_zoom_out_button}		Radar: decrease scale

¬****************************************************************************************
¬****************************************************************************************
¬*
¬*			THIS FILE GONE FOR LOCALISATION!!!
¬*		ALL CHANGES & ADDITIONS MADE POST THE DATE SPECIFIED 
¬*			BELOW MUST GO UNDERNEATH THIS DIVIDER!!!
¬*
¬*
¬***** Changes made after 07/07/2004 17:15:00
¬*
¬****************************************************************************************
¬****************************************************************************************

{camera}	Camera
{editor}	Editors
{misc}	Miscellaneous

¬****************************************************************************************
¬****************************************************************************************
¬*
¬*			THIS FILE GONE FOR LOCALISATION!!!
¬*		ALL CHANGES & ADDITIONS MADE POST THE DATE SPECIFIED 
¬*			BELOW MUST GO UNDERNEATH THIS DIVIDER!!!
¬*
¬*
¬***** Changes made after 15/07/2004 17:00:00
¬*
¬****************************************************************************************
¬****************************************************************************************

{default}			Total War Style Setup
{pause_button}		Speed Control: Pause
{play_button}		Speed Control: Normal
{ffwd_button}		Speed Control: Double
{ultra_ffwd_button}	Speed Control: Triple
{show_waypoints}			Show unit destinations


¬****************************************************************************************
¬****************************************************************************************
¬*
¬*			THIS FILE GONE FOR LOCALISATION!!!
¬*		ALL CHANGES & ADDITIONS MADE POST THE DATE SPECIFIED 
¬*			BELOW MUST GO UNDERNEATH THIS DIVIDER!!!
¬*
¬*
¬***** Changes made after 22/07/2004 09:00:00
¬*
¬****************************************************************************************
¬****************************************************************************************

¬****************************************************************************************
¬****************************************************************************************
¬*
¬*			THIS FILE GONE FOR LOCALISATION!!!
¬*		ALL CHANGES & ADDITIONS MADE POST THE DATE SPECIFIED 
¬*			BELOW MUST GO UNDERNEATH THIS DIVIDER!!!
¬*
¬*
¬***** Changes made after 29/07/2004 09:00:00
¬*
¬****************************************************************************************
¬****************************************************************************************
{reveal_advice}		Reveal/Advance advice
{dismiss_advice}		Dismiss advice
{toggle_speed}		Toggle game speed (fast/normal)

¬****************************************************************************************
¬****************************************************************************************
¬*
¬*			THIS FILE GONE FOR LOCALISATION!!!
¬*		ALL CHANGES & ADDITIONS MADE POST THE DATE SPECIFIED 
¬*			BELOW MUST GO UNDERNEATH THIS DIVIDER!!!
¬*
¬*
¬***** Changes made after 05/08/2004 12:00:00
¬*
¬****************************************************************************************
¬****************************************************************************************

{reset_rally_point}	Reset selected settlements rally points
{freelook}			Free look mode

¬****************************************************************************************
¬****************************************************************************************
¬*
¬*			THIS FILE GONE FOR LOCALISATION!!!
¬*		ALL CHANGES & ADDITIONS MADE POST THE DATE SPECIFIED 
¬*			BELOW MUST GO UNDERNEATH THIS DIVIDER!!!
¬*
¬*
¬***** Changes made after 12/08/2004 09:53:00
¬*
¬****************************************************************************************
¬****************************************************************************************

¬****************************************************************************************
¬****************************************************************************************
¬*
¬*			THIS FILE GONE FOR LOCALISATION!!!
¬*		ALL CHANGES & ADDITIONS MADE POST THE DATE SPECIFIED 
¬*			BELOW MUST GO UNDERNEATH THIS DIVIDER!!!
¬*
¬*
¬***** Changes made after 19/08/2004 16:05:00
¬*
¬****************************************************************************************
¬****************************************************************************************

{rot_l}		Camera: rotate/strafe left
{rot_r}		Camera: rotate/strafe right
{step_l}		Camera: strafe/rotate left
{step_r}		Camera: strafe/rotate right

{toggle_auto_link_up}		Toggle unit group AI control
{screen_grab}	Grab screenshot
{speedup_ai}				Animation speed-up

¬****************************************************************************************
¬****************************************************************************************
¬*
¬*			THIS FILE GONE FOR LOCALISATION!!!
¬*		ALL CHANGES & ADDITIONS MADE POST THE DATE SPECIFIED 
¬*			BELOW MUST GO UNDERNEATH THIS DIVIDER!!!
¬*
¬*
¬***** Changes made after 01/09/2004 09:00:00
¬*
¬****************************************************************************************
¬****************************************************************************************

¬****************************************************************************************
¬****************************************************************************************
¬*
¬*			THIS FILE GONE FOR LOCALISATION!!!
¬*		ALL CHANGES & ADDITIONS MADE POST THE DATE SPECIFIED 
¬*			BELOW MUST GO UNDERNEATH THIS DIVIDER!!!
¬*
¬*
¬***** Changes made after 03/09/2004 09:00:00
¬*
¬****************************************************************************************
¬****************************************************************************************

{toggle_hires_radar}	Toggle Fullscreen Radar
{disband}			Disband all selected units
{dec_rotation}				Rotate unit anti-clockwise
{inc_rotation}				Rotate unit clockwise
{global_chat}		Quick chat (global)
{general_chat}		Send message/Quick chat (team)
{toggle_radar}		Toggle radar visibility
{toggle_buttons}		Toggle button visibility
{toggle_cards}		Toggle unit card visibility
{show_multi_turn_paths}	Show all multi-turn paths
{select_next_selected}	Select next of object type selected
{select_prev_selected}	Select previous of object type selected


¬+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
¬*******************************************************************************************************
¬*******************************************************************************************************
¬*
¬*			EXPANSION PACK TEXT BEGINS HERE!!!
¬*		ALL TEXT BELOW THIS LINE SHOULD BE EXPANSION ADDITIONS/CHANGES ONLY!!!
¬*
¬*¬***** Changes made after 05/01/2005 15:18:00
¬*
¬*******************************************************************************************************
¬*******************************************************************************************************
¬+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
{cam_reset}				Camera: reset orientation
{pitch_up}				Camera: pitch up
{pitch_down}				Camera: pitch down
