¬ Text file converted with loc_parser
{BET_CREATE_NEW_ARMY}					Modifier informations sur l’armée
{BET_SELECT_A_SETTLEMENT_HELP}					Sélectionnez une communauté dans la liste des factions pour finaliser la condition de victoire.
{BET_SELECT_LOCATION_HELP}					Sélectionnez un point sur la carte en cliquant sur le sol pour finaliser la condition de victoire.
{BET_INVALID_VICTORY_CONDITION}					Impossible de continuer : condition de victoire invalide.
{BET_EDIT_ALLIANCES}					Modifier alliances
{BET_ALLIED}					Allié
{BET_AT_WAR}					En guerre
{BET_NEUTRAL}					Neutre
{BET_ADD_ALLY}					Définir la faction sélectionnée comme alliée à cette faction.
{BET_ADD_ENEMY}					Définir la faction sélectionnée comme ennemie de cette faction.
{BET_REMOVE_ALLY}					Effacer la faction sélectionnée de la liste d’alliés de cette faction.
{BET_REMOVE_ENEMY}					Effacer la faction sélectionnée de la liste d’ennemis de cette faction.
{BET_EDIT_TRAITS}					Modifier traits de caractère
{BET_TRAIT_LEVEL}					Niveau des traits de caractère
{BET_ADD_TRAIT}					Ajouter trait de caractère sélectionné
{BET_REMOVE_TRAIT}					Supprimer trait de caractère sélectionné
{BET_EXISTING_TRAITS}					Traits de caractère existants
{BET_ADD_FACTION_TO_ALLIANCE}					Ajouter la faction de cette colonne à cette alliance.
{BET_RECALCULATING_REGIONS}					Actualisation des frontières des régions en cours. Veuillez patienter.
{BET_IS_PLAYABLE}					Jouable ?
{BET_NAMED_CHARACTER_WITH_NO_ARMY}					Ce personnage a un nom mais aucune armée. Ceci n’est pas permis.
{BET_STRAT_ERROR_REPORT_END}					Le script de campagne peut être généré, mais vous risquez d’avoir des erreurs de chargement ou autres effets indésirables.\nIl est préférable d'éliminer toutes les erreurs.
{BET_ADD_RESOURCE}					Ajouter la ressource sélectionnée à cette région.
{BET_REMOVE_RESOURCE}					Supprimer de cette région la ressource sélectionnée dans la liste.
{BET_RIVER_SOURCE}					Source
{BET_RIVER}					Cours d’eau
{BET_CLIFF}					Falaise
{BET_VOLCANO}					Volcan
{BET_FORD}					Gué
{BET_RECALCULATING_FEATURES}					Actualisation des éléments du terrain en cours.
{BET_RECALCULATING_MOUNTAINS}					Actualisation de l’emplacement des montagnes en cours.
{BET_SAVING_GAME}					Sauvegarde en cours.
{BET_MUST_BE_1_ATTACKER}					Il doit y avoir au moins 1 alliance en attaque. Définissez l’alliance en attaque dans la boîte de dialogue Modifier alliance.
{BET_MUST_BE_1_DEFENDER}					Il doit y avoir au moins 1 alliance en défense. Définissez l’alliance en défense dans la boîte de dialogue Modifier alliance.
{BET_PLAYABLE}					Jouable
{BET_NONPLAYABLE}					Non jouable
{BET_UNLOCKABLE}					Déverrouillable
{BET_DUPLICATE_CHARACTER_NAME}					Deux personnages (ou plus) ont le même nom.
{BET_REGION}					Région
{BET_SETTLEMENT_PLACEMENT_INVALID}					La communauté de cette région est placée sur une case non valide.
{BET_PORT_PLACEMENT_INVALID}					Le port de cette région est placé sur une case non valide.
{BET_NO_DEFAULT_FACTION}					Aucune faction n’a été affectée à cette région.
{BET_NO_REBEL_FACTION}					Aucune faction rebelle n’a été affectée à cette région.
{BET_TO_FEW_TILES_IN_REGION}					Cette région comporte moins de 5 cases.
{BET_TWO_REGIONS_SAME_COLOUR}					Cette région a le même code couleur qu’une autre région.
{BET_NO_SETTLEMENT_POS_SET}					La position du site de cette région n’a pas été définie.
{BET_NO_PORT_POS_SET}					Cette région comporte des cases côtières mais aucun port n’a été placé.
{BET_INVALID_PLACEMENT_IN_SEA}			Placement non valide : cette case est une case aquatique
{BET_INVALID_PLACEMENT_IN_DENSE_FOREST}		Placement non valide : cette case est une forêt dense
{BET_INVALID_PLACEMENT_FLOODED}			Placement non valide : cette case est un terrain inondé
{BET_INVALID_PLACEMENT_TOO_MOUNTAINOUS}		Placement non valide : cette case est trop escarpée
{BET_INVALID_PLACEMENT_ON_CLIFF}			Placement non valide : cette case est une falaise
{BET_INVALID_PLACEMENT_ON_INTERNAL_BORDER}	Placement non valide : cette case est une frontière interne
{BET_INVALID_PLACEMENT_ON_EXISTING_LANDMARK}	Placement non valide : cette case comporte une merveille
{BET_INVALID_PLACEMENT_ON_WALL}			Placement non valide : cette case comporte un mur
{BET_INVALID_PLACEMENT_IN_RIVER}			Placement invalide : cette case est un cours d’eau
{BET_INVALID_PLACEMENT_ON_ENEMY_CHARACTER}	Placement non valide : cette case est bloquée par un autre objet
{BET_INVALID_PLACEMENT_WRONG_REGION}		Placement non valide : impossible de changer de région
{BET_INVALID_PLACEMENT_NON_COASTAL}			Placement non valide : cette case n’est pas côtière
{BET_EDIT_FORT}						Modifier informations sur le fort
{BET_FORTIFICATION_LEVEL}				Niveau de fortification
{BET_GATE_STRENGTH}					Résistance des portes

¬****************************************************************************************
¬****************************************************************************************
¬*
¬*			THIS FILE GONE FOR LOCALISATION!!!
¬*		ALL CHANGES & ADDITIONS MADE POST THE DATE SPECIFIED 
¬*			BELOW MUST GO UNDERNEATH THIS DIVIDER!!!
¬*
¬***** Changes made after 22/03/2004 17:30:00
¬*
¬****************************************************************************************
¬****************************************************************************************


¬****************************************************************************************
¬****************************************************************************************
¬*
¬*			THIS FILE GONE FOR LOCALISATION!!!
¬*		ALL CHANGES & ADDITIONS MADE POST THE DATE SPECIFIED 
¬*			BELOW MUST GO UNDERNEATH THIS DIVIDER!!!
¬*
¬***** Changes made after 21/04/2004 17:30:00
¬*
¬****************************************************************************************
¬****************************************************************************************

¬****************************************************************************************
¬****************************************************************************************
¬*
¬*			THIS FILE GONE FOR LOCALISATION!!!
¬*		ALL CHANGES & ADDITIONS MADE POST THE DATE SPECIFIED 
¬*			BELOW MUST GO UNDERNEATH THIS DIVIDER!!!
¬*
¬***** Changes made after 13/05/2004 09:00:00
¬*
¬****************************************************************************************
¬****************************************************************************************

{BET_EDIT_HEIGHTS_MODE_HELP}				Maintenez le bouton gauche de la souris enfoncé et déplacez le curseur vers le haut ou le bas pour régler le relief.  Maintenez la touche Maj. et le bouton gauche de la souris enfoncés pour niveler le terrain depuis l’emplacement sélectionné.  Maintenez la touche Ctrl et le bouton gauche de la souris enfoncés pour adoucir le relief.
{BET_SELECT_ROAD_TYPE}					Sélectionner type de route
{BET_SELECT_UNIT}						Sélectionner unité
{BET_SELECT_SETTLEMENT_PLAN}				Sélectionner plan de communauté
{BET_SELECT_MODEL}					Sélectionner modèle
{BET_SELECT_SUBFACTION}					Sélectionner la faction d’origine de l’esclave
{BET_INVALID_PLACEMENT_ON_EXISTING_VOLCANO}	Placement non valide : cette case comporte un volcan

¬****************************************************************************************
¬****************************************************************************************
¬*
¬*			THIS FILE GONE FOR LOCALISATION!!!
¬*		ALL CHANGES & ADDITIONS MADE POST THE DATE SPECIFIED 
¬*			BELOW MUST GO UNDERNEATH THIS DIVIDER!!!
¬*
¬***** Changes made after 03/06/2004 16:48:00
¬*
¬****************************************************************************************
¬****************************************************************************************

¬****************************************************************************************
¬****************************************************************************************
¬*
¬*			THIS FILE GONE FOR LOCALISATION!!!
¬*		ALL CHANGES & ADDITIONS MADE POST THE DATE SPECIFIED 
¬*			BELOW MUST GO UNDERNEATH THIS DIVIDER!!!
¬*
¬***** Changes made after 17/06/2004 13:01:00
¬*
¬****************************************************************************************
¬****************************************************************************************

¬****************************************************************************************
¬****************************************************************************************
¬*
¬*			THIS FILE GONE FOR LOCALISATION!!!
¬*		ALL CHANGES & ADDITIONS MADE POST THE DATE SPECIFIED 
¬*			BELOW MUST GO UNDERNEATH THIS DIVIDER!!!
¬*
¬*		This particular divider does not denote a changes round.
¬*	This is when the files were locked to be sent for Russian and Polish translation.
¬*
¬*
¬***** Changes made after 01/07/2004 09:00:00
¬*
¬****************************************************************************************
¬****************************************************************************************

¬****************************************************************************************
¬****************************************************************************************
¬*
¬*			THIS FILE GONE FOR LOCALISATION!!!
¬*		ALL CHANGES & ADDITIONS MADE POST THE DATE SPECIFIED 
¬*			BELOW MUST GO UNDERNEATH THIS DIVIDER!!!
¬*
¬*
¬***** Changes made after 07/07/2004 17:15:00
¬*
¬****************************************************************************************
¬****************************************************************************************

¬****************************************************************************************
¬****************************************************************************************
¬*
¬*			THIS FILE GONE FOR LOCALISATION!!!
¬*		ALL CHANGES & ADDITIONS MADE POST THE DATE SPECIFIED 
¬*			BELOW MUST GO UNDERNEATH THIS DIVIDER!!!
¬*
¬*
¬***** Changes made after 15/07/2004 17:00:00
¬*
¬****************************************************************************************
¬****************************************************************************************

¬****************************************************************************************
¬****************************************************************************************
¬*
¬*			THIS FILE GONE FOR LOCALISATION!!!
¬*		ALL CHANGES & ADDITIONS MADE POST THE DATE SPECIFIED 
¬*			BELOW MUST GO UNDERNEATH THIS DIVIDER!!!
¬*
¬*
¬***** Changes made after 22/07/2004 09:00:00
¬*
¬****************************************************************************************
¬****************************************************************************************

¬****************************************************************************************
¬****************************************************************************************
¬*
¬*			THIS FILE GONE FOR LOCALISATION!!!
¬*		ALL CHANGES & ADDITIONS MADE POST THE DATE SPECIFIED 
¬*			BELOW MUST GO UNDERNEATH THIS DIVIDER!!!
¬*
¬*
¬***** Changes made after 29/07/2004 09:00:00
¬*
¬****************************************************************************************
¬****************************************************************************************

¬****************************************************************************************
¬****************************************************************************************
¬*
¬*			THIS FILE GONE FOR LOCALISATION!!!
¬*		ALL CHANGES & ADDITIONS MADE POST THE DATE SPECIFIED 
¬*			BELOW MUST GO UNDERNEATH THIS DIVIDER!!!
¬*
¬*
¬***** Changes made after 05/08/2004 12:00:00
¬*
¬****************************************************************************************
¬****************************************************************************************

¬****************************************************************************************
¬****************************************************************************************
¬*
¬*			THIS FILE GONE FOR LOCALISATION!!!
¬*		ALL CHANGES & ADDITIONS MADE POST THE DATE SPECIFIED 
¬*			BELOW MUST GO UNDERNEATH THIS DIVIDER!!!
¬*
¬*
¬***** Changes made after 12/08/2004 09:53:00
¬*
¬****************************************************************************************
¬****************************************************************************************

¬****************************************************************************************
¬****************************************************************************************
¬*
¬*			THIS FILE GONE FOR LOCALISATION!!!
¬*		ALL CHANGES & ADDITIONS MADE POST THE DATE SPECIFIED 
¬*			BELOW MUST GO UNDERNEATH THIS DIVIDER!!!
¬*
¬*
¬***** Changes made after 19/08/2004 16:05:00
¬*
¬****************************************************************************************
¬****************************************************************************************
¬****************************************************************************************
¬****************************************************************************************
¬*
¬*			THIS FILE GONE FOR LOCALISATION!!!
¬*		ALL CHANGES & ADDITIONS MADE POST THE DATE SPECIFIED 
¬*			BELOW MUST GO UNDERNEATH THIS DIVIDER!!!
¬*
¬*
¬***** Changes made after 01/09/2004 09:00:00
¬*
¬****************************************************************************************
¬****************************************************************************************

¬****************************************************************************************
¬****************************************************************************************
¬*
¬*			THIS FILE GONE FOR LOCALISATION!!!
¬*		ALL CHANGES & ADDITIONS MADE POST THE DATE SPECIFIED 
¬*			BELOW MUST GO UNDERNEATH THIS DIVIDER!!!
¬*
¬*
¬***** Changes made after 03/09/2004 09:00:00
¬*
¬****************************************************************************************
¬****************************************************************************************

{BET_AMBIENT_SETTLEMENT}		Ambiance communauté ?
{BET_MULTIPLAYER}				Carte multijoueur ?
{BET_SINGLEPLAYER}			Carte Un joueur ?
{BET_WALL_CULTURE}			Type de faction dirigeant
