¬Strings that use a base enumeration and add to it with a faction index to attain the proper string
¬ alemanni, empire_east, empire_west, empire_east_rebels, empire_west_rebels, franks, huns, sarmatians, sassanids, saxons, vandals, goths, 
¬ white_huns, ostrogoths, romano_british, slavs, celts, slave

¬ Faction Names
{ROMANS_JULII}					Maison Julii
{EMT_ROMANS_JULII_NAMED_CHARACTER}					Membre de la famille romain (Julii)
{EMT_ROMANS_BRUTII_SPY}					Espion romain (Brutii)
{EMT_ROMANS_BRUTII_ASSASSIN}					Assassin romain (Brutii)
{EMT_ROMANS_BRUTII_DIPLOMAT}					Diplomate romain (Brutii)
{EMT_ROMANS_BRUTII_ADMIRAL}					Flottille romaine (Brutii)
{EMT_ROMANS_BRUTII_GENERAL}					Armée romaine (Brutii)
{EMT_ROMANS_BRUTII_NAMED_CHARACTER}					Membre de la famille romain (Brutii)
{EMT_ROMANS_SCIPII_SPY}					Espion romain (Scipii)
{EMT_ROMANS_SCIPII_ASSASSIN}					Assassin romain (Scipii)
{EMT_ROMANS_SCIPII_DIPLOMAT}					Diplomate romain (Scipii)
{EMT_ROMANS_SCIPII_ADMIRAL}					Flottille romaine (Scipii)
{EMT_ROMANS_SCIPII_GENERAL}					Armée romaine (Scipii)
{EMT_ROMANS_SCIPII_NAMED_CHARACTER}					Membre de la famille romain (Scipii)
{EMT_ROMANS_SENATE_SPY}					Espion romain (sénat)
{EMT_ROMANS_SENATE_ASSASSIN}					Assassin romain (sénat)
{EMT_ROMANS_SENATE_DIPLOMAT}					Diplomate romain (sénat)
{EMT_ROMANS_SENATE_ADMIRAL}					Flottille romaine (sénat)
{EMT_ROMANS_SENATE_GENERAL}					Armée romaine (sénat)
{EMT_ROMANS_SENATE_NAMED_CHARACTER}					Membre de la famille romain (sénat)
{EMT_MACEDON_SPY}					Espion macédonien
{EMT_MACEDON_ASSASSIN}					Assassin macédonien
{EMT_MACEDON_DIPLOMAT}					Diplomate macédonien
{EMT_MACEDON_ADMIRAL}					Flottille macédonienne
{EMT_MACEDON_GENERAL}					Armée macédonienne
{EMT_MACEDON_NAMED_CHARACTER}					Membre de la famille macédonien
{EMT_EGYPT_SPY}					Espion égyptien
{EMT_EGYPT_ASSASSIN}					Assassin égyptien
{EMT_EGYPT_DIPLOMAT}					Diplomate égyptien
{EMT_EGYPT_ADMIRAL}					Flottille égyptienne
{EMT_EGYPT_GENERAL}					Armée égyptienne
{EMT_EGYPT_NAMED_CHARACTER}					Membre de la famille égyptien
{EMT_SELEUCID_SPY}					Espion séleucide
{EMT_SELEUCID_ASSASSIN}					Assassin séleucide
{EMT_SELEUCID_DIPLOMAT}					Diplomate séleucide
{EMT_SELEUCID_ADMIRAL}					Flottille séleucide
{EMT_SELEUCID_GENERAL}					Armée séleucide
{EMT_SELEUCID_NAMED_CHARACTER}					Membre de la famille séleucide
{EMT_CARTHAGE_SPY}					Espion carthaginois
{EMT_CARTHAGE_ASSASSIN}					Assassin carthaginois
{EMT_CARTHAGE_DIPLOMAT}					Diplomate carthaginois
{EMT_CARTHAGE_ADMIRAL}					Flottille carthaginoise
{EMT_CARTHAGE_GENERAL}					Armée carthaginoise
{EMT_CARTHAGE_NAMED_CHARACTER}					Membre de la famille carthaginois
{EMT_PARTHIA_SPY}					Espion parthe
{EMT_PARTHIA_ASSASSIN}					Assassin parthe
{EMT_PARTHIA_DIPLOMAT}					Diplomate parthe
{EMT_PARTHIA_ADMIRAL}					Flottille parthe
{EMT_PARTHIA_GENERAL}					Armée parthe
{EMT_PARTHIA_NAMED_CHARACTER}					Membre de la famille parthe
{EMT_PONTUS_SPY}					Espion du Pont
{EMT_PONTUS_ASSASSIN}					Assassin du Pont
{EMT_PONTUS_DIPLOMAT}					Diplomate du Pont
{EMT_PONTUS_ADMIRAL}					Flottille du Pont
{EMT_PONTUS_GENERAL}					Armée du Pont
{EMT_PONTUS_NAMED_CHARACTER}					Membre de la famille du Pont
{EMT_GAULS_SPY}					Espion gaulois
{EMT_GAULS_ASSASSIN}					Assassin gaulois
{EMT_GAULS_DIPLOMAT}					Diplomate gaulois
{EMT_GAULS_ADMIRAL}					Flottille gauloise
{EMT_GAULS_GENERAL}					Armée gauloise
{EMT_GAULS_NAMED_CHARACTER}					Membre de la famille gaulois
{EMT_GERMANS_SPY}					Espion germanique
{EMT_GERMANS_ASSASSIN}					Assassin germanique
{EMT_GERMANS_DIPLOMAT}					Diplomate germanique
{EMT_GERMANS_ADMIRAL}					Flottille germanique
{EMT_GERMANS_GENERAL}					Armée germanique
{EMT_GERMANS_NAMED_CHARACTER}					Membre de la famille germain
{EMT_BRITONS_SPY}					Espion briton
{EMT_BRITONS_ASSASSIN}					Assassin briton
{EMT_BRITONS_DIPLOMAT}					Diplomate briton
{EMT_BRITONS_ADMIRAL}					Flottille britonne
{EMT_BRITONS_GENERAL}					Armée britonne
{EMT_BRITONS_NAMED_CHARACTER}					Membre de la famille briton
{EMT_ARMENIA_SPY}					Espion arménien
{EMT_ARMENIA_ASSASSIN}					Assassin arménien
{EMT_ARMENIA_DIPLOMAT}					Diplomate arménien
{EMT_ARMENIA_ADMIRAL}					Flottille arménienne
{EMT_ARMENIA_GENERAL}					Armée arménienne
{EMT_ARMENIA_NAMED_CHARACTER}					Membre de la famille arménien
{EMT_DACIA_SPY}					Espion dace
{EMT_DACIA_ASSASSIN}					Assassin dace
{EMT_DACIA_DIPLOMAT}					Diplomate dace
{EMT_DACIA_ADMIRAL}					Flottille dace
{EMT_DACIA_GENERAL}					Armée dace
{EMT_DACIA_NAMED_CHARACTER}					Membre de la famille dace
{EMT_GREEK_CITIES_SPY}					Espion grec
{EMT_GREEK_CITIES_ASSASSIN}					Assassin grec
{EMT_GREEK_CITIES_DIPLOMAT}					Diplomate grec
{EMT_GREEK_CITIES_ADMIRAL}					Flottille grecque
{EMT_GREEK_CITIES_GENERAL}					Armée grecque
{EMT_GREEK_CITIES_NAMED_CHARACTER}					Membre de la famille grec
{EMT_NUMIDIA_SPY}					Espion numide
{EMT_NUMIDIA_ASSASSIN}					Assassin numide
{EMT_NUMIDIA_DIPLOMAT}					Diplomate numide
{EMT_NUMIDIA_ADMIRAL}					Flottille numide
{EMT_NUMIDIA_GENERAL}					Armée numide
{EMT_NUMIDIA_NAMED_CHARACTER}					Membre de la famille numide
{EMT_SCYTHIA_SPY}					Espion scythe
{EMT_SCYTHIA_ASSASSIN}					Assassin scythe
{EMT_SCYTHIA_DIPLOMAT}					Diplomate scythe
{EMT_SCYTHIA_ADMIRAL}					Flottille scythe
{EMT_SCYTHIA_GENERAL}					Armée scythe
{EMT_SCYTHIA_NAMED_CHARACTER}					Membre de la famille scythe
{EMT_SPAIN_SPY}					Espion espagnol
{EMT_SPAIN_ASSASSIN}					Assassin espagnol
{EMT_SPAIN_DIPLOMAT}					Diplomate espagnol
{EMT_SPAIN_ADMIRAL}					Flottille espagnole
{EMT_SPAIN_GENERAL}					Armée espagnole
{EMT_SPAIN_NAMED_CHARACTER}					Membre de la famille espagnol
{EMT_THRACE_SPY}					Espion thrace
{EMT_THRACE_ASSASSIN}					Assassin thrace
{EMT_THRACE_DIPLOMAT}					Diplomate thrace
{EMT_THRACE_ADMIRAL}					Flottille thrace
{EMT_THRACE_GENERAL}					Armée thrace
{EMT_THRACE_NAMED_CHARACTER}					Membre de la famille thrace

{EMT_ALEMANNI_SPY}							Espion alaman
{EMT_ALEMANNI_ASSASSIN}						Assassin alaman
{EMT_ALEMANNI_DIPLOMAT}						Diplomate alaman
{EMT_ALEMANNI_ADMIRAL}						Flottille alamane
{EMT_ALEMANNI_GENERAL}						Armée alamane
{EMT_ALEMANNI_NAMED_CHARACTER}				Membre de la famille alaman

{EMT_EMPIRE_EAST_SPY}						Espion romain (empire d'orient)
{EMT_EMPIRE_EAST_ASSASSIN}					Assassin romain (empire d'orient)
{EMT_EMPIRE_EAST_DIPLOMAT}					Diplomate romain (empire d'orient)
{EMT_EMPIRE_EAST_ADMIRAL}					Flottille romaine (empire d'orient)
{EMT_EMPIRE_EAST_GENERAL}					Armée romaine (empire d'orient)
{EMT_EMPIRE_EAST_NAMED_CHARACTER}			Membre de la famille romain (empire d'orient)

{EMT_EMPIRE_WEST_SPY}						Espion romain (empire d'occident)
{EMT_EMPIRE_WEST_ASSASSIN}					Assassin romain (empire d'occident)
{EMT_EMPIRE_WEST_DIPLOMAT}					Diplomate romain (empire d'occident)
{EMT_EMPIRE_WEST_ADMIRAL}					Flottille romaine (empire d'occident)
{EMT_EMPIRE_WEST_GENERAL}					Armée romaine (empire d'occident)
{EMT_EMPIRE_WEST_NAMED_CHARACTER}			Membre de la famille romain (empire d'occident)

{EMT_EMPIRE_EAST_REBELS_SPY}						Espion romain (rebelles de l'empire d'orient)
{EMT_EMPIRE_EAST_REBELS_ASSASSIN}					Assassin romain (rebelles de l'empire d'orient)
{EMT_EMPIRE_EAST_REBELS_DIPLOMAT}					Diplomate romain (rebelles de l'empire d'orient)
{EMT_EMPIRE_EAST_REBELS_ADMIRAL}					Flottille romaine (rebelles de l'empire d'orient)
{EMT_EMPIRE_EAST_REBELS_GENERAL}					Armée romaine (rebelles de l'empire d'orient)
{EMT_EMPIRE_EAST_REBELS_NAMED_CHARACTER}			Membre de la famille romain (rebelles de l'empire d'orient)

{EMT_EMPIRE_WEST_REBELS_SPY}						Espion romain (rebelles de l'empire d'occident)
{EMT_EMPIRE_WEST_REBELS_ASSASSIN}					Assassin romain (rebelles de l'empire d'occident)
{EMT_EMPIRE_WEST_REBELS_DIPLOMAT}					Diplomate romain (rebelles de l'empire d'occident)
{EMT_EMPIRE_WEST_REBELS_ADMIRAL}					Flottille romaine (rebelles de l'empire d'occident)
{EMT_EMPIRE_WEST_REBELS_GENERAL}					Armée romaine (rebelles de l'empire d'occident)
{EMT_EMPIRE_WEST_REBELS_NAMED_CHARACTER}			Membre de la famille romain (rebelles de l'empire d'occident)

{EMT_FRANKS_SPY}							Espion franc
{EMT_FRANKS_ASSASSIN}						Assassin franc
{EMT_FRANKS_DIPLOMAT}						Diplomate franc
{EMT_FRANKS_ADMIRAL}						Flottille franque
{EMT_FRANKS_GENERAL}						Armée franque
{EMT_FRANKS_NAMED_CHARACTER}				Membre de la famille franc

{EMT_HUNS_SPY}						Espion hun
{EMT_HUNS_ASSASSIN}					Assassin hun
{EMT_HUNS_DIPLOMAT}					Diplomate hun
{EMT_HUNS_ADMIRAL}					Flottille hunnique
{EMT_HUNS_GENERAL}					Armée hunnique
{EMT_HUNS_NAMED_CHARACTER}			Membre de la famille hun

{EMT_SARMATIANS_SPY}						Espion sarmate
{EMT_SARMATIANS_ASSASSIN}					Assassin sarmate
{EMT_SARMATIANS_DIPLOMAT}					Diplomate sarmate
{EMT_SARMATIANS_ADMIRAL}					Flottille sarmate
{EMT_SARMATIANS_GENERAL}					Armée sarmate
{EMT_SARMATIANS_NAMED_CHARACTER}			Membre de la famille sarmate

{EMT_SASSANIDS_SPY}							Espion sassanide
{EMT_SASSANIDS_ASSASSIN}					Assassin sassanide
{EMT_SASSANIDS_DIPLOMAT}					Diplomate sassanide
{EMT_SASSANIDS_ADMIRAL}						Flottille sassanide
{EMT_SASSANIDS_GENERAL}						Armée sassanide
{EMT_SASSANIDS_NAMED_CHARACTER}				Membre de la famille sassanide

{EMT_SAXONS_SPY}							Espion saxon
{EMT_SAXONS_ASSASSIN}						Assassin saxon
{EMT_SAXONS_DIPLOMAT}						Diplomate saxon
{EMT_SAXONS_ADMIRAL}						Flottille saxonne
{EMT_SAXONS_GENERAL}						Armée saxonne
{EMT_SAXONS_NAMED_CHARACTER}				Membre de la famille saxon

{EMT_VANDALS_SPY}							Espion vandale
{EMT_VANDALS_ASSASSIN}						Assassin vandale
{EMT_VANDALS_DIPLOMAT}						Diplomate vandale
{EMT_VANDALS_ADMIRAL}						Flottille vandale
{EMT_VANDALS_GENERAL}						Armée vandale
{EMT_VANDALS_NAMED_CHARACTER}				Membre de la famille vandale

{EMT_GOTHS_SPY}							Espion goth
{EMT_GOTHS_ASSASSIN}					Assassin goth
{EMT_GOTHS_DIPLOMAT}					Diplomate goth
{EMT_GOTHS_ADMIRAL}						Flottille goth
{EMT_GOTHS_GENERAL}						Armée goth
{EMT_GOTHS_NAMED_CHARACTER}				Membre de la famille goth

{EMT_WHITE_HUNS_SPY}						Espion hun (Huns blancs)
{EMT_WHITE_HUNS_ASSASSIN}					Assassin hun (Huns blancs)
{EMT_WHITE_HUNS_DIPLOMAT}					Diplomate hun (Huns blancs)
{EMT_WHITE_HUNS_ADMIRAL}					Flottille hunnique (Huns blancs)
{EMT_WHITE_HUNS_GENERAL}					Armée hunnique (Huns blancs)
{EMT_WHITE_HUNS_NAMED_CHARACTER}			Membre de la famille hun (Huns blancs)

{EMT_OSTROGOTHS_SPY}						Espion ostrogoth
{EMT_OSTROGOTHS_ASSASSIN}					Assassin ostrogoth
{EMT_OSTROGOTHS_DIPLOMAT}					Diplomate ostrogoth
{EMT_OSTROGOTHS_ADMIRAL}					Flottille ostrogoth
{EMT_OSTROGOTHS_GENERAL}					Armée ostrogoth
{EMT_OSTROGOTHS_NAMED_CHARACTER}			Membre de la famille ostrogoth

{EMT_ROMANO_BRITISH_SPY}					Espion britto-romain
{EMT_ROMANO_BRITISH_ASSASSIN}				Assassin britto-romain
{EMT_ROMANO_BRITISH_DIPLOMAT}				Diplomate britto-romain
{EMT_ROMANO_BRITISH_ADMIRAL}				Flottille britto-romaine
{EMT_ROMANO_BRITISH_GENERAL}				Armée britto-romaine
{EMT_ROMANO_BRITISH_NAMED_CHARACTER}		Membre de la famille britto-romain

{EMT_SLAVS_SPY}							Espion slave
{EMT_SLAVS_ASSASSIN}					Assassin slave
{EMT_SLAVS_DIPLOMAT}					Diplomate slave
{EMT_SLAVS_ADMIRAL}						Flottille slave
{EMT_SLAVS_GENERAL}						Armée slave
{EMT_SLAVS_NAMED_CHARACTER}				Membre de la famille slave

{EMT_CELTS_SPY}							Espion celte
{EMT_CELTS_ASSASSIN}					Assassin celte
{EMT_CELTS_DIPLOMAT}					Diplomate celte
{EMT_CELTS_ADMIRAL}						Flottille celte
{EMT_CELTS_GENERAL}						Armée celte
{EMT_CELTS_NAMED_CHARACTER}				Membre de la famille celte

{EMT_BERBERS_SPY}							Espion berbère
{EMT_BERBERS_ASSASSIN}						Assassin berbère
{EMT_BERBERS_DIPLOMAT}						Diplomate berbère
{EMT_BERBERS_ADMIRAL}						Flottille berbère
{EMT_BERBERS_GENERAL}						Armée berbère
{EMT_BERBERS_NAMED_CHARACTER}					Membre de la famille berbère

{EMT_MOORS_SPY}							Espion maure
{EMT_MOORS_ASSASSIN}						Assassin maure
{EMT_MOORS_DIPLOMAT}						Diplomate maure
{EMT_MOORS_ADMIRAL}						Flottille maure
{EMT_MOORS_GENERAL}						Armée maure
{EMT_MOORS_NAMED_CHARACTER}					Membre de la famille maure

{EMT_SLAVE_SPY}						Espion rebelle
{EMT_SLAVE_ASSASSIN}					Assassin rebelle
{EMT_SLAVE_DIPLOMAT}					Diplomate rebelle
{EMT_SLAVE_ADMIRAL}					Flottille rebelle
{EMT_SLAVE_GENERAL}					Armée rebelle
{EMT_SLAVE_NAMED_CHARACTER}					Membre de la famille rebelle

{EMT_ROMANS_JULII_VILLAGE}					Village romain (Julii)
{EMT_ROMANS_JULII_TOWN}					Bourg romain (Julii)
{EMT_ROMANS_JULII_LARGE_TOWN}					Gros bourg romain (Julii)
{EMT_ROMANS_JULII_CITY}					Ville romaine (Julii)
{EMT_ROMANS_JULII_LARGE_CITY}					Grande ville romaine (Julii)
{EMT_ROMANS_JULII_HUGE_CITY}					Métropole romaine (Julii)
{EMT_ROMANS_BRUTII_VILLAGE}					Village romain (Brutii)
{EMT_ROMANS_BRUTII_TOWN}					Bourg romain (Brutii)
{EMT_ROMANS_BRUTII_LARGE_TOWN}					Gros bourg romain (Brutii)
{EMT_ROMANS_BRUTII_CITY}					Ville romaine (Brutii)
{EMT_ROMANS_BRUTII_LARGE_CITY}					Grande ville romaine (Brutii)
{EMT_ROMANS_BRUTII_HUGE_CITY}					Métropole romaine (Brutii)
{EMT_ROMANS_SCIPII_VILLAGE}					Village romain (Scipii)
{EMT_ROMANS_SCIPII_TOWN}					Bourg romain (Scipii)
{EMT_ROMANS_SCIPII_LARGE_TOWN}					Gros bourg romain (Scipii)
{EMT_ROMANS_SCIPII_CITY}					Ville romaine (Scipii)
{EMT_ROMANS_SCIPII_LARGE_CITY}					Grande ville romaine (Scipii)
{EMT_ROMANS_SCIPII_HUGE_CITY}					Métropole romaine (Scipii)
{EMT_ROMANS_SENATE_VILLAGE}					Village romain (sénat)
{EMT_ROMANS_SENATE_TOWN}					Bourg romain (sénat)
{EMT_ROMANS_SENATE_LARGE_TOWN}					Gros bourg romain (sénat)
{EMT_ROMANS_SENATE_CITY}					Ville romaine (sénat)
{EMT_ROMANS_SENATE_LARGE_CITY}					Grande ville romaine (sénat)
{EMT_ROMANS_SENATE_HUGE_CITY}					Métropole romaine (sénat)
{EMT_MACEDON_VILLAGE}					Village macédonien
{EMT_MACEDON_TOWN}					Bourg macédonien
{EMT_MACEDON_LARGE_TOWN}					Gros bourg macédonien
{EMT_MACEDON_CITY}					Ville macédonienne
{EMT_MACEDON_LARGE_CITY}					Grande ville macédonienne
{EMT_MACEDON_HUGE_CITY}					Métropole macédonienne
{EMT_EGYPT_VILLAGE}					Village égyptien
{EMT_EGYPT_TOWN}					Bourg égyptien
{EMT_EGYPT_LARGE_TOWN}					Gros bourg égyptien
{EMT_EGYPT_CITY}					Ville égyptienne
{EMT_EGYPT_LARGE_CITY}					Grande ville égyptienne
{EMT_EGYPT_HUGE_CITY}					Métropole égyptienne
{EMT_SELEUCID_VILLAGE}					Village séleucide
{EMT_SELEUCID_TOWN}					Bourg séleucide
{EMT_SELEUCID_LARGE_TOWN}					Gros bourg séleucide
{EMT_SELEUCID_CITY}					Ville séleucide
{EMT_SELEUCID_LARGE_CITY}					Grande ville séleucide
{EMT_SELEUCID_HUGE_CITY}					Métropole séleucide
{EMT_CARTHAGE_VILLAGE}					Village carthaginois
{EMT_CARTHAGE_TOWN}					Bourg carthaginois
{EMT_CARTHAGE_LARGE_TOWN}					Gros bourg carthaginois
{EMT_CARTHAGE_CITY}					Ville carthaginoise
{EMT_CARTHAGE_LARGE_CITY}					Grande ville carthaginoise
{EMT_CARTHAGE_HUGE_CITY}					Métropole carthaginoise
{EMT_PARTHIA_VILLAGE}					Village parthe
{EMT_PARTHIA_TOWN}					Bourg parthe
{EMT_PARTHIA_LARGE_TOWN}					Gros bourg parthe
{EMT_PARTHIA_CITY}					Ville parthe
{EMT_PARTHIA_LARGE_CITY}					Grande ville parthe
{EMT_PARTHIA_HUGE_CITY}					Métropole parthe
{EMT_PONTUS_VILLAGE}					Village du Pont
{EMT_PONTUS_TOWN}					Bourg du Pont
{EMT_PONTUS_LARGE_TOWN}					Gros bourg du Pont
{EMT_PONTUS_CITY}					Ville du Pont
{EMT_PONTUS_LARGE_CITY}					Grande ville du Pont
{EMT_PONTUS_HUGE_CITY}					Métropole du Pont
{EMT_GAULS_VILLAGE}					Village gaulois
{EMT_GAULS_TOWN}					Bourg gaulois
{EMT_GAULS_LARGE_TOWN}					Gros bourg gaulois
{EMT_GAULS_CITY}					Ville gauloise
{EMT_GAULS_LARGE_CITY}					Grande ville gauloise
{EMT_GAULS_HUGE_CITY}					Métropole gauloise
{EMT_GERMANS_VILLAGE}					Village germanique
{EMT_GERMANS_TOWN}					Bourg germanique
{EMT_GERMANS_LARGE_TOWN}					Gros bourg germanique
{EMT_GERMANS_CITY}					Ville germanique
{EMT_GERMANS_LARGE_CITY}					Grande ville germanique
{EMT_GERMANS_HUGE_CITY}					Métropole germanique
{EMT_BRITONS_VILLAGE}					Village briton
{EMT_BRITONS_TOWN}					Bourg briton
{EMT_BRITONS_LARGE_TOWN}					Gros bourg briton
{EMT_BRITONS_CITY}					Ville britonne
{EMT_BRITONS_LARGE_CITY}					Grande ville britonne
{EMT_BRITONS_HUGE_CITY}					Métropole britonne
{EMT_ARMENIA_VILLAGE}					Village arménien
{EMT_ARMENIA_TOWN}					Bourg arménien
{EMT_ARMENIA_LARGE_TOWN}					Gros bourg arménien
{EMT_ARMENIA_CITY}					Ville arménienne
{EMT_ARMENIA_LARGE_CITY}					Grande ville arménienne
{EMT_ARMENIA_HUGE_CITY}					Métropole arménienne
{EMT_DACIA_VILLAGE}					Village dace
{EMT_DACIA_TOWN}					Bourg dace
{EMT_DACIA_LARGE_TOWN}					Gros bourg dace
{EMT_DACIA_CITY}					Ville dace
{EMT_DACIA_LARGE_CITY}					Grande ville dace
{EMT_DACIA_HUGE_CITY}					Métropole dace
{EMT_GREEK_CITIES_VILLAGE}					Village grec
{EMT_GREEK_CITIES_TOWN}					Bourg grec
{EMT_GREEK_CITIES_LARGE_TOWN}					Gros bourg grec
{EMT_GREEK_CITIES_CITY}					Ville grecque
{EMT_GREEK_CITIES_LARGE_CITY}					Grande ville grecque
{EMT_GREEK_CITIES_HUGE_CITY}					Métropole grecque
{EMT_NUMIDIA_VILLAGE}					Village numide
{EMT_NUMIDIA_TOWN}					Bourg numide
{EMT_NUMIDIA_LARGE_TOWN}					Gros bourg numide
{EMT_NUMIDIA_CITY}					Ville numide
{EMT_NUMIDIA_LARGE_CITY}					Grande ville numide
{EMT_NUMIDIA_HUGE_CITY}					Métropole numide
{EMT_SCYTHIA_VILLAGE}					Village scythe
{EMT_SCYTHIA_TOWN}					Bourg scythe
{EMT_SCYTHIA_LARGE_TOWN}					Gros bourg scythe
{EMT_SCYTHIA_CITY}					Ville scythe
{EMT_SCYTHIA_LARGE_CITY}					Grande ville scythe
{EMT_SCYTHIA_HUGE_CITY}					Métropole scythe
{EMT_SPAIN_VILLAGE}					Village espagnol
{EMT_SPAIN_TOWN}					Bourg espagnol
{EMT_SPAIN_LARGE_TOWN}					Gros bourg espagnol
{EMT_SPAIN_CITY}					Ville espagnole
{EMT_SPAIN_LARGE_CITY}					Grande ville espagnole
{EMT_SPAIN_HUGE_CITY}					Métropole espagnole
{EMT_THRACE_VILLAGE}					Village thrace
{EMT_THRACE_TOWN}					Bourg thrace
{EMT_THRACE_LARGE_TOWN}					Gros bourg thrace
{EMT_THRACE_CITY}					Ville thrace
{EMT_THRACE_LARGE_CITY}					Grande ville thrace
{EMT_THRACE_HUGE_CITY}					Métropole thrace
{EMT_SLAVE_VILLAGE}					Village rebelle
{EMT_SLAVE_TOWN}					Bourg rebelle
{EMT_SLAVE_LARGE_TOWN}					Gros bourg rebelle
{EMT_SLAVE_CITY}					Ville rebelle
{EMT_SLAVE_LARGE_CITY}					Grande ville rebelle
{EMT_SLAVE_HUGE_CITY}					Métropole rebelle
{EMT_ALEMANNI_VILLAGE}		Village alaman
{EMT_ALEMANNI_TOWN}			Bourg alaman
{EMT_ALEMANNI_LARGE_TOWN}	Gros bourg alaman
{EMT_ALEMANNI_CITY}			Ville alamane
{EMT_ALEMANNI_LARGE_CITY}	Grande ville alamane
{EMT_ALEMANNI_HUGE_CITY}	Métropole alamane
{EMT_EMPIRE_EAST_VILLAGE}		Village romain (empire d'orient)
{EMT_EMPIRE_EAST_TOWN}			Bourg romain (empire d'orient)
{EMT_EMPIRE_EAST_LARGE_TOWN}	Gros bourg romain (empire d'orient)
{EMT_EMPIRE_EAST_CITY}			Ville romaine (empire d'orient)
{EMT_EMPIRE_EAST_LARGE_CITY}	Grande ville romaine (empire d'orient)
{EMT_EMPIRE_EAST_HUGE_CITY}		Métropole romaine (empire d'orient)
{EMT_EMPIRE_WEST_VILLAGE}		Village romain (empire d'occident)
{EMT_EMPIRE_WEST_TOWN}			Bourg romain (empire d'occident)
{EMT_EMPIRE_WEST_LARGE_TOWN}	Gros bourg romain (empire d'occident)
{EMT_EMPIRE_WEST_CITY}			Ville romaine (empire d'occident)
{EMT_EMPIRE_WEST_LARGE_CITY}	Grande ville romaine (empire d'occident)
{EMT_EMPIRE_WEST_HUGE_CITY}		Métropole romaine (empire d'occident)
{EMT_EMPIRE_EAST_REBELS_VILLAGE}		Village romain (rebelles de l'empire d'orient)
{EMT_EMPIRE_EAST_REBELS_TOWN}			Bourg romain (rebelles de l'empire d'orient)
{EMT_EMPIRE_EAST_REBELS_LARGE_TOWN}		Gros bourg romain (rebelles de l'empire d'orient)
{EMT_EMPIRE_EAST_REBELS_CITY}			Ville romaine (rebelles de l'empire d'orient)
{EMT_EMPIRE_EAST_REBELS_LARGE_CITY}		Grande ville romaine (rebelles de l'empire d'orient)
{EMT_EMPIRE_EAST_REBELS_HUGE_CITY}		Métropole romaine (rebelles de l'empire d'orient)
{EMT_EMPIRE_WEST_REBELS_VILLAGE}		Village romain (rebelles de l'empire d'occident)
{EMT_EMPIRE_WEST_REBELS_TOWN}			Bourg romain (rebelles de l'empire d'occident)
{EMT_EMPIRE_WEST_REBELS_LARGE_TOWN}		Gros bourg romain (rebelles de l'empire d'occident)
{EMT_EMPIRE_WEST_REBELS_CITY}			Ville romaine (rebelles de l'empire d'occident)
{EMT_EMPIRE_WEST_REBELS_LARGE_CITY}		Grande ville romaine (rebelles de l'empire d'occident)
{EMT_EMPIRE_WEST_REBELS_HUGE_CITY}		Métropole romaine (rebelles de l'empire d'occident)
{EMT_FRANKS_VILLAGE}		Village franc
{EMT_FRANKS_TOWN}			Bourg franc
{EMT_FRANKS_LARGE_TOWN}		Gros bourg franc
{EMT_FRANKS_CITY}			Ville franque
