¬ Text file converted with loc_parser
{SMT_CULTURE_ROMAN}				Romains
{SMT_WILDERNESS}				Campagne
{SMT_MOUNTAINS_HIGH}				Montagnes hautes
{SMT_MOUNTAINS_LOW}				Montagnes basses
{SMT_HILLS}					Collines
{SMT_FOREST_DENSE}				Forêt dense
{SMT_FOREST_SPARSE}				Etendue boisée
{SMT_SWAMP}					Marais
{SMT_OCEAN}					Océan
{SMT_SEA_DEEP}					Haute mer
{SMT_SEA_SHALLOW}				Eau peu profonde
{SMT_BEACH}					Côte
{SMT_FAMINE_THREAT_OK}				Aucun
{SMT_FAMINE_THREAT_HUNGRY}			Faim
{SMT_FAMINE_THREAT_FAMINE_1}			Famine légère
{SMT_FAMINE_THREAT_FAMINE_2}			Famine
{SMT_FAMINE_THREAT_FAMINE_3}			Terrible famine
{SMT_FAMINE_THREAT}				Risque de famine
{SMT_HARVEST_LEVEL}				Niveau des récoltes
{SMT_FARMING_LEVEL}				Niveau agricole
{SMT_TAX_LEVEL_LOW}				Impôts bas
{SMT_TAX_LEVEL_NORMAL}				Impôts normaux
{SMT_TAX_LEVEL_HIGH}				Impôts élevés
{SMT_TAX_LEVEL_VERY_HIGH}			Impôts très élevés
{SMT_GOVERNOR_POLICY_BALANCED}		Politique équilibrée
{SMT_GOVERNOR_POLICY_FINANCIAL}		Politique financière
{SMT_GOVERNOR_POLICY_MILITARY}			Politique militaire
{SMT_GOVERNOR_POLICY_STRONGHOLD}		Politique défensive
{SMT_GOVERNOR_POLICY_CULTURAL}			Politique culturelle
{SMT_NO_GOVERNOR}				Aucun gouverneur
{SMT_SHOW_GARRISON}				Afficher les unités en garnison
{SMT_SHOW_UNITS}				Afficher les unités de l’armée
{SMT_SHOW_UNITS_NAVY}				Afficher les unités de la flottille
{SMT_SHOW_BUILDINGS}				Afficher les bâtiments de la communauté
{SMT_SHOW_VISITORS}				Afficher les personnages de passage dans la communauté
{SMT_SHOW_TRAVELLING_CHARACTERS}		Afficher les personnages voyageant avec l’armée
{SMT_SHOW_TRAVELLING_CHARACTERS_NAVY}	Afficher les personnages voyageant avec la flottille
{SMT_SHOW_PASSENGERS}				Afficher les unités voyageant dans la flotte choisie
{SMT_RCLICK_SHOW_SETTLEMENTS}			Faire un clic droit sur cet onglet pour afficher la liste de vos communautés
{SMT_RCLICK_SHOW_CHARACTERS}			Faire un clic droit sur cet onglet pour afficher la liste de vos personnages
{SMT_RCLICK_SHOW_ARMIES}			Faire un clic droit sur cet onglet pour afficher la liste de vos forces militaires
{SMT_LOYALTY_DECREASING}			La loyauté envers votre gouverneur décline\nLes habitants ont besoin d’être rassurés
{SMT_LOYALTY_INCREASING}			La loyauté augmente\nContinuez comme ça
{SMT_MISSION_BREAK_ALLIANCE_TITLE}		Rompre l’alliance
{SMT_MISSION_BREAK_ALLIANCE_PROPOSAL}		Le sénat vous exhorte à rompre votre alliance avec cette faction, ennemie de Rome
{SMT_MISSION_BREAK_ALLIANCE_EXPIRY}		Le sénat a annulé votre mission consistant à rompre votre alliance avec cette faction, qui n'est plus l'ennemie de Rome.
{SMT_MISSION_BREAK_ALLIANCE_FAILURE}		Le sénat constate avec irritation que vous n’avez toujours pas rompu votre alliance avec cette faction
{SMT_MISSION_BREAK_ALLIANCE_SUCCESS}		Le sénat constate que vous avez rompu votre alliance avec cette faction
{SMT_MISSION_CAPTURE_REBEL_CITY_TITLE}		Capturer une communauté rebelle
{SMT_MISSION_CAPTURE_REBEL_CITY_PROPOSAL}	Le sénat ne tolère aucune rébellion. Capturez cette communauté et faites-y respecter l’autorité de Rome
{SMT_MISSION_CAPTURE_REBEL_CITY_EXPIRY}	Cette communauté ayant été reprise, il ne vous est plus utile de tenter de la capturer
{SMT_MISSION_CAPTURE_REBEL_CITY_FAILURE}	Le sénat a le regret de constater votre échec dans la capture de cette communauté
{SMT_MISSION_CAPTURE_REBEL_CITY_SUCCESS}	Le sénat a le plaisir de constater que vous avez capturé cette communauté
{SMT_MISSION_DESTROY_REBEL_CITY_TITLE}		Détruire une communauté rebelle
{SMT_MISSION_DESTROY_REBEL_CITY_PROPOSAL}	Débarrassez l’empire de cette communauté rebelle ! Détruisez-la et faites-en un exemple pour tous les sujets de Rome
{SMT_MISSION_DESTROY_REBEL_CITY_EXPIRY}	Le sénat n’a plus besoin que vous détruisiez cette communauté
{SMT_MISSION_DESTROY_REBEL_CITY_FAILURE}	Le sénat a le regret de constater que vous n’êtes pas parvenu à détruire cette communauté
{SMT_MISSION_DESTROY_REBEL_CITY_SUCCESS}	Le sénat a le plaisir de constater que vous avez détruit cette communauté
{SMT_MISSION_GIVE_BACK_CITY_TITLE}		Restituer une communauté
{SMT_MISSION_GIVE_BACK_CITY_PROPOSAL}		Le sénat vous demande de restituer cette communauté
{SMT_MISSION_GIVE_BACK_CITY_EXPIRY}		Le sénat n’a plus besoin que vous restituiez cette communauté
{SMT_MISSION_GIVE_BACK_CITY_FAILURE}		Le sénat constate que vous n’avez pas réussi à restituer cette communauté
{SMT_MISSION_GIVE_BACK_CITY_SUCCESS}		Le sénat constate que vous avez réussi à restituer cette communauté
{SMT_MISSION_ATTACK_OUTLAW_FACTION_TITLE}	Attaquer une faction hors-la-loi
{SMT_MISSION_ATTACK_OUTLAW_FACTION_PROPOSAL}	Cette faction a été déclarée hors-la-loi. Le sénat vous demande de l’attaquer
{SMT_MISSION_ATTACK_OUTLAW_FACTION_EXPIRY}	Le sénat n’a plus besoin que vous attaquiez cette faction car la paix a été rétablie
{SMT_MISSION_ATTACK_OUTLAW_FACTION_FAILURE}	Le sénat constate que vous n’avez pas attaqué cette faction
{SMT_MISSION_ATTACK_OUTLAW_FACTION_SUCCESS}	Le sénat a le plaisir de constater que vous avez attaqué cette faction
{SMT_MISSION_CEASE_HOSTILITIES_TITLE}		Cesser les hostilités
{SMT_MISSION_CEASE_HOSTILITIES_PROPOSAL}	Le sénat vous demande de cesser les hostilités contre cette faction
{SMT_MISSION_CEASE_HOSTILITIES_EXPIRY}		Le sénat annule sa demande de cessation des hostilités contre cette faction
{SMT_MISSION_CEASE_HOSTILITIES_FAILURE}		Le sénat a le déplaisir de constater que vous n’avez entrepris aucune démarche en vue de cesser les hostilités contre cette faction
{SMT_MISSION_CEASE_HOSTILITIES_SUCCESS}		Le sénat a le plaisir de constater que vous avez cessé les hostilités contre cette faction
{SMT_MISSION_DECLARE_WAR_TITLE}		Déclarer la guerre
{SMT_MISSION_DECLARE_WAR_PROPOSAL}		Cette faction est l’ennemie de Rome. Le sénat vous demande par conséquent de lui faire la guerre
{SMT_MISSION_DECLARE_WAR_EXPIRY}		Le sénat n’a plus besoin que vous fassiez la guerre à cette faction
{SMT_MISSION_DECLARE_WAR_DECLINED}		Le sénat est irrité par votre refus de partir en guerre contre l’ennemi
{SMT_MISSION_DECLARE_WAR_FAILURE}		Le sénat constate avec irritation que vous avez arrêté de combattre l’ennemi
{SMT_MISSION_DECLARE_WAR_SUCCESS}		Le sénat vous sait gré de votre contribution à l’effort de guerre
{SMT_MISSION_HELP_PLAYER_TITLE}			Contribution du sénat
{SMT_MISSION_HELP_PLAYER_PROPOSAL}		Le sénat admire vos efforts pour l’empire et vous prie d’accepter cette récompense, avec toute sa gratitude
{SMT_MISSION_ASSASSINATION_TITLE}		Assassinat
{SMT_MISSION_ASSASSINATION_PROPOSAL}		Le sénat estime que le monde serait bien meilleur sans cette personne. Tuez-la
{SMT_MISSION_ASSASSINATION_EXPIRY_NOW_AN_ALLY}	Cette mission d’assassinat n’est plus utile car la cible est maintenant un ami de Rome
{SMT_MISSION_ASSASSINATION_EXPIRY_OTHER_MEANS}	Cette mission d’assassinat n’est plus utile car la cible est morte entre-temps
{SMT_MISSION_ASSASSINATION_EXPIRY_HIDING}	Cette mission d’assassinat n’est plus utile car la cible s’est cachée
{SMT_MISSION_ASSASSINATION_EXPIRY_IN_BATTLE}	Votre mission d’assassinat n’est plus utile car le sénat vous a demandé une exécution discrète, non une mort publique sur le champ de bataille
{SMT_MISSION_ASSASSINATION_SUCCESS}		Le sénat a le plaisir de constater le succès de l’assassinat
{SMT_MISSION_ASSASSINATION_FAILURE}		Le sénat a le regret de constater que vous n’avez pas réussi à assassiner la cible
{SMT_MISSION_TAKE_CITY_TITLE}			Prendre une communauté
{SMT_MISSION_TAKE_CITY_PROPOSAL}		Le sénat vous demande de prendre cette communauté pour la gloire de l’empire
{SMT_MISSION_TAKE_CITY_EXPIRY}			Le sénat n’a plus besoin que vous preniez cette communauté
{SMT_MISSION_TAKE_CITY_FAILURE}			Le sénat a le regret de constater que vous n’avez pas réussi à prendre cette communauté
{SMT_MISSION_TAKE_CITY_SUCCESS}		Le sénat a le plaisir de constater votre réussite dans la prise de cette communauté
{SMT_MISSION_RECAPTURE_EAGLE_TITLE}		Reprendre les aigles de la légion
{SMT_MISSION_RECAPTURE_EAGLE_PROPOSAL}	Le sénat attend de vous que vous preniez cette communauté et sauviez l’honneur de Rome en reprenant vos aigles romains
{SMT_MISSION_RECAPTURE_EAGLE_EXPIRY}		Cette communauté a été prise mais vos aigles sont perdus
{SMT_MISSION_RECAPTURE_EAGLE_FAILURE}		Le sénat est extrêmement déçu de constater votre incapacité à reprendre vos aigles de la légion
{SMT_MISSION_RECAPTURE_EAGLE_SUCCESS}		Le sénat a le plaisir de constater que vous avez réussi à reprendre vos aigles de la légion
{SMT_MISSION_SEND_EMISSARY_TITLE}		Envoyer un émissaire
{SMT_MISSION_SEND_EMISSARY_PROPOSAL}		Le sénat vous demande d’envoyer un émissaire à cette faction
{SMT_MISSION_SEND_EMISSARY_FAILURE}		Le sénat constate que vos diplomates n'ont pas contacté cette faction
{SMT_MISSION_SEND_EMISSARY_SUCCESS}		Le sénat constate que votre émissaire a contacté cette faction
{SMT_MISSION_DEMAND_SUICIDE_TITLE}		Suicide exigé
{SMT_MISSION_DEMAND_SUICIDE_PROPOSAL}		Pour le bien de l'empire, le sénat exige le suicide de votre chef de faction
{SMT_MISSION_DEMAND_SUICIDE_DECLINED}		Le sénat est contrarié de voir que votre chef de faction ne s'est pas suicidé
{SMT_MISSION_DEMAND_SUICIDE_SUCCESS}		Le sénat est satisfait du suicide de votre chef de faction
{SMT_SENATE_FAILURE}				Si vous échouez...
{SMT_SENATE_FINE_AWARDED}			Vous avez été pénalisé pour vos actes méprisables.
{SMT_PENALTY_OUTLAW_DESCRIPTION}		Vous serez déclaré hors-la-loi.
{SMT_PENALTY_OUTLAW}				Le sénat déclare la guerre à votre faction. Vous êtes hors-la-loi.
{SMT_PENALTY_CENSOR_INVESTIGATES_FAMILY_DESCRIPTION}	Votre famille recevra la visite du censeur
{SMT_PENALTY_CENSOR_INVESTIGATES_FAMILY}		A la suite de l’inspection du censeur, ce membre de votre famille s’est suicidé : le sénat vous fait part de ses sincères condoléances
{SMT_PENALTY_QUAESTOR_INVESTIGATES_FOR_CORRUPTION_DESCRIPTION}	Le questeur fera une enquête sur la corruption dans votre faction
{SMT_PENALTY_QUAESTOR_INVESTIGATES_FOR_CORRUPTION}			Le questeur a examiné les cas de corruption dans votre faction et vous a infligé une amende de %d deniers
{SMT_PENALTY_CENSOR_INVESTIGATES_FACTION_DESCRIPTION}			Le censeur mènera une enquête sur votre faction
{SMT_PENALTY_CENSOR_INVESTIGATES_FACTION}					A la suite de l’enquête du censeur sur votre faction, %S se suicide
{SMT_PENALTY_QUAESTOR_INVESTIGATES_FOR_FINANCIAL_IRREGULARITIES_DESCRIPTION}	Le questeur fera une enquête sur la fraude financière dans votre faction
{SMT_PENALTY_QUAESTOR_INVESTIGATES_FOR_FINANCIAL_IRREGULARITIES}		Le questeur a examiné les cas de fraude financière dans votre faction et vous a infligé une amende de %d deniers.
{SMT_PENALTY_QUAESTOR_INVESTIGATES_FOR_ACCOUNTING_IRREGULARITIES_DESCRIPTION}		Le questeur fera une enquête sur la fraude comptable dans votre faction
{SMT_PENALTY_QUAESTOR_INVESTIGATES_FOR_ACCOUNTING_IRREGULARITIES}			Le questeur a examiné les cas de fraude comptable dans votre faction et vous a infligé une amende de %d deniers.
{SMT_PENALTY_SENATE_DISPLEASURE_DESCRIPTION}			Vous vous attirerez les foudres du sénat
{SMT_PENALTY_SECRET_INFORMATION_EXPOSURE_DESCRIPTION}		Votre secret sera révélé
{SMT_PENALTY_SECRET_INFORMATION_EXPOSURE}			Votre secret a été révélé
{SMT_PENALTY_OFFICES_WITHELD_DESCRIPTION}			Votre faction sera inéligible aux fonctions sénatoriales pendant quatre ans
{SMT_PENALTY_OFFICES_WITHELD}					Votre faction aura peu de chances d’être élue à une fonction sénatoriale pendant un certain temps
{SMT_SENATE_SUCCESS}						Si vous réussissez...
{SMT_SENATE_BOUNTY_AWARDED}					Vous avez reçu une récompense pour vos efforts.
{SMT_REWARD_MAJOR_EXOTIC_UNIT_DESCRIPTION}			Vous recevrez une unité étrangère majeure
{SMT_REWARD_TWO_MINOR_EXOTIC_UNITS_DESCRIPTION}		Vous recevrez deux unités étrangères mineures
{SMT_REWARD_TWO_BEST_BUILDABLE_UNITS_DESCRIPTION}		Vous recevrez deux des meilleures unités que vous pouvez former
{SMT_REWARD_ONE_BEST_BUILDABLE_UNIT_DESCRIPTION}		Vous recevrez une des meilleures unités que vous pouvez former
{SMT_REWARD_ONE_MINOR_EXOTIC_UNIT_DESCRIPTION}		Vous recevrez une unité étrangère mineure
{SMT_REWARD_ONE_BUILDABLE_UNIT_DESCRIPTION}			Vous recevrez une des unités que vous pouvez former
{SMT_REWARD_CANNOT_BUILD_A_UNIT}				Vous ne pouvez recevoir de récompense car vous ne pouvez pas former d’unité
{SMT_REWARD_UNIT_AT_YOUR_CAPITAL}				L’unité que vous avez reçue se trouve dans votre capitale :\n
{SMT_REWARD_SENATE_GRATITUDE_DESCRIPTION}			Vous gagnerez la gratitude du sénat
{SMT_REWARD_SENATE_GRATITUDE}					Le sénat a constaté vos efforts pour Rome et vous en sait gré
{SMT_REWARD_THROW_GAMES_DESCRIPTION}				Le sénat organisera des jeux à ses frais dans votre capitale
{SMT_REWARD_MAJOR_REWARD_DESCRIPTION}			Vous serez richement récompensé
{SMT_REWARD_MODERATE_REWARD_DESCRIPTION}			Vous serez grandement récompensé
{SMT_REWARD_MINOR_REWARD_DESCRIPTION}				Vous serez récompensé
{SMT_REWARD_MONEY}						Vous avez reçu un don de %d deniers
{SMT_REWARD_PROMISE_OF_APPOINTMENT_DESCRIPTION}		Vous serez un candidat prioritaire aux fonctions sénatoriales
{SMT_REWARD_PROMISE_OF_APPOINTMENT}				Le sénat gardera le nom de votre faction à l’esprit lors de l’attribution des fonctions sénatoriales
{SMT_SENATE_ATTITUDE}						Le sénat est bien disposé à votre égard
{SMT_SENATE_OFFICE_QUAESTOR_TITLE}				Questeur
{SMT_SENATE_OFFICE_QUAESTOR_DESCRIPTION}			Officier subalterne
{SMT_SENATE_OFFICE_AEDILE_TITLE}				Edile
{SMT_SENATE_OFFICE_AEDILE_DESCRIPTION}				Responsable de l’organisation des Jeux
{SMT_SENATE_OFFICE_PRAETOR_TITLE}				Préteur
{SMT_SENATE_OFFICE_PRAETOR_DESCRIPTION}			Commandant de la garde prétorienne
{SMT_SENATE_OFFICE_CONSUL_TITLE}				Consul
{SMT_SENATE_OFFICE_CONSUL_DESCRIPTION}				Décideur sénatorial
{SMT_SENATE_OFFICE_CENSOR_TITLE}				Censeur
{SMT_SENATE_OFFICE_CENSOR_DESCRIPTION}				Gardien de la bienséance
{SMT_SENATE_OFFICE_PONTIFEX_MAXIMUS_TITLE}			Grand pontife
{SMT_SENATE_OFFICE_PONTIFEX_MAXIMUS_DESCRIPTION}		Grand chef religieux 
{SMT_REMOVE_RALLY_POINT}					Supprimer le point de ralliement de cette communauté\nLes unités fraîchement recrutées rejoindront la garnison
{SMT_SET_RALLY_POINT}						Afficher les points de ralliement
{SMT_1_TURN}							1 tour
{SMT_X_TURNS}							%d tours
{SMT_SELECT_UNIT_TO_RECRUIT}					Sélectionner l’unité à recruter
{SMT_SELECT_UNIT_TO_RETRAIN}					Sélectionner l’unité à re-former
{SMT_SET_TO_RECRUIT_MODE}					Afficher les unités recrutables
{SMT_SET_TO_RETRAIN_MODE}					Afficher les unités d’une garnison qui ont besoin d’être re-formées et rééquipées
{SMT_MERGE_SELECTED_UNITS}					Fusionner les objets sélectionnés du panneau gauche dans le panneau droit
{SMT_X_PERCENT_COMPLETE}					%d % accomplis
{SMT_DIPLOMACY_OFFER_ALLIANCE}					Alliance
{SMT_DIPLOMACY_OFFER_CANCEL_ALLIANCE}				Annuler alliance
{SMT_DIPLOMACY_OFFER_CEASEFIRE}				Cessez-le-feu
{SMT_DIPLOMACY_OFFER_MILITARY_ACCESS}				Accès militaire
{SMT_DIPLOMACY_OFFER_CANCEL_MILITARY_ACCESS}			Annuler accès militaire
{SMT_DIPLOMACY_OFFER_TRADE_RIGHTS}				Droits de commerce
{SMT_DIPLOMACY_OFFER_CANCEL_TRADE_RIGHTS}			Annuler droits de commerce
{SMT_DIPLOMACY_OFFER_ATTACK_FACTION}				Attaquer une faction
{SMT_DIPLOMACY_OFFER_CEDE_REGION}				Donner une région
{SMT_DIPLOMACY_OFFER_SINGLE_PAYMENT}				Offrir un paiement unique
{SMT_DIPLOMACY_OFFER_YEARLY_PAYMENT}				Tribut régulier
{SMT_DIPLOMACY_OFFER_CANCEL_YEARLY_PAYMENT}			Annuler tribut régulier
{SMT_DIPLOMACY_OFFER_THREAT_OF_ATTACK}			Ne pas menacer d’attaquer
{SMT_DIPLOMACY_OFFER_DEMAND_NO_ATTACK}			Ne pas attaquer
{SMT_DIPLOMACY_OFFER_MAP_INFORMATION}				Infos géographiques
{SMT_DIPLOMACY_OFFER_BRIBE}					Corrompre
{SMT_DIPLOMACY_OFFER_PROTECTORATE}				Devenir protectorat
{SMT_MAKE_OFFER}						Offrir
{SMT_MAKE_DEMAND}						Demander
{SMT_YOUR_DEMANDS}						Vos demandes
{SMT_YOUR_OFFERS}						Vos offres
{SMT_THEIR_OFFERS}						Leurs offres
{SMT_THEIR_DEMANDS}						Leurs demandes
{SMT_GIVE_X_DENARI}						Donnez-nous %d deniers
{SMT_WE_WILL_GIVE_X_DENARI}					Nous vous donnerons %d deniers
{SMT_GIVE_YEARLY_TRIBUTE_OF_X_DENARI}				Donnez-nous un tribut de %d deniers par tour
{SMT_OFFER_YEARLY_TRIBUTE_OF_X_DENARI}				Nous vous donnerons un tribut de %d deniers par tour
{SMT_CANCEL_YEARLY_TRIBUTE_OF_X_DENARI}			Annuler le tribut de %d deniers
{SMT_DIP_ACCEPT_OFFER}						Accepter la proposition actuelle
{SMT_DIP_DECLINE_OFFER}						Refuser la proposition actuelle
{SMT_DIP_COUNTER_OFFER}					Faire une contre-proposition pour l’offre actuelle
{SMT_DIP_NEW_OFFER}						Faire une nouvelle offre
{SMT_DIP_INIT_OFFER}						Faire une offre\nLaisser les offres ou demandes vierges pour savoir ce que l’opposition est prête à donner ou accepter
{SMT_DIP_MAKE_GIFT}						Offrir ces objets en cadeau\nseuls certains objets peuvent être offerts en cadeau
{SMT_DIP_INFORM}						Informer l’opposition de l’annulation des traités conclus auparavant
{SMT_TRIBUTE_PAYED}						Tribut payé :
{SMT_TRIBUTE_RECIEVED}						Tribut reçu :
{SMT_MILITARY_ACCESS_RECEIVED}					Accès militaire reçu
{SMT_MILITARY_ACCESS_GIVEN}					Accès militaire octroyé
{SMT_TRADE_RIGHTS_GRANTED}					Droits de commerce accordés
{SMT_ABILITIES_AT_A_GLANCE}					Aperçu des capacités
{SMT_DESCRIPTION}						Description 
{SMT_UPGRADES}							Evolutions
{SMT_X_MEN}							%d hommes
{SMT_YOUR_ARMY_HAS_X_BUILD_POINTS}				Votre armée a %d points de construction
{SMT_SELECT_SIEGE_EQUIPMENT}					Sélectionnez le ou les engin(s) de siège à ajouter à la file de construction
{SMT_BUILT}							Construit
{SMT_ZOOM_TO_SETTLEMENT}					Localiser l’emplacement de la communauté
{SMT_ZOOM_TO_UNIT}						Localiser l’emplacement de l’armée d’unités
{SMT_ZOOM_TO_CHARACTER}					Localiser l’emplacement du personnage
{SMT_OPEN_CONSTRUCTION_WINDOW}				Ouvrir la fenêtre de construction de la communauté sélectionnée
{SMT_NOTHING_TO_CONSTRUCT}					Il est impossible de construire un bâtiment dans la communauté sélectionnée
