¬Strings that use a base enumeration and add to it with a faction index to attain the proper string
¬ alemanni, empire_east, empire_west, empire_east_rebels, empire_west_rebels, franks, huns, sarmatians, sassanids, saxons, vandals, goths, 
¬ white_huns, ostrogoths, romano_british, slavs, celts, slave

¬ Faction Names
{ROMANS_JULII}					Los Julios
{EMT_EGYPT_SPY}					Espía egipcio
{EMT_EGYPT_ASSASSIN}					Asesino egipcio
{EMT_EGYPT_DIPLOMAT}					Diplomático egipcio
{EMT_EGYPT_ADMIRAL}					Armada egipcia
{EMT_EGYPT_GENERAL}					Ejército egipcio
{EMT_EGYPT_NAMED_CHARACTER}					Miembro de familia egipcia
{EMT_SELEUCID_SPY}					Espía seléucida
{EMT_SELEUCID_ASSASSIN}					Asesino seléucida
{EMT_SELEUCID_DIPLOMAT}					Diplomático seléucida
{EMT_SELEUCID_ADMIRAL}					Armada seléucida
{EMT_SELEUCID_GENERAL}					Ejército seléucida
{EMT_SELEUCID_NAMED_CHARACTER}					Miembro de familia seléucida
{EMT_CARTHAGE_SPY}					Espía cartaginés
{EMT_CARTHAGE_ASSASSIN}					Asesino cartaginés
{EMT_CARTHAGE_DIPLOMAT}					Diplomático cartaginés
{EMT_CARTHAGE_ADMIRAL}					Armada cartaginesa
{EMT_CARTHAGE_GENERAL}					Ejército cartaginés
{EMT_CARTHAGE_NAMED_CHARACTER}					Miembro de familia cartaginesa
{EMT_PARTHIA_SPY}					Espía parto
{EMT_PARTHIA_ASSASSIN}					Asesino parto
{EMT_PARTHIA_DIPLOMAT}					Diplomático parto
{EMT_PARTHIA_ADMIRAL}					Armada parta
{EMT_PARTHIA_GENERAL}					Ejército parto
{EMT_PARTHIA_NAMED_CHARACTER}					Miembro de familia parta
{EMT_PONTUS_SPY}					Espía póntico
{EMT_PONTUS_ASSASSIN}					Asesino póntico
{EMT_PONTUS_DIPLOMAT}					Diplomático póntico
{EMT_PONTUS_ADMIRAL}					Armada póntica
{EMT_PONTUS_GENERAL}					Ejército póntico
{EMT_PONTUS_NAMED_CHARACTER}					Miembro de familia póntica
{EMT_GAULS_SPY}					Espía galo
{EMT_GAULS_ASSASSIN}					Asesino galo
{EMT_GAULS_DIPLOMAT}					Diplomático galo
{EMT_GAULS_ADMIRAL}					Armada gala
{EMT_GAULS_GENERAL}					Ejército galo
{EMT_GAULS_NAMED_CHARACTER}					Miembro de familia gala
{EMT_GERMANS_SPY}					Espía germano
{EMT_GERMANS_ASSASSIN}					Asesino germano
{EMT_GERMANS_DIPLOMAT}					Diplomático germano
{EMT_GERMANS_ADMIRAL}					Armada germana
{EMT_GERMANS_GENERAL}					Ejército germano
{EMT_GERMANS_NAMED_CHARACTER}					Miembro de familia germana
{EMT_BRITONS_SPY}					Espía britano
{EMT_BRITONS_ASSASSIN}					Asesino britano
{EMT_BRITONS_DIPLOMAT}					Diplomático britano
{EMT_BRITONS_ADMIRAL}					Armada britana
{EMT_BRITONS_GENERAL}					Ejército britano
{EMT_BRITONS_NAMED_CHARACTER}					Miembro de familia britana
{EMT_ARMENIA_SPY}					Espía armenio
{EMT_ARMENIA_ASSASSIN}					Asesino armenio
{EMT_ARMENIA_DIPLOMAT}					Diplomático armenio
{EMT_ARMENIA_ADMIRAL}					Armada armenia
{EMT_ARMENIA_GENERAL}					Ejército armenio
{EMT_ARMENIA_NAMED_CHARACTER}					Miembro de familia armenia
{EMT_DACIA_SPY}					Espía dacio
{EMT_DACIA_ASSASSIN}					Asesino dacio
{EMT_DACIA_DIPLOMAT}					Diplomático dacio
{EMT_DACIA_ADMIRAL}					Armada dacia
{EMT_DACIA_GENERAL}					Ejército dacio
{EMT_DACIA_NAMED_CHARACTER}					Miembro de familia dacia
{EMT_GREEK_CITIES_SPY}					Espía griego
{EMT_GREEK_CITIES_ASSASSIN}					Asesino griego
{EMT_GREEK_CITIES_DIPLOMAT}					Diplomático griego
{EMT_GREEK_CITIES_ADMIRAL}					Armada griega
{EMT_GREEK_CITIES_GENERAL}					Ejército griego
{EMT_GREEK_CITIES_NAMED_CHARACTER}					Miembro de familia griega
{EMT_NUMIDIA_SPY}					Espía númida
{EMT_NUMIDIA_ASSASSIN}					Asesino númida
{EMT_NUMIDIA_DIPLOMAT}					Diplomático númida
{EMT_NUMIDIA_ADMIRAL}					Armada númida
{EMT_NUMIDIA_GENERAL}					Ejército númida
{EMT_NUMIDIA_NAMED_CHARACTER}					Miembro de familia númida
{EMT_SCYTHIA_SPY}					Espía escita
{EMT_SCYTHIA_ASSASSIN}					Asesino escita
{EMT_SCYTHIA_DIPLOMAT}					Diplomático escita
{EMT_SCYTHIA_ADMIRAL}					Armada escita
{EMT_SCYTHIA_GENERAL}					Ejército escita
{EMT_SCYTHIA_NAMED_CHARACTER}					Miembro de familia escita
{EMT_SPAIN_SPY}					Espía hispano
{EMT_SPAIN_ASSASSIN}					Asesino hispano
{EMT_SPAIN_DIPLOMAT}					Diplomático hispano
{EMT_SPAIN_ADMIRAL}					Armada hispana
{EMT_SPAIN_GENERAL}					Ejército hispano
{EMT_SPAIN_NAMED_CHARACTER}					Miembro de familia hispana
{EMT_THRACE_SPY}					Espía tracio
{EMT_THRACE_ASSASSIN}					Asesino tracio
{EMT_THRACE_DIPLOMAT}					Diplomático tracio
{EMT_THRACE_ADMIRAL}					Armada tracia
{EMT_THRACE_GENERAL}					Ejército tracio
{EMT_THRACE_NAMED_CHARACTER}					Miembro de familia tracia

{EMT_ALEMANNI_SPY}							Espía alamán
{EMT_ALEMANNI_ASSASSIN}						Asesino alamán
{EMT_ALEMANNI_DIPLOMAT}						Diplomático alamán
{EMT_ALEMANNI_ADMIRAL}						Armada alamana
{EMT_ALEMANNI_GENERAL}						Ejército alamán
{EMT_ALEMANNI_NAMED_CHARACTER}				Miembro de familia alamana

{EMT_EMPIRE_EAST_SPY}						Espía romano (imperio de oriente)
{EMT_EMPIRE_EAST_ASSASSIN}					Asesino romano (imperio de oriente)
{EMT_EMPIRE_EAST_DIPLOMAT}					Diplomático romano (imperio de oriente)
{EMT_EMPIRE_EAST_ADMIRAL}					Armada romana (imperio de oriente)
{EMT_EMPIRE_EAST_GENERAL}					Ejército romano (imperio de oriente)
{EMT_EMPIRE_EAST_NAMED_CHARACTER}			Miembro de familia romana (imperio de oriente)

{EMT_EMPIRE_WEST_SPY}						Espía romano (imperio de occidente)
{EMT_EMPIRE_WEST_ASSASSIN}					Asesino romano (imperio de occidente)
{EMT_EMPIRE_WEST_DIPLOMAT}					Diplomático romano (imperio de occidente)
{EMT_EMPIRE_WEST_ADMIRAL}					Armada romana (imperio de occidente)
{EMT_EMPIRE_WEST_GENERAL}					Ejército romano (imperio de occidente)
{EMT_EMPIRE_WEST_NAMED_CHARACTER}			Miembro de familia romana (imperio de occidente)

{EMT_EMPIRE_EAST_REBELS_SPY}						Espía romano (rebeldes del imperio de oriente)
{EMT_EMPIRE_EAST_REBELS_ASSASSIN}					Asesino romano (rebeldes del imperio de oriente)
{EMT_EMPIRE_EAST_REBELS_DIPLOMAT}					Diplomático romano (rebeldes del imperio de oriente)
{EMT_EMPIRE_EAST_REBELS_ADMIRAL}					Armada romana (rebeldes del imperio de oriente)
{EMT_EMPIRE_EAST_REBELS_GENERAL}					Ejército romano (rebeldes del imperio de oriente)
{EMT_EMPIRE_EAST_REBELS_NAMED_CHARACTER}			Miembro de familia romana (rebeldes del imperio de oriente)

{EMT_EMPIRE_WEST_REBELS_SPY}						Espía romano (rebeldes del imperio de occidente)
{EMT_EMPIRE_WEST_REBELS_ASSASSIN}					Asesino romano (rebeldes del imperio de occidente)
{EMT_EMPIRE_WEST_REBELS_DIPLOMAT}					Diplomático romano (rebeldes del imperio de occidente)
{EMT_EMPIRE_WEST_REBELS_ADMIRAL}					Armada romana (rebeldes del imperio de occidente)
{EMT_EMPIRE_WEST_REBELS_GENERAL}					Ejército romano (rebeldes del imperio de occidente)
{EMT_EMPIRE_WEST_REBELS_NAMED_CHARACTER}			Miembro de familia romana (rebeldes del imperio de occidente)

{EMT_FRANKS_SPY}							Espía franco
{EMT_FRANKS_ASSASSIN}						Asesino franco
{EMT_FRANKS_DIPLOMAT}						Diplomático franco
{EMT_FRANKS_ADMIRAL}						Armada franca
{EMT_FRANKS_GENERAL}						Ejército franco
{EMT_FRANKS_NAMED_CHARACTER}				Miembro de familia franca

{EMT_HUNS_SPY}						Espía huno
{EMT_HUNS_ASSASSIN}					Asesino huno
{EMT_HUNS_DIPLOMAT}					Diplomático huno
{EMT_HUNS_ADMIRAL}					Armada huna
{EMT_HUNS_GENERAL}					Ejército huno
{EMT_HUNS_NAMED_CHARACTER}			Miembro de familia huna

{EMT_SARMATIANS_SPY}						Espía sármata
{EMT_SARMATIANS_ASSASSIN}					Asesino sármata
{EMT_SARMATIANS_DIPLOMAT}					Diplomático sármata
{EMT_SARMATIANS_ADMIRAL}					Armada sármata
{EMT_SARMATIANS_GENERAL}					Ejército sármata
{EMT_SARMATIANS_NAMED_CHARACTER}			Miembro de familia sármata

{EMT_SASSANIDS_SPY}							Espía sasánida
{EMT_SASSANIDS_ASSASSIN}					Asesino sasánida
{EMT_SASSANIDS_DIPLOMAT}					Diplomático sasánida
{EMT_SASSANIDS_ADMIRAL}						Armada sasánida
{EMT_SASSANIDS_GENERAL}						Ejército sasánida
{EMT_SASSANIDS_NAMED_CHARACTER}				Miembro de familia sasánida

{EMT_SAXONS_SPY}							Espía sajón
{EMT_SAXONS_ASSASSIN}						Asesino sajón
{EMT_SAXONS_DIPLOMAT}						Diplomático sajón
{EMT_SAXONS_ADMIRAL}						Armada sajona
{EMT_SAXONS_GENERAL}						Ejército sajón
{EMT_SAXONS_NAMED_CHARACTER}				Miembro de familia sajona

{EMT_VANDALS_SPY}							Espía vándalo
{EMT_VANDALS_ASSASSIN}						Asesino vándalo
{EMT_VANDALS_DIPLOMAT}						Diplomático vándalo
{EMT_VANDALS_ADMIRAL}						Armada vándala
{EMT_VANDALS_GENERAL}						Ejército vándalo
{EMT_VANDALS_NAMED_CHARACTER}				Miembro de familia vándala

{EMT_GOTHS_SPY}							Espía godo
{EMT_GOTHS_ASSASSIN}					Asesino godo
{EMT_GOTHS_DIPLOMAT}					Diplomático godo
{EMT_GOTHS_ADMIRAL}						Armada goda
{EMT_GOTHS_GENERAL}						Ejército godo
{EMT_GOTHS_NAMED_CHARACTER}				Miembro de familia goda

{EMT_WHITE_HUNS_SPY}						Espía huno (blanco)
{EMT_WHITE_HUNS_ASSASSIN}					Asesino huno (blanco)
{EMT_WHITE_HUNS_DIPLOMAT}					Diplomático huno (blanco)
{EMT_WHITE_HUNS_ADMIRAL}					Armada huna (blanca)
{EMT_WHITE_HUNS_GENERAL}					Ejército huno (blanco)
{EMT_WHITE_HUNS_NAMED_CHARACTER}			Miembro de familia huna (blanca)

{EMT_OSTROGOTHS_SPY}						Espía ostrogodo
{EMT_OSTROGOTHS_ASSASSIN}					Asesino ostrogodo
{EMT_OSTROGOTHS_DIPLOMAT}					Diplomático ostrogodo
{EMT_OSTROGOTHS_ADMIRAL}					Armada ostrogoda
{EMT_OSTROGOTHS_GENERAL}					Ejército ostrogodo
{EMT_OSTROGOTHS_NAMED_CHARACTER}			Miembro de familia ostrogoda

{EMT_ROMANO_BRITISH_SPY}					Espía britanorromano
{EMT_ROMANO_BRITISH_ASSASSIN}				Asesino britanorromano
{EMT_ROMANO_BRITISH_DIPLOMAT}				Diplomático britanorromano
{EMT_ROMANO_BRITISH_ADMIRAL}				Armada britanorromana
{EMT_ROMANO_BRITISH_GENERAL}				Ejército britanorromano
{EMT_ROMANO_BRITISH_NAMED_CHARACTER}		Miembro de familia britanorromana

{EMT_SLAVS_SPY}							Espía eslavo
{EMT_SLAVS_ASSASSIN}					Asesino eslavo
{EMT_SLAVS_DIPLOMAT}					Diplomático eslavo
{EMT_SLAVS_ADMIRAL}						Armada eslava
{EMT_SLAVS_GENERAL}						Ejército eslavo
{EMT_SLAVS_NAMED_CHARACTER}				Miembro de familia eslava

{EMT_CELTS_SPY}							Espía celta
{EMT_CELTS_ASSASSIN}					Asesino celta
{EMT_CELTS_DIPLOMAT}					Diplomático celta
{EMT_CELTS_ADMIRAL}						Armada celta
{EMT_CELTS_GENERAL}						Ejército celta
{EMT_CELTS_NAMED_CHARACTER}				Miembro de familia celta

{EMT_BERBERS_SPY}							Espía bereber
{EMT_BERBERS_ASSASSIN}						Asesino bereber
{EMT_BERBERS_DIPLOMAT}						Diplomático bereber
{EMT_BERBERS_ADMIRAL}						Armada bereber
{EMT_BERBERS_GENERAL}						Ejército bereber
{EMT_BERBERS_NAMED_CHARACTER}					Miembro de familia bereber

{EMT_MOORS_SPY}							Espía sarraceno
{EMT_MOORS_ASSASSIN}						Asesino sarraceno
{EMT_MOORS_DIPLOMAT}						Diplomático sarraceno
{EMT_MOORS_ADMIRAL}						Armada sarracena
{EMT_MOORS_GENERAL}						Ejército sarraceno
{EMT_MOORS_NAMED_CHARACTER}					Miembro de familia sarracena

{EMT_SLAVE_SPY}						Espía rebelde
{EMT_SLAVE_ASSASSIN}					Asesino rebelde
{EMT_SLAVE_DIPLOMAT}					Diplomático rebelde
{EMT_SLAVE_ADMIRAL}					Armada rebelde
{EMT_SLAVE_GENERAL}					Ejército rebelde
{EMT_SLAVE_NAMED_CHARACTER}					Miembro de familia rebelde

{EMT_ROMANS_JULII_VILLAGE}					Aldea romana (Julios)
{EMT_ROMANS_JULII_TOWN}					Pueblo romano (Julios)
{EMT_ROMANS_JULII_LARGE_TOWN}					Pueblo grande romano (Julios)
{EMT_ROMANS_JULII_CITY}					Ciudad romana (Julios)
{EMT_ROMANS_JULII_LARGE_CITY}					Urbe romana (Julios)
{EMT_ROMANS_JULII_HUGE_CITY}					Metrópolis romana (Julios)
{EMT_ROMANS_BRUTII_VILLAGE}					Aldea romana (Brutos)
{EMT_ROMANS_BRUTII_TOWN}					Pueblo romano (Brutos)
{EMT_ROMANS_BRUTII_LARGE_TOWN}					Pueblo grande romano (Brutos)
{EMT_ROMANS_BRUTII_CITY}					Ciudad romana (Brutos)
{EMT_ROMANS_BRUTII_LARGE_CITY}					Urbe romana (Brutos)
{EMT_ROMANS_BRUTII_HUGE_CITY}					Metrópolis romana (Brutos)
{EMT_ROMANS_SCIPII_VILLAGE}					Aldea romana (Escipiones)
{EMT_ROMANS_SCIPII_TOWN}					Pueblo romano (Escipiones)
{EMT_ROMANS_SCIPII_LARGE_TOWN}					Pueblo grande romano (Escipiones)
{EMT_ROMANS_SCIPII_CITY}					Ciudad romana (Escipiones)
{EMT_ROMANS_SCIPII_LARGE_CITY}					Urbe romana (Escipiones)
{EMT_ROMANS_SCIPII_HUGE_CITY}					Metrópolis romana (Escipiones)
{EMT_ROMANS_SENATE_VILLAGE}					Aldea romana (Senado)
{EMT_ROMANS_SENATE_TOWN}					Pueblo romano (Senado)
{EMT_ROMANS_SENATE_LARGE_TOWN}					Pueblo grande romano (Senado)
{EMT_ROMANS_SENATE_CITY}					Ciudad romana (Senado)
{EMT_ROMANS_SENATE_LARGE_CITY}					Urbe romana (Senado)
{EMT_ROMANS_SENATE_HUGE_CITY}					Metrópolis romana (Senado)
{EMT_MACEDON_VILLAGE}					Aldea macedonia
{EMT_MACEDON_TOWN}					Pueblo macedonio
{EMT_MACEDON_LARGE_TOWN}					Pueblo grande macedonio
{EMT_MACEDON_CITY}					Ciudad macedonia
{EMT_MACEDON_LARGE_CITY}					Urbe macedonia
{EMT_MACEDON_HUGE_CITY}					Metrópolis macedonia
{EMT_EGYPT_VILLAGE}					Aldea egipcia
{EMT_EGYPT_TOWN}					Pueblo egipcio
{EMT_EGYPT_LARGE_TOWN}					Pueblo grande egipcio
{EMT_EGYPT_CITY}					Ciudad egipcia
{EMT_EGYPT_LARGE_CITY}					Urbe egipcia
{EMT_EGYPT_HUGE_CITY}					Metrópolis egipcia
{EMT_SELEUCID_VILLAGE}					Aldea seléucida
{EMT_SELEUCID_TOWN}					Pueblo seléucida
{EMT_SELEUCID_LARGE_TOWN}					Pueblo grande seléucida
{EMT_SELEUCID_CITY}					Ciudad seléucida
{EMT_SELEUCID_LARGE_CITY}					Urbe seléucida
{EMT_SELEUCID_HUGE_CITY}					Metrópolis seléucida
{EMT_CARTHAGE_VILLAGE}					Aldea cartaginesa
{EMT_CARTHAGE_TOWN}					Pueblo cartaginés
{EMT_CARTHAGE_LARGE_TOWN}					Pueblo grande cartaginés
{EMT_CARTHAGE_CITY}					Ciudad cartaginesa
{EMT_CARTHAGE_LARGE_CITY}					Urbe cartaginesa
{EMT_CARTHAGE_HUGE_CITY}					Metrópolis cartaginesa
{EMT_PARTHIA_VILLAGE}					Aldea parta
{EMT_PARTHIA_TOWN}					Pueblo parto
{EMT_PARTHIA_LARGE_TOWN}					Pueblo grande parto
{EMT_PARTHIA_CITY}					Ciudad parta
{EMT_PARTHIA_LARGE_CITY}					Urbe parta
{EMT_PARTHIA_HUGE_CITY}					Metrópolis parta
{EMT_PONTUS_VILLAGE}					Aldea póntica
{EMT_PONTUS_TOWN}					Pueblo póntico
{EMT_PONTUS_LARGE_TOWN}					Pueblo grande póntico
{EMT_PONTUS_CITY}					Ciudad póntica
{EMT_PONTUS_LARGE_CITY}					Urbe póntica
{EMT_PONTUS_HUGE_CITY}					Metrópolis póntica
{EMT_GAULS_VILLAGE}					Aldea gala
{EMT_GAULS_TOWN}					Pueblo galo
{EMT_GAULS_LARGE_TOWN}					Pueblo grande galo
{EMT_GAULS_CITY}					Ciudad gala
{EMT_GAULS_LARGE_CITY}					Urbe gala
{EMT_GAULS_HUGE_CITY}					Metrópolis gala
{EMT_GERMANS_VILLAGE}					Aldea germana
{EMT_GERMANS_TOWN}					Pueblo germano
{EMT_GERMANS_LARGE_TOWN}					Pueblo grande germano
{EMT_GERMANS_CITY}					Ciudad germana
{EMT_GERMANS_LARGE_CITY}					Urbe germana
{EMT_GERMANS_HUGE_CITY}					Metrópolis germana
{EMT_BRITONS_VILLAGE}					Aldea britana
{EMT_BRITONS_TOWN}					Pueblo britano
{EMT_BRITONS_LARGE_TOWN}					Pueblo grande britano
{EMT_BRITONS_CITY}					Ciudad britana
{EMT_BRITONS_LARGE_CITY}					Urbe britana
{EMT_BRITONS_HUGE_CITY}					Metrópolis britana
{EMT_ARMENIA_VILLAGE}					Aldea armenia
{EMT_ARMENIA_TOWN}					Pueblo armenio
{EMT_ARMENIA_LARGE_TOWN}					Pueblo grande armenio
{EMT_ARMENIA_CITY}					Ciudad armenia
{EMT_ARMENIA_LARGE_CITY}					Urbe armenia
{EMT_ARMENIA_HUGE_CITY}					Metrópolis armenia
{EMT_DACIA_VILLAGE}					Aldea dacia
{EMT_DACIA_TOWN}					Pueblo dacio
{EMT_DACIA_LARGE_TOWN}					Pueblo grande dacio
{EMT_DACIA_CITY}					Ciudad dacia
{EMT_DACIA_LARGE_CITY}					Urbe dacia
{EMT_DACIA_HUGE_CITY}					Metrópolis dacia
{EMT_GREEK_CITIES_VILLAGE}					Aldea griega
{EMT_GREEK_CITIES_TOWN}					Pueblo griego
{EMT_GREEK_CITIES_LARGE_TOWN}					Pueblo grande griego
{EMT_GREEK_CITIES_CITY}					Ciudad griega
{EMT_GREEK_CITIES_LARGE_CITY}					Urbe griega
{EMT_GREEK_CITIES_HUGE_CITY}					Metrópolis griega
{EMT_NUMIDIA_VILLAGE}					Aldea númida
{EMT_NUMIDIA_TOWN}					Pueblo númida
{EMT_NUMIDIA_LARGE_TOWN}					Pueblo grande númida
{EMT_NUMIDIA_CITY}					Ciudad númida
{EMT_NUMIDIA_LARGE_CITY}					Urbe númida
{EMT_NUMIDIA_HUGE_CITY}					Metrópolis númida
{EMT_SCYTHIA_VILLAGE}					Aldea escita
{EMT_SCYTHIA_TOWN}					Pueblo escita
{EMT_SCYTHIA_LARGE_TOWN}					Pueblo grande escita
{EMT_SCYTHIA_CITY}					Ciudad escita
{EMT_SCYTHIA_LARGE_CITY}					Urbe escita
{EMT_SCYTHIA_HUGE_CITY}					Metrópolis escita
{EMT_SPAIN_VILLAGE}					Aldea hispana
{EMT_SPAIN_TOWN}					Pueblo hispano
{EMT_SPAIN_LARGE_TOWN}					Pueblo grande hispano
{EMT_SPAIN_CITY}					Ciudad hispana
{EMT_SPAIN_LARGE_CITY}					Urbe hispana
{EMT_SPAIN_HUGE_CITY}					Metrópolis hispana
{EMT_THRACE_VILLAGE}					Aldea tracia
{EMT_THRACE_TOWN}					Pueblo tracio
{EMT_THRACE_LARGE_TOWN}					Pueblo grande tracio
{EMT_THRACE_CITY}					Ciudad tracia
{EMT_THRACE_LARGE_CITY}					Urbe tracia
{EMT_THRACE_HUGE_CITY}					Metrópolis tracia
{EMT_SLAVE_VILLAGE}					Aldea rebelde
{EMT_SLAVE_TOWN}					Pueblo rebelde
{EMT_SLAVE_LARGE_TOWN}					Pueblo grande rebelde
{EMT_SLAVE_CITY}					Ciudad rebelde
{EMT_SLAVE_LARGE_CITY}					Urbe rebelde
{EMT_SLAVE_HUGE_CITY}					Metrópolis rebelde
{EMT_ALEMANNI_VILLAGE}		Aldea alamana
{EMT_ALEMANNI_TOWN}			Pueblo alamán
{EMT_ALEMANNI_LARGE_TOWN}	Pueblo grande alamán
{EMT_ALEMANNI_CITY}			Ciudad alamana
{EMT_ALEMANNI_LARGE_CITY}	Urbe alamana
{EMT_ALEMANNI_HUGE_CITY}	Metrópolis alamana
{EMT_EMPIRE_EAST_VILLAGE}		Aldea romana (imperio de oriente)
{EMT_EMPIRE_EAST_TOWN}			Pueblo romano (imperio de oriente)
{EMT_EMPIRE_EAST_LARGE_TOWN}	Pueblo grande romano (imperio de oriente)
{EMT_EMPIRE_EAST_CITY}			Ciudad romana (imperio de oriente)
{EMT_EMPIRE_EAST_LARGE_CITY}	Urbe romana (imperio de oriente)
{EMT_EMPIRE_EAST_HUGE_CITY}		Metrópolis romana (imperio de oriente)
{EMT_EMPIRE_WEST_VILLAGE}		Aldea romana (imperio de occidente)
{EMT_EMPIRE_WEST_TOWN}			Pueblo romano (imperio de occidente)
{EMT_EMPIRE_WEST_LARGE_TOWN}	Pueblo grande romano (imperio de occidente)
{EMT_EMPIRE_WEST_CITY}			Ciudad romana (imperio de occidente)
{EMT_EMPIRE_WEST_LARGE_CITY}	Urbe romana (imperio de occidente)
{EMT_EMPIRE_WEST_HUGE_CITY}		Metrópolis romana (imperio de occidente)
{EMT_EMPIRE_EAST_REBELS_VILLAGE}		Aldea romana (rebeldes del imperio de oriente)
{EMT_EMPIRE_EAST_REBELS_TOWN}			Pueblo romano (rebeldes del imperio de oriente)
{EMT_EMPIRE_EAST_REBELS_LARGE_TOWN}		Pueblo grande romano (rebeldes del imperio de oriente)
{EMT_EMPIRE_EAST_REBELS_CITY}			Ciudad romana (rebeldes del imperio de oriente)
{EMT_EMPIRE_EAST_REBELS_LARGE_CITY}		Urbe romana (rebeldes del imperio de oriente)
{EMT_EMPIRE_EAST_REBELS_HUGE_CITY}		Metrópolis romana (rebeldes del imperio de oriente)
{EMT_EMPIRE_WEST_REBELS_VILLAGE}		Aldea romana (rebeldes del imperio de occidente)
{EMT_EMPIRE_WEST_REBELS_TOWN}			Pueblo romano (rebeldes del imperio de occidente)
{EMT_EMPIRE_WEST_REBELS_LARGE_TOWN}		Pueblo grande romano (rebeldes del imperio de occidente)
{EMT_EMPIRE_WEST_REBELS_CITY}			Ciudad romana (rebeldes del imperio de occidente)
{EMT_EMPIRE_WEST_REBELS_LARGE_CITY}		Urbe romana (rebeldes del imperio de occidente)
{EMT_EMPIRE_WEST_REBELS_HUGE_CITY}		Metrópolis romana (rebeldes del imperio de occidente)
{EMT_FRANKS_VILLAGE}		Aldea franca
