¬ Text file converted with loc_parser
{SMT_CULTURE_ROMAN}				Romano
{SMT_ARMY_UPKEEP}				Mantenimiento del ejército:
{SMT_LOYALTY_REVOLTING}			En revuelta
{SMT_LOYALTY_RIOTING}				Levantándose
{SMT_LOYALTY_DISILLUSIONED}			Desilusionados
{SMT_LOYALTY_CONTENT}				Contentos
{SMT_LOYALTY_HAPPY}				Felices
{SMT_FORTIFICATION_NONE}			Sin fortificaciones
{SMT_FORTIFICATION_0}				De madera
{SMT_FORTIFICATION_1}				De madera (grande)
{SMT_FORTIFICATION_2}				De piedra
{SMT_FORTIFICATION_3}				De piedra (grande)
{SMT_FORTIFICATION_4}				Épica
{SMT_MISSION_INFILTRATE}			Misión de infiltración
{SMT_MISSION_DIPLOMACY}			Misión diplomática
{SMT_MISSION_BRIBE}				Misión de soborno
{SMT_MISSION_SPYING}				Misión de espionaje
{SMT_MISSION_ASSASSINATE}			Misión de asesinato
{SMT_MISSION_SABOTAGE}				Misión de sabotaje
{SMT_NAME}					Nombre
{SMT_FORT}					Fuerte
{SMT_FACTION}					Facción
{SMT_PORT}					Puerto
{SMT_POPULATION}				Población
{SMT_FATIGUE}					Nivel de fatiga
{SMT_EXPERIENCE}				Experiencia
{SMT_MILD}					leve
{SMT_MASSIVE}					masivo
{SMT_CATASTROPHIC}				catastrófico
{SMT_SMALL}					pequeño
{SMT_MEDIUM}					moderado
{SMT_LARGE}					grande
{SMT_HUGE}					enorme
{SMT_CURRENTLY_BUILDING}			En construcción
{SMT_HEALTHY}					Saludable
{SMT_TIRED}					Cansado
{SMT_ILL}					Enfermo
{SMT_DYING}					Agonizante
{SMT_ARMY_DETAILS}				Detalles del ejército
{SMT_ENEMY_ARMY_DETAILS}			Detalles del ejército enemigo
{SMT_ALLIED_ARMY_DETAILS}			Detalles del ejército aliado
{SMT_NEUTRAL_ARMY_DETAILS}			Detalles del ejército neutral
{SMT_NAVY_DETAILS}				Detalles de la armada
{SMT_ENEMY_NAVY_DETAILS}			Detalles de la armada enemiga
{SMT_ALLIED_NAVY_DETAILS}			Detalles de la armada aliada
{SMT_NEUTRAL_NAVY_DETAILS}			Detalles de la armada neutral
{SMT_SETTLEMENT_DETAILS}			Detalles del enclave
{SMT_ENEMY_SETTLEMENT_DETAILS}		Detalles del enclave enemigo
{SMT_NEUTRAL_SETTLEMENT_DETAILS}		Detalles del enclave neutral
{SMT_ALLIED_SETTLEMENT_DETAILS}		Detalles del enclave aliado
{SMT_FORT_DETAILS}				Detalles del fuerte
{SMT_ENEMY_FORT_DETAILS}			Detalles del fuerte enemigo
{SMT_ALLIED_FORT_DETAILS}			Detalles del fuerte aliado
{SMT_NEUTRAL_FORT_DETAILS}			Detalles del fuerte neutral
{SMT_SET_HEIR}					Escoger heredero de la facción
{SMT_PREV_CITY}					Seleccionar anterior ciudad
{SMT_NEXT_CITY}				Seleccionar siguiente ciudad
{SMT_NEXT_CHARACTER}				Seleccionar siguiente personaje
{SMT_PREV_CHARACTER}				Seleccionar anterior personaje
{SMT_NEXT_UNIT}				Seleccionar siguiente unidad
{SMT_PREV_UNIT}					Seleccionar anterior unidad
{SMT_PREV_FORT}				Seleccionar anterior fuerte
{SMT_NEXT_FORT}				Seleccionar siguiente fuerte
{SMT_FOOD_SUPPLIES}				Suministro de alimento
{SMT_STATE_REVOLTING}				Los campesinos de este enclave se están rebelando
{SMT_STATE_NOT_REVOLTING}			No hay señales de descontento entre los campesinos de este enclave
{SMT_STATE_UNDER_SIEGE}			Este enclave está bajo asedio
{SMT_STATE_NOT_UNDER_SIEGE}			Este enclave no está bajo asedio
{SMT_STATE_HOLDING_GAMES}			El enclave está celebrando unos juegos
{SMT_STATE_NOT_HOLDING_GAMES}			No se están celebrando juegos en el enclave
{SMT_STATE_PLAGUE}				La peste acecha en las calles de este enclave
{SMT_STATE_NOT_PLAGUED}			No hay señales de la peste en este enclave
{SMT_FERTILE_LOW}				Fertilidad baja
{SMT_FERTILE_MEDIUM}				Fertilidad media
{SMT_FERTILE_HIGH}				Fertilidad alta
{SMT_WILDERNESS}				Agreste
{SMT_MOUNTAINS_HIGH}				Montañas altas
{SMT_MOUNTAINS_LOW}				Montañas bajas
{SMT_HILLS}					Colinas
{SMT_FOREST_DENSE}				Bosque tupido
{SMT_FOREST_SPARSE}				Arboleda
{SMT_SWAMP}					Pantano
{SMT_OCEAN}					Océano
{SMT_SEA_DEEP}					Alta mar
{SMT_SEA_SHALLOW}				Bajíos marinos
{SMT_BEACH}					Costa
{SMT_FAMINE_THREAT_OK}				Ninguna
{SMT_FAMINE_THREAT_HUNGRY}			Hambre
{SMT_FAMINE_THREAT_FAMINE_1}			Hambruna menor
{SMT_FAMINE_THREAT_FAMINE_2}			Hambruna
{SMT_FAMINE_THREAT_FAMINE_3}			Hambruna catastrófica
{SMT_FAMINE_THREAT}				Amenaza de hambruna
{SMT_HARVEST_LEVEL}				Nivel de cosecha
{SMT_FARMING_LEVEL}				Nivel agrícola
{SMT_TAX_LEVEL_LOW}				Impuestos bajos
{SMT_TAX_LEVEL_NORMAL}				Impuestos normales
{SMT_TAX_LEVEL_HIGH}				Impuestos altos
{SMT_TAX_LEVEL_VERY_HIGH}			Impuestos muy altos
{SMT_GOVERNOR_POLICY_BALANCED}		Política equilibrada
{SMT_GOVERNOR_POLICY_FINANCIAL}		Política financiera
{SMT_GOVERNOR_POLICY_MILITARY}			Política militar
{SMT_GOVERNOR_POLICY_STRONGHOLD}		Política de defensa
{SMT_GOVERNOR_POLICY_CULTURAL}			Política cultural
{SMT_NO_GOVERNOR}				Sin gobernante
{SMT_SHOW_GARRISON}				Mostrar unidades de la guarnición
{SMT_SHOW_UNITS}				Mostrar unidades del ejército
{SMT_SHOW_UNITS_NAVY}				Mostrar unidades de la armada
{SMT_SHOW_BUILDINGS}				Mostrar edificios del enclave
{SMT_SHOW_VISITORS}				Mostrar personajes de visita en el enclave
{SMT_SHOW_TRAVELLING_CHARACTERS}		Mostrar personajes que viajen con el ejército
{SMT_SHOW_TRAVELLING_CHARACTERS_NAVY}	Mostrar personajes que viajen con la armada
{SMT_SHOW_PASSENGERS}				Mostrar unidades que viajen en la flota seleccionada
{SMT_RCLICK_SHOW_SETTLEMENTS}			Haz clic derecho en la pestaña para mostrar una lista de tus enclaves
{SMT_RCLICK_SHOW_CHARACTERS}			Haz clic derecho en la pestaña para mostrar una lista de tus personajes
{SMT_RCLICK_SHOW_ARMIES}			Haz clic derecho en la pestaña para mostrar una lista de tus fuerzas militares
{SMT_LOYALTY_DECREASING}			La lealtad a tu gobernante se está reduciendo\nLa población necesita que la animen
{SMT_LOYALTY_INCREASING}			La lealtad está mejorando\nBuen trabajo, sigue así
{SMT_MISSION_BREAK_ALLIANCE_TITLE}		Romper la alianza
{SMT_MISSION_BREAK_ALLIANCE_PROPOSAL}		El Senado insiste en que rompas tu alianza con esta facción, ya que es enemiga de Roma
{SMT_MISSION_BREAK_ALLIANCE_EXPIRY}		El Senado ha anulado tu misión de romper la alianza con esta facción puesto que ya no es enemiga de Roma
{SMT_MISSION_BREAK_ALLIANCE_FAILURE}		El Senado se enfurece al constatar que no has roto tu alianza con esta facción
{SMT_MISSION_BREAK_ALLIANCE_SUCCESS}		El Senado constata que has roto tu alianza con esta facción
{SMT_MISSION_CAPTURE_REBEL_CITY_TITLE}		Capturar el enclave rebelde
{SMT_MISSION_CAPTURE_REBEL_CITY_PROPOSAL}	El Senado no tolera la rebelión, así que captura este enclave e impón la autoridad de Roma
{SMT_MISSION_CAPTURE_REBEL_CITY_EXPIRY}	Este enclave ya ha sido recuperado, de modo que no es necesario que sigas intentando capturarlo
{SMT_MISSION_CAPTURE_REBEL_CITY_FAILURE}	El Senado comprueba con desagrado que has fracasado en la captura de este enclave
{SMT_MISSION_CAPTURE_REBEL_CITY_SUCCESS}	El Senado comprueba con agrado que has capturado este enclave
{SMT_MISSION_DESTROY_REBEL_CITY_TITLE}		Destruir el enclave rebelde
{SMT_MISSION_DESTROY_REBEL_CITY_PROPOSAL}	¡Libra al imperio de este enclave rebelde! Destrúyelo y que sirva de ejemplo para todos los súbditos de Roma
{SMT_MISSION_DESTROY_REBEL_CITY_EXPIRY}	El Senado ya no te exige la destrucción de este enclave
{SMT_MISSION_DESTROY_REBEL_CITY_FAILURE}	El Senado comprueba con desagrado que has fracasado en la destrucción de este enclave
{SMT_MISSION_DESTROY_REBEL_CITY_SUCCESS}	El Senado comprueba con agrado que has destruido este enclave
{SMT_MISSION_GIVE_BACK_CITY_TITLE}		Devolver el enclave
{SMT_MISSION_GIVE_BACK_CITY_PROPOSAL}		El Senado te pide que devuelvas este enclave
{SMT_MISSION_GIVE_BACK_CITY_EXPIRY}		El Senado ya no te exige la devolución de este enclave
{SMT_MISSION_GIVE_BACK_CITY_FAILURE}		El Senado comprueba que no has cumplido la devolución de este enclave
{SMT_MISSION_GIVE_BACK_CITY_SUCCESS}		El Senado comprueba que has cumplido la devolución de este enclave correctamente
{SMT_MISSION_ATTACK_OUTLAW_FACTION_TITLE}	Atacar a la facción proscrita
{SMT_MISSION_ATTACK_OUTLAW_FACTION_PROPOSAL}	Esta facción ha sido prohibida. El Senado solicita que la ataques
{SMT_MISSION_ATTACK_OUTLAW_FACTION_EXPIRY}	El Senado ya no te exige que ataques a esta facción, pues se ha negociado la paz
{SMT_MISSION_ATTACK_OUTLAW_FACTION_FAILURE}	El Senado comprueba que no has atacado a esta facción
{SMT_MISSION_ATTACK_OUTLAW_FACTION_SUCCESS}	El Senado comprueba con agrado que has atacado a esta facción
{SMT_MISSION_CEASE_HOSTILITIES_TITLE}		Cesar las hostilidades
{SMT_MISSION_CEASE_HOSTILITIES_PROPOSAL}	El Senado te pide que ceses las hostilidades contra esta facción
{SMT_MISSION_CEASE_HOSTILITIES_EXPIRY}		El Senado ya no te exige cesar las hostilidades contra esta facción
{SMT_MISSION_CEASE_HOSTILITIES_FAILURE}		El Senado comprueba con desagrado que no se aprecia la proximidad del cese de las hostilidades contra esta facción
{SMT_MISSION_CEASE_HOSTILITIES_SUCCESS}	El Senado comprueba con agrado que has cesado las hostilidades contra esta facción
{SMT_MISSION_DECLARE_WAR_TITLE}		Declarar la guerra
{SMT_MISSION_DECLARE_WAR_PROPOSAL}		Esta facción es enemiga de Roma, por lo que el Senado te pide que le declares la guerra
{SMT_MISSION_DECLARE_WAR_EXPIRY}		El Senado ya no te exige que vayas a la guerra contra esta facción
{SMT_MISSION_DECLARE_WAR_DECLINED}		El Senado se irrita al comprobar que has optado por no guerrear contra nuestro enemigo
{SMT_MISSION_DECLARE_WAR_FAILURE}		El Senado se irrita al comprobar que ya no buscas la guerra
{SMT_MISSION_DECLARE_WAR_SUCCESS}		El Senado te está agradecido por tu aportación a la campaña militar
{SMT_MISSION_HELP_PLAYER_TITLE}			Ayuda del Senado
{SMT_MISSION_HELP_PLAYER_PROPOSAL}		El Senado admira los esfuerzos que has realizado por el imperio y desea que aceptes esta recompensa como muestra de gratitud
{SMT_MISSION_ASSASSINATION_TITLE}		Asesinato
{SMT_MISSION_ASSASSINATION_PROPOSAL}		El Senado considera que el mundo estaría mucho mejor sin esta persona, así que mátala
{SMT_MISSION_ASSASSINATION_EXPIRY_NOW_AN_ALLY}	La misión de asesinato ya no es necesaria, puesto que el objetivo es ahora amigo de Roma
{SMT_MISSION_ASSASSINATION_EXPIRY_OTHER_MEANS}	La misión de asesinato ya no es necesaria, puesto que el objetivo ha muerto mientras tanto
{SMT_MISSION_ASSASSINATION_EXPIRY_HIDING}	La misión de asesinato ya no es necesaria, puesto que el objetivo se ha escondido
{SMT_MISSION_ASSASSINATION_EXPIRY_IN_BATTLE}	Tu misión de asesinato ya no es necesaria, puesto que el Senado pidió un asesinato discreto, no una muerte escandalosa en el campo de batalla
{SMT_MISSION_ASSASSINATION_SUCCESS}		El Senado comprueba con agrado el éxito del asesinato
{SMT_MISSION_ASSASSINATION_FAILURE}		El Senado comprueba con desagrado tu fracaso en el asesinato de esta persona
{SMT_MISSION_TAKE_CITY_TITLE}			Tomar el enclave
{SMT_MISSION_TAKE_CITY_PROPOSAL}		El Senado te pide que tomes este enclave por la gloria del imperio
{SMT_MISSION_TAKE_CITY_EXPIRY}			El Senado ya no te exige la toma de este enclave
{SMT_MISSION_TAKE_CITY_FAILURE}			El Senado comprueba con desagrado que has fracasado en la toma de este enclave
{SMT_MISSION_TAKE_CITY_SUCCESS}		El Senado comprueba con agrado que has tomado este enclave
{SMT_MISSION_RECAPTURE_EAGLE_TITLE}		Recuperar las águilas de la legión
{SMT_MISSION_RECAPTURE_EAGLE_PROPOSAL}	El Senado espera que tomes este enclave y recuperes tus águilas de la legión por el bien del honor romano
{SMT_MISSION_RECAPTURE_EAGLE_EXPIRY}		Este enclave ha sido tomado y tus águilas se han perdido
{SMT_MISSION_RECAPTURE_EAGLE_FAILURE}		El Senado comprueba con profundo desagrado que no has logrado recuperar tus águilas de la legión
{SMT_MISSION_RECAPTURE_EAGLE_SUCCESS}		El Senado comprueba con satisfacción que has recuperado tus águilas de la legión
{SMT_MISSION_SEND_EMISSARY_TITLE}		Enviar un emisario
{SMT_MISSION_SEND_EMISSARY_PROPOSAL}		El Senado te pide que envíes un emisario a esta facción
{SMT_MISSION_SEND_EMISSARY_FAILURE}		El Senado comprueba que tus diplomáticos no han contactado con esta facción
{SMT_MISSION_SEND_EMISSARY_SUCCESS}		El Senado comprueba que tu emisario ha contactado con esta facción
{SMT_MISSION_DEMAND_SUICIDE_TITLE}		Petición de suicidio
{SMT_MISSION_DEMAND_SUICIDE_PROPOSAL}		Por el bien del imperio, el Senado solicita el suicidio del líder de tu facción
{SMT_MISSION_DEMAND_SUICIDE_DECLINED}		El Senado queda disgustado ante tu rechazo a que el líder de tu facción se quite la vida
{SMT_MISSION_DEMAND_SUICIDE_SUCCESS}		El Senado queda complacido ante el suicidio del líder de tu facción
{SMT_SENATE_FAILURE}				Si fracasas:
{SMT_SENATE_FINE_AWARDED}			Se te penalizará por tus miserables acciones
{SMT_PENALTY_OUTLAW_DESCRIPTION}		Quedarás fuera de la ley
{SMT_PENALTY_OUTLAW}				El Senado le declarará la guerra a tu facción, que va a ser prohibida
{SMT_PENALTY_CENSOR_INVESTIGATES_FAMILY_DESCRIPTION}	El censor investigará a tu familia
{SMT_PENALTY_CENSOR_INVESTIGATES_FAMILY}		Tras la investigación de tu familia realizada por el censor, el siguiente miembro de la misma se ha suicidado. El Senado te transmite su más sentido pésame por la pérdida
{SMT_PENALTY_QUAESTOR_INVESTIGATES_FOR_CORRUPTION_DESCRIPTION}	El cuestor investigará tu facción en busca de corrupción
{SMT_PENALTY_QUAESTOR_INVESTIGATES_FOR_CORRUPTION}			Tras la investigación de tu facción en busca de corrupción realizada por el cuestor, se te impone una multa de %d denarios
{SMT_PENALTY_CENSOR_INVESTIGATES_FACTION_DESCRIPTION}			El censor investigará tu facción
{SMT_PENALTY_CENSOR_INVESTIGATES_FACTION}					Tras la investigación de tu facción realizada por el censor, %s se ha suicidado
{SMT_PENALTY_QUAESTOR_INVESTIGATES_FOR_FINANCIAL_IRREGULARITIES_DESCRIPTION}	El cuestor investigará tu facción en busca de irregularidades financieras
{SMT_PENALTY_QUAESTOR_INVESTIGATES_FOR_FINANCIAL_IRREGULARITIES}		Tras la investigación de tu facción en busca de irregularidades financieras realizada por el cuestor, se te impone una multa de %d denarios
{SMT_PENALTY_QUAESTOR_INVESTIGATES_FOR_ACCOUNTING_IRREGULARITIES_DESCRIPTION}		El cuestor investigará tu facción en busca de irregularidades contables
{SMT_PENALTY_QUAESTOR_INVESTIGATES_FOR_ACCOUNTING_IRREGULARITIES}			Tras la investigación de tu facción en busca de irregularidades contables realizada por el cuestor, se te impone una multa de %d denarios
{SMT_PENALTY_SENATE_DISPLEASURE_DESCRIPTION}			Incurrirás en la desaprobación del Senado
{SMT_PENALTY_SECRET_INFORMATION_EXPOSURE_DESCRIPTION}		Tu secreto quedará al descubierto
{SMT_PENALTY_SECRET_INFORMATION_EXPOSURE}			Tu secreto está al descubierto
{SMT_PENALTY_OFFICES_WITHELD_DESCRIPTION}			Tu facción no podrá optar a cargos del Senado durante cuatro años
{SMT_PENALTY_OFFICES_WITHELD}					Es poco probable que el Senado tenga en cuenta a tu facción para cargos del Senado durante una temporada
{SMT_SENATE_SUCCESS}						Si tienes éxito:
{SMT_SENATE_BOUNTY_AWARDED}					Se te concederá una recompensa por tus esfuerzos
{SMT_REWARD_MAJOR_EXOTIC_UNIT_DESCRIPTION}			Se te recompensará con una unidad exótica superior
{SMT_REWARD_TWO_MINOR_EXOTIC_UNITS_DESCRIPTION}		Se te recompensará con dos unidades exóticas inferiores
{SMT_REWARD_TWO_BEST_BUILDABLE_UNITS_DESCRIPTION}		Se te recompensará con dos de las mejores unidades que puedas crear
{SMT_REWARD_ONE_BEST_BUILDABLE_UNIT_DESCRIPTION}		Se te recompensará con una de las mejores unidades que puedas crear
{SMT_REWARD_ONE_MINOR_EXOTIC_UNIT_DESCRIPTION}		Se te recompensará con una unidad exótica inferior
{SMT_REWARD_ONE_BUILDABLE_UNIT_DESCRIPTION}			Se te recompensará con una de las unidades que puedas crear
{SMT_REWARD_CANNOT_BUILD_A_UNIT}				No se te puede recompensar, ya que no puedes crear ninguna unidad
{SMT_REWARD_UNIT_AT_YOUR_CAPITAL}				Tu unidad de recompensa se encuentra en tu capital:\n
{SMT_REWARD_SENATE_GRATITUDE_DESCRIPTION}			Te ganarás la gratitud del Senado
{SMT_REWARD_SENATE_GRATITUDE}					El Senado ha comprobado tus esfuerzos por Roma y te está muy agradecido
{SMT_REWARD_THROW_GAMES_DESCRIPTION}				Los juegos se celebrarán en tu capital con cargo al Senado
{SMT_REWARD_MAJOR_REWARD_DESCRIPTION}			Se te recompensará abundantemente
{SMT_REWARD_MODERATE_REWARD_DESCRIPTION}			Se te recompensará generosamente
{SMT_REWARD_MINOR_REWARD_DESCRIPTION}				Se te recompensará
{SMT_REWARD_MONEY}						Se te ha otorgado un presente de %d denarios
{SMT_REWARD_PROMISE_OF_APPOINTMENT_DESCRIPTION}		Tendrás prioridad para ocupar un cargo
{SMT_REWARD_PROMISE_OF_APPOINTMENT}				El Senado prestará especial atención a tu facción de cara a ocupar un cargo en él
{SMT_SENATE_ATTITUDE}						La predisposición del Senado hacia ti es buena
{SMT_SENATE_OFFICE_QUAESTOR_TITLE}				Cuestor
{SMT_SENATE_OFFICE_QUAESTOR_DESCRIPTION}			Funcionario subalterno
{SMT_SENATE_OFFICE_AEDILE_TITLE}				Edil
{SMT_SENATE_OFFICE_AEDILE_DESCRIPTION}				A cargo de organizar juegos
{SMT_SENATE_OFFICE_PRAETOR_TITLE}				Pretor
{SMT_SENATE_OFFICE_PRAETOR_DESCRIPTION}			Comandante de la Guardia Pretoriana
{SMT_SENATE_OFFICE_CONSUL_TITLE}				Cónsul
{SMT_SENATE_OFFICE_CONSUL_DESCRIPTION}				Diseñador de políticas del Senado
{SMT_SENATE_OFFICE_CENSOR_TITLE}				Censor
{SMT_SENATE_OFFICE_CENSOR_DESCRIPTION}				Guardián de la moral pública
{SMT_SENATE_OFFICE_PONTIFEX_MAXIMUS_TITLE}			Pontífice máximo
{SMT_SENATE_OFFICE_PONTIFEX_MAXIMUS_DESCRIPTION}		Líder religioso supremo
{SMT_REMOVE_RALLY_POINT}					Quitar el punto de reunión de este enclave\nLas unidades recién reclutadas se unirán a la guarnición
{SMT_SET_RALLY_POINT}						Mostrar puntos de reunión
{SMT_1_TURN}							1 turno
{SMT_X_TURNS}							%d turnos
{SMT_SELECT_UNIT_TO_RECRUIT}					Seleccionar unidad a reclutar
{SMT_SELECT_UNIT_TO_RETRAIN}					Seleccionar unidad a volver a instruir
{SMT_SET_TO_RECRUIT_MODE}					Mostrar unidades que puedan reclutarse
{SMT_SET_TO_RETRAIN_MODE}					Mostrar unidades en la guarnición que haya que volver a instruir y equipar
{SMT_MERGE_SELECTED_UNITS}					Fusionar los elementos seleccionados del panel izquierdo con el panel derecho
{SMT_X_PERCENT_COMPLETE}					%d por ciento completado
{SMT_DIPLOMACY_OFFER_ALLIANCE}					Alianza
{SMT_DIPLOMACY_OFFER_CANCEL_ALLIANCE}				Cancelar alianza
{SMT_DIPLOMACY_OFFER_CEASEFIRE}				Alto el fuego
{SMT_DIPLOMACY_OFFER_MILITARY_ACCESS}				Acceso militar
{SMT_DIPLOMACY_OFFER_CANCEL_MILITARY_ACCESS}			Cancelar acceso militar
{SMT_DIPLOMACY_OFFER_TRADE_RIGHTS}				Derechos de comercio
{SMT_DIPLOMACY_OFFER_CANCEL_TRADE_RIGHTS}			Cancelar derechos de comercio
{SMT_DIPLOMACY_OFFER_ATTACK_FACTION}				Atacar facción
{SMT_DIPLOMACY_OFFER_CEDE_REGION}				Entregar región
{SMT_DIPLOMACY_OFFER_SINGLE_PAYMENT}				Efectuar pago único
{SMT_DIPLOMACY_OFFER_YEARLY_PAYMENT}				Tributo normal
{SMT_DIPLOMACY_OFFER_CANCEL_YEARLY_PAYMENT}			Cancelar tributo normal
{SMT_DIPLOMACY_OFFER_THREAT_OF_ATTACK}			No amenazar con un ataque
{SMT_DIPLOMACY_OFFER_DEMAND_NO_ATTACK}			No atacar
{SMT_DIPLOMACY_OFFER_MAP_INFORMATION}				Información del mapa
{SMT_DIPLOMACY_OFFER_BRIBE}					Sobornar
{SMT_DIPLOMACY_OFFER_PROTECTORATE}				Convertirse en protectorado
{SMT_MAKE_OFFER}						Formular oferta
{SMT_MAKE_DEMAND}						Formular petición
{SMT_YOUR_DEMANDS}						Tus peticiones
{SMT_YOUR_OFFERS}						Tus ofertas
{SMT_THEIR_OFFERS}						Sus ofertas
{SMT_THEIR_DEMANDS}						Sus peticiones
{SMT_GIVE_X_DENARI}						Entregadnos %d denarios
{SMT_WE_WILL_GIVE_X_DENARI}					Entregaremos %d denarios
{SMT_GIVE_YEARLY_TRIBUTE_OF_X_DENARI}				Pagar tributo de %d denarios por turno
{SMT_OFFER_YEARLY_TRIBUTE_OF_X_DENARI}				Pagaremos un tributo de %d denarios por turno
{SMT_CANCEL_YEARLY_TRIBUTE_OF_X_DENARI}			Cancelar el tributo de %d denarios
{SMT_DIP_ACCEPT_OFFER}						Aceptar la propuesta actual
{SMT_DIP_DECLINE_OFFER}						Rechazar la propuesta actual
{SMT_DIP_COUNTER_OFFER}					Formular una contraoferta a la propuesta actual
{SMT_DIP_NEW_OFFER}						Formular una nueva oferta
{SMT_DIP_INIT_OFFER}						Formular una oferta\nDeja las ofertas o peticiones en blanco para averiguar lo que el adversario entregaría o tomaría a cambio
{SMT_DIP_MAKE_GIFT}						Ofrecer los elementos como presente\nSolo determinados elementos pueden ofrecerse como presentes
{SMT_DIP_INFORM}						Informar al adversario de la cancelación de tratados acordados anteriormente
{SMT_TRIBUTE_PAYED}						Tributo pagado:
{SMT_TRIBUTE_RECIEVED}						Tributo percibido:
{SMT_MILITARY_ACCESS_RECEIVED}					Recibido el acceso militar
{SMT_MILITARY_ACCESS_GIVEN}					Acceso militar concedido
{SMT_TRADE_RIGHTS_GRANTED}					Derechos de comercio concedidos
{SMT_ABILITIES_AT_A_GLANCE}					Perspectiva de capacidades
{SMT_DESCRIPTION}						Descripción
{SMT_UPGRADES}							Mejoras
{SMT_X_MEN}							%d hombres
{SMT_YOUR_ARMY_HAS_X_BUILD_POINTS}				Tu ejército tiene %d puntos de construcción
{SMT_SELECT_SIEGE_EQUIPMENT}					Selecciona el equipo de asedio a añadir a la cola de construcción
{SMT_BUILT}							Construido
{SMT_ZOOM_TO_SETTLEMENT}					Localizar posición del enclave
{SMT_ZOOM_TO_UNIT}						Localizar posición del ejército de la unidad
{SMT_ZOOM_TO_CHARACTER}					Localizar posición del personaje
{SMT_OPEN_CONSTRUCTION_WINDOW}				Abrir la ventana de construcción para el enclave seleccionado
{SMT_NOTHING_TO_CONSTRUCT}					No es posible construir ningún edificio en el enclave seleccionado
{SMT_OPEN_TRAINING_WINDOW}					Abrir el pergamino de instrucción de unidades para el enclave seleccionado
{SMT_NOTHING_TO_TRAIN}						No es posible reclutar ninguna unidad en el enclave seleccionado
