¬Strings that use a base enumeration and add to it with a faction index to attain the proper string
¬ Alemannen, empire_east, empire_west, empire_east_rebels, empire_west_rebels, franks, huns, sarmatians, sassanids, saxons, vandals, goths, 
¬ white_huns, ostrogoths, romano_british, slavs, celts, slave

¬ Faction Names
{ROMANS_JULII}					Das Haus der Julier
{EMT_ROMANO_BRITISH_ADMIRAL}				Romano-britischer Flottenverband
{EMT_ROMANO_BRITISH_GENERAL}				Romano-britische Armee
{EMT_ROMANO_BRITISH_NAMED_CHARACTER}		Romano-britisches Familienmitglied

{EMT_SLAVS_SPY}							Slawischer Spion
{EMT_SLAVS_ASSASSIN}					Slawischer Attentäter
{EMT_SLAVS_DIPLOMAT}					Slawischer Diplomat
{EMT_SLAVS_ADMIRAL}						Slawischer Flottenverband
{EMT_SLAVS_GENERAL}						Slawische Armee
{EMT_SLAVS_NAMED_CHARACTER}				Slawisches Familienmitglied

{EMT_CELTS_SPY}							Keltischer Spion
{EMT_CELTS_ASSASSIN}					Keltischer Attentäter
{EMT_CELTS_DIPLOMAT}					Keltischer Diplomat
{EMT_CELTS_ADMIRAL}						Keltischer Flottenverband
{EMT_CELTS_GENERAL}						Keltische Armee
{EMT_CELTS_NAMED_CHARACTER}				Keltisches Familienmitglied

{EMT_BERBERS_SPY}							Berberischer Spion
{EMT_BERBERS_ASSASSIN}						Berberischer Attentäter
{EMT_BERBERS_DIPLOMAT}						Berberischer Diplomat
{EMT_BERBERS_ADMIRAL}						Berberischer Flottenverband
{EMT_BERBERS_GENERAL}						Berberische Armee
{EMT_BERBERS_NAMED_CHARACTER}					Berberisches Familienmitglied

{EMT_MOORS_SPY}							Maurischer Spion
{EMT_MOORS_ASSASSIN}						Maurischer Attentäter
{EMT_MOORS_DIPLOMAT}						Maurischer Diplomat
{EMT_MOORS_ADMIRAL}						Maurischer Flottenverband
{EMT_MOORS_GENERAL}						Maurische Armee
{EMT_MOORS_NAMED_CHARACTER}					Maurisches Familienmitglied

{EMT_SLAVE_SPY}					Rebellen-Spion
{EMT_SLAVE_ASSASSIN}					Rebellen-Attentäter
{EMT_SLAVE_DIPLOMAT}					Rebellen-Diplomat
{EMT_SLAVE_ADMIRAL}					Rebellen-Flotte
{EMT_SLAVE_GENERAL}					Rebellen-Armee
{EMT_SLAVE_NAMED_CHARACTER}					Rebellen-Familienmitglied

{EMT_ROMANS_JULII_VILLAGE}					Römisches Dorf (Julier)
{EMT_ROMANS_JULII_TOWN}					Römische Ortschaft (Julier)
{EMT_ROMANS_JULII_LARGE_TOWN}					Römische Kleinstadt (Julier)
{EMT_ROMANS_JULII_CITY}					Römische Stadt (Julier)
{EMT_ROMANS_JULII_LARGE_CITY}					Römische Großstadt (Julier)
{EMT_ROMANS_JULII_HUGE_CITY}					Römische Metropole (Julier)
{EMT_ROMANS_BRUTII_VILLAGE}					Römisches Dorf (Bruti)
{EMT_ROMANS_BRUTII_TOWN}					Römische Ortschaft (Bruti)
{EMT_ROMANS_BRUTII_LARGE_TOWN}					Römische Kleinstadt (Bruti)
{EMT_ROMANS_BRUTII_CITY}					Römische Stadt (Bruti)
{EMT_ROMANS_BRUTII_LARGE_CITY}					Römische Großstadt (Bruti)
{EMT_ROMANS_BRUTII_HUGE_CITY}					Römische Metropole (Bruti)
{EMT_ROMANS_SCIPII_VILLAGE}					Römisches Dorf (Scipionen)
{EMT_ROMANS_SCIPII_TOWN}					Römische Ortschaft (Scipionen)
{EMT_ROMANS_SCIPII_LARGE_TOWN}					Römische Kleinstadt (Scipionen)
{EMT_ROMANS_SCIPII_CITY}					Römische Stadt (Scipionen)
{EMT_ROMANS_SCIPII_LARGE_CITY}					Römische Großstadt (Scipionen)
{EMT_ROMANS_SCIPII_HUGE_CITY}					Römische Metropole (Scipionen)
{EMT_ROMANS_SENATE_VILLAGE}					Römisches Dorf (Senat)
{EMT_ROMANS_SENATE_TOWN}					Römische Ortschaft (Senat)
{EMT_ROMANS_SENATE_LARGE_TOWN}					Römische Kleinstadt (Senat)
{EMT_ROMANS_SENATE_CITY}					Römische Stadt (Senat)
{EMT_ROMANS_SENATE_LARGE_CITY}					Römische Großstadt (Senat)
{EMT_ROMANS_SENATE_HUGE_CITY}					Römische Metropole (Senat)
{EMT_MACEDON_VILLAGE}					Makedonisches Dorf
{EMT_MACEDON_TOWN}					Makedonische Ortschaft
{EMT_MACEDON_LARGE_TOWN}					Makedonische Kleinstadt
{EMT_MACEDON_CITY}					Makedonische Stadt
{EMT_MACEDON_LARGE_CITY}					Makedonische Großstadt
{EMT_MACEDON_HUGE_CITY}					Makedonische Metropole
{EMT_EGYPT_VILLAGE}					Ägyptisches Dorf
{EMT_EGYPT_TOWN}					Ägyptische Ortschaft
{EMT_EGYPT_LARGE_TOWN}					Ägyptische Kleinstadt
{EMT_EGYPT_CITY}					Ägyptische Stadt
{EMT_EGYPT_LARGE_CITY}					Ägyptische Großstadt
{EMT_EGYPT_HUGE_CITY}					Ägyptische Metropole
{EMT_SELEUCID_VILLAGE}					Seleukidisches Dorf
{EMT_SELEUCID_TOWN}					Seleukidische Ortschaft
{EMT_SELEUCID_LARGE_TOWN}					Seleukidische Kleinstadt
{EMT_SELEUCID_CITY}					Seleukidische Stadt
{EMT_SELEUCID_LARGE_CITY}					Seleukidische Großstadt
{EMT_SELEUCID_HUGE_CITY}					Seleukidische Metropole
{EMT_CARTHAGE_VILLAGE}					Karthagisches Dorf
{EMT_CARTHAGE_TOWN}					Karthagische Ortschaft
{EMT_CARTHAGE_LARGE_TOWN}					Karthagische Kleinstadt
{EMT_CARTHAGE_CITY}					Karthagische Stadt
{EMT_CARTHAGE_LARGE_CITY}					Karthagische Großstadt
{EMT_CARTHAGE_HUGE_CITY}					Karthagische Metropole
{EMT_PARTHIA_VILLAGE}					Parthisches Dorf
{EMT_PARTHIA_TOWN}					Parthische Ortschaft
{EMT_PARTHIA_LARGE_TOWN}					Parthische Kleinstadt
{EMT_PARTHIA_CITY}					Parthische Stadt
{EMT_PARTHIA_LARGE_CITY}					Parthische Großstadt
{EMT_PARTHIA_HUGE_CITY}					Parthische Metropole
{EMT_PONTUS_VILLAGE}					Pontisches Dorf
{EMT_PONTUS_TOWN}					Pontische Ortschaft
{EMT_PONTUS_LARGE_TOWN}					Pontische Kleinstadt
{EMT_PONTUS_CITY}					Pontische Stadt
{EMT_PONTUS_LARGE_CITY}					Pontische Großstadt
{EMT_PONTUS_HUGE_CITY}					Pontische Metropole
{EMT_GAULS_VILLAGE}					Gallisches Dorf
{EMT_GAULS_TOWN}					Gallische Ortschaft
{EMT_GAULS_LARGE_TOWN}					Gallische Kleinstadt
{EMT_GAULS_CITY}					Gallische Stadt
{EMT_GAULS_LARGE_CITY}					Gallische Großstadt
{EMT_GAULS_HUGE_CITY}					Gallische Metropole
{EMT_GERMANS_VILLAGE}					Germanisches Dorf
{EMT_GERMANS_TOWN}					Germanische Ortschaft
{EMT_GERMANS_LARGE_TOWN}					Germanische Kleinstadt
{EMT_GERMANS_CITY}					Germanische Stadt
{EMT_GERMANS_LARGE_CITY}					Germanische Großstadt
{EMT_GERMANS_HUGE_CITY}					Germanische Metropole
{EMT_BRITONS_VILLAGE}					Britannisches Dorf
{EMT_BRITONS_TOWN}					Britannische Ortschaft
{EMT_BRITONS_LARGE_TOWN}					Britannische Kleinstadt
{EMT_BRITONS_CITY}					Britannische Stadt
{EMT_BRITONS_LARGE_CITY}					Britannische Großstadt
{EMT_BRITONS_HUGE_CITY}					Britannische Metropole
{EMT_ARMENIA_VILLAGE}					Armenisches Dorf
{EMT_ARMENIA_TOWN}					Armenische Ortschaft
{EMT_ARMENIA_LARGE_TOWN}					Armenische Kleinstadt
{EMT_ARMENIA_CITY}					Armenische Stadt
{EMT_ARMENIA_LARGE_CITY}					Armenische Großstadt
{EMT_ARMENIA_HUGE_CITY}					Armenische Metropole
{EMT_DACIA_VILLAGE}					Dakisches Dorf
{EMT_DACIA_TOWN}					Dakische Ortschaft
{EMT_DACIA_LARGE_TOWN}					Dakische Kleinstadt
{EMT_DACIA_CITY}					Dakische Stadt
{EMT_DACIA_LARGE_CITY}					Dakische Großstadt
{EMT_DACIA_HUGE_CITY}					Dakische Metropole
{EMT_GREEK_CITIES_VILLAGE}					Griechisches Dorf
{EMT_GREEK_CITIES_TOWN}					Griechische Ortschaft
{EMT_GREEK_CITIES_LARGE_TOWN}					Griechische Kleinstadt
{EMT_GREEK_CITIES_CITY}					Griechische Stadt
{EMT_GREEK_CITIES_LARGE_CITY}					Griechische Großstadt
{EMT_GREEK_CITIES_HUGE_CITY}					Griechische Metropole
{EMT_NUMIDIA_VILLAGE}					Numidisches Dorf
{EMT_NUMIDIA_TOWN}					Numidische Ortschaft
{EMT_NUMIDIA_LARGE_TOWN}					Numidische Kleinstadt
{EMT_NUMIDIA_CITY}					Numidische Stadt
{EMT_NUMIDIA_LARGE_CITY}					Numidische Großstadt
{EMT_NUMIDIA_HUGE_CITY}					Numidische Metropole
{EMT_SCYTHIA_VILLAGE}					Skythisches Dorf
{EMT_SCYTHIA_TOWN}					Skythische Ortschaft
{EMT_SCYTHIA_LARGE_TOWN}					Skythische Kleinstadt
{EMT_SCYTHIA_CITY}					Skythische Stadt
{EMT_SCYTHIA_LARGE_CITY}					Skythische Großstadt
{EMT_SCYTHIA_HUGE_CITY}					Skythische Metropole
{EMT_SPAIN_VILLAGE}					Spanisches Dorf
{EMT_SPAIN_TOWN}					Spanische Ortschaft
{EMT_SPAIN_LARGE_TOWN}					Spanische Kleinstadt
{EMT_SPAIN_CITY}					Spanische Stadt
{EMT_SPAIN_LARGE_CITY}					Spanische Großstadt
{EMT_SPAIN_HUGE_CITY}					Spanische Metropole
{EMT_THRACE_VILLAGE}					Thrakisches Dorf
{EMT_THRACE_TOWN}					Thrakische Ortschaft
{EMT_THRACE_LARGE_TOWN}					Thrakische Kleinstadt
{EMT_THRACE_CITY}					Thrakische Stadt
{EMT_THRACE_LARGE_CITY}					Thrakische Großstadt
{EMT_THRACE_HUGE_CITY}					Thrakische Metropole
{EMT_SLAVE_VILLAGE}					Rebellen-Dorf
{EMT_SLAVE_TOWN}					Rebellen-Ortschaft
{EMT_SLAVE_LARGE_TOWN}					Rebellen-Kleinstadt
{EMT_SLAVE_CITY}					Rebellen-Stadt
{EMT_SLAVE_LARGE_CITY}					Rebellen-Großstadt
{EMT_SLAVE_HUGE_CITY}					Rebellen-Metropole
{EMT_ALEMANNI_VILLAGE}		Alemannisches Dorf
{EMT_ALEMANNI_TOWN}			Alemannische Ortschaft
{EMT_ALEMANNI_LARGE_TOWN}	Alemannische Kleinstadt
{EMT_ALEMANNI_CITY}			Alemannische Stadt
{EMT_ALEMANNI_LARGE_CITY}	Alemannische Großstadt
{EMT_ALEMANNI_HUGE_CITY}	Alemannische Metropole
{EMT_EMPIRE_EAST_VILLAGE}		Römisches Dorf (Östliches Reich)
{EMT_EMPIRE_EAST_TOWN}			Römische Ortschaft (Östliches Reich)
{EMT_EMPIRE_EAST_LARGE_TOWN}	Römische Kleinstadt (Östliches Reich)
{EMT_EMPIRE_EAST_CITY}			Römische Stadt (Östliches Reich)
{EMT_EMPIRE_EAST_LARGE_CITY}	Römische Großstadt (Östliches Reich)
{EMT_EMPIRE_EAST_HUGE_CITY}		Römische Metropole (Östliches Reich)
