¬ Text file converted with loc_parser
{SMT_CULTURE_ROMAN}				Römisch
{SMT_SPY_DESCR}				Ein Spion findet Informationen über gegnerische Seiten heraus. Er kann etwas über gegnerische Städte, Armeen und Charaktere in Erfahrung bringen. Je länger er als Spion an einem Ort bleibt, desto mehr Informationen sammelt er. Er kann auch Unzufriedenheit in gegnerischen Siedlungen fördern und, wenn er sich in einer durch seine Seite belagerten Stadt befindet, die Tore öffnen!
{SMT_ASSASSIN_DESCR}				Manchmal kann ein einzelnes Messer mehr erreichen als Tausend Schwerter - wenn man damit direkt in die Eingeweide der richtigen Person sticht. Ein Attentäter kann Politik und Krieg zu persönlichen Angelegenheiten werden lassen, indem er direkt gegen Anführer und wichtige Charaktere einer Seite eingesetzt wird. Die Erfolgsaussichten eines Attentäters hängen von seinen eigenen Fähigkeiten, der Wichtigkeit seines Ziels und einem gewissen Maß an Glück ab.
{SMT_DIPLOMAT_DESCR}				Ein Diplomat ist in Sachen Schmeichelei, Überredungskunst und manchmal auch Schikanieren geschickt und wird zu gegnerischen Seiten gesendet. Zu seinen Aufgaben gehört es, Vereinbarungen abzuschließen, Friedensverträge zu sichern oder die Kapitulation zu verlangen. Diplomaten können an den Orten, die sie besuchen, auch als Augen und Ohren ihrer Seite dienen.
{SMT_ADMIRAL_DESCR}				Ein Admiral ist ein weniger bedeutender Kommandant einer Flotte. Sein Geschick und seine Fähigkeiten können bei Seeschlachten dienlich sein und er hilft der Flotte, sicher zu navigieren. Alle Flotten werden permanent von einem Admiral befehligt.
{SMT_ARMY_UPKEEP}				Armee-Unterhalt:
{SMT_LOYALTY_REVOLTING}			Revoltierend
{SMT_LOYALTY_RIOTING}				Aufständisch
{SMT_LOYALTY_DISILLUSIONED}			Desillusioniert
{SMT_LOYALTY_CONTENT}				Zufrieden
{SMT_LOYALTY_HAPPY}				Glücklich
{SMT_FORTIFICATION_NONE}			Keine Befestigungen
{SMT_FORTIFICATION_0}				Holz
{SMT_FORTIFICATION_1}				Holz (groß)
{SMT_FORTIFICATION_2}				Stein
{SMT_FORTIFICATION_3}				Stein (groß)
{SMT_FORTIFICATION_4}				Episch
{SMT_MISSION_INFILTRATE}			Infiltrationsmission
{SMT_MISSION_DIPLOMACY}			Diplomatiemission
{SMT_MISSION_BRIBE}				Bestechungsmission
{SMT_MISSION_SPYING}				Spionagemission
{SMT_MISSION_ASSASSINATE}			Attentatsmission
{SMT_MISSION_SABOTAGE}				Sabotagemission
{SMT_NAME}					Name
{SMT_FORT}					Fort
{SMT_FACTION}					Seite
{SMT_PORT}					Hafen
{SMT_POPULATION}				Bevölkerung
{SMT_FATIGUE}					Ermüdungsstufe
{SMT_EXPERIENCE}				Erfahrung
{SMT_MILD}					mild
{SMT_MASSIVE}					gewaltig
{SMT_CATASTROPHIC}				katastrophal
{SMT_SMALL}					klein
{SMT_MEDIUM}					mäßig
{SMT_LARGE}					groß
{SMT_HUGE}					riesig
{SMT_CURRENTLY_BUILDING}			Momentan im Bau
{SMT_HEALTHY}					Gesund
{SMT_TIRED}					Müde
{SMT_ILL}					Krank
{SMT_DYING}					Sterbend
{SMT_ARMY_DETAILS}				Armeedetails
{SMT_ENEMY_ARMY_DETAILS}			Details Feindarmee
{SMT_ALLIED_ARMY_DETAILS}			Details Verbündetenarmee
{SMT_NEUTRAL_ARMY_DETAILS}			Details neutrale Armee
{SMT_NAVY_DETAILS}				Flottenverbanddetails
{SMT_ENEMY_NAVY_DETAILS}			Details Feindflottenverband
{SMT_ALLIED_NAVY_DETAILS}			Details Verbündetenflottenverband
{SMT_NEUTRAL_NAVY_DETAILS}			Details neutraler Flottenverband
{SMT_SETTLEMENT_DETAILS}			Siedlungsdetails
{SMT_ENEMY_SETTLEMENT_DETAILS}		Details Feindsiedlung
{SMT_NEUTRAL_SETTLEMENT_DETAILS}		Details neutrale Siedlung
{SMT_ALLIED_SETTLEMENT_DETAILS}		Details verbündete Siedlung
{SMT_FORT_DETAILS}				Fortdetails
{SMT_ENEMY_FORT_DETAILS}			Details Feindfort
{SMT_ALLIED_FORT_DETAILS}			Details verbündetes Fort
{SMT_NEUTRAL_FORT_DETAILS}			Details neutrales Fort
{SMT_SET_HEIR}					Erben bestimmen
{SMT_PREV_CITY}					Vorherige Stadt wählen
{SMT_NEXT_CITY}				Nächste Stadt wählen
{SMT_NEXT_CHARACTER}				Nächsten Charakter wählen
{SMT_PREV_CHARACTER}				Vorherigen Charakter wählen
{SMT_NEXT_UNIT}				Nächste Einheit wählen
{SMT_PREV_UNIT}					Vorherige Einheit wählen
{SMT_PREV_FORT}				Vorheriges Fort wählen
{SMT_NEXT_FORT}				Nächstes Fort wählen
{SMT_FOOD_SUPPLIES}				Nahrungsversorgung
{SMT_STATE_REVOLTING}				Die Bauern in dieser Siedlung revoltieren
{SMT_STATE_NOT_REVOLTING}			Keine Anzeichen von Unruhen unter den Bauern dieser Siedlung
{SMT_STATE_UNDER_SIEGE}			Diese Siedlung wird belagert
{SMT_STATE_NOT_UNDER_SIEGE}			Diese Siedlung wird nicht belagert
{SMT_STATE_HOLDING_GAMES}			Diese Siedlung hält Spiele ab
{SMT_STATE_NOT_HOLDING_GAMES}			Diese Siedlung hält keine Spiele ab
{SMT_STATE_PLAGUE}				Eine Seuche sucht die Straßen dieser Siedlung heim
{SMT_STATE_NOT_PLAGUED}			Keine Anzeichen einer Seuche in dieser Siedlung
{SMT_FERTILE_LOW}				Geringe Fruchtbarkeit
{SMT_FERTILE_MEDIUM}				Mittlere Fruchtbarkeit
{SMT_FERTILE_HIGH}				Hohe Fruchtbarkeit
{SMT_WILDERNESS}				Wildnis
{SMT_MOUNTAINS_HIGH}				Hohe Berge
{SMT_MOUNTAINS_LOW}				Niedrige Berge
{SMT_HILLS}					Hügel
{SMT_FOREST_DENSE}				Dichter Wald
{SMT_FOREST_SPARSE}				Waldland
{SMT_SWAMP}					Sumpf
{SMT_OCEAN}					Ozean
{SMT_SEA_DEEP}					Tiefes Meer
{SMT_SEA_SHALLOW}				Flaches Meer
{SMT_BEACH}					Küste
{SMT_FAMINE_THREAT_OK}				Keine
{SMT_FAMINE_THREAT_HUNGRY}			Hunger
{SMT_FAMINE_THREAT_FAMINE_1}			Leichte Hungersnot
{SMT_FAMINE_THREAT_FAMINE_2}			Hungersnot
{SMT_FAMINE_THREAT_FAMINE_3}			Verheerende Hungersnot
{SMT_FAMINE_THREAT}				Hungersnot-Gefahr
{SMT_HARVEST_LEVEL}				Erntestufe
{SMT_FARMING_LEVEL}				Farmstufe
{SMT_TAX_LEVEL_LOW}				Niedriger Steuersatz
{SMT_TAX_LEVEL_NORMAL}				Normaler Steuersatz
{SMT_TAX_LEVEL_HIGH}				Hoher Steuersatz
{SMT_TAX_LEVEL_VERY_HIGH}			Sehr hoher Steuersatz
{SMT_GOVERNOR_POLICY_BALANCED}		Ausgeglichene Baupolitik
{SMT_GOVERNOR_POLICY_FINANCIAL}		Finanzielle Baupolitik
{SMT_GOVERNOR_POLICY_MILITARY}			Militärische Baupolitik
{SMT_GOVERNOR_POLICY_STRONGHOLD}		Defensive Baupolitik
{SMT_GOVERNOR_POLICY_CULTURAL}			Kulturelle Baupolitik
{SMT_NO_GOVERNOR}				Kein Statthalter
{SMT_SHOW_GARRISON}				Einheiten der Garnison anzeigen
{SMT_SHOW_UNITS}				Einheiten der Armee anzeigen
{SMT_SHOW_UNITS_NAVY}				Einheiten des Flottenverbands anzeigen
{SMT_SHOW_BUILDINGS}				Gebäude der Siedlung anzeigen
{SMT_SHOW_VISITORS}				Besucher der Siedlung anzeigen
{SMT_SHOW_TRAVELLING_CHARACTERS}		Mit der Armee reisende Charaktere anzeigen
{SMT_SHOW_TRAVELLING_CHARACTERS_NAVY}	Mit dem Flottenverband reisende Charaktere anzeigen
{SMT_SHOW_PASSENGERS}				Mit gewählter Flotte reisende Einheiten anzeigen
{SMT_RCLICK_SHOW_SETTLEMENTS}			Mit einem Rechtsklick auf die Registerkarte werden Eure Siedlungen aufgelistet.
{SMT_RCLICK_SHOW_CHARACTERS}			Mit einem Rechtsklick auf die Registerkarte werden Eure Charaktere aufgelistet.
{SMT_RCLICK_SHOW_ARMIES}			Mit einem Rechtsklick auf die Registerkarte werden Eure Militärkräfte aufgelistet.
{SMT_LOYALTY_DECREASING}			Die Loyalität zu Eurem Statthalter lässt nach.\nDas Volk muss ermuntert werden.
{SMT_LOYALTY_INCREASING}			Die Loyalität nimmt zu.\nMacht weiter so.
{SMT_MISSION_BREAK_ALLIANCE_TITLE}		Bündnis beenden
{SMT_MISSION_BREAK_ALLIANCE_PROPOSAL}		Der Senat besteht darauf, dass Ihr Euer Bündnis mit dieser Seite, den Feinden Roms, beendet.
{SMT_MISSION_BREAK_ALLIANCE_EXPIRY}		Der Senat zieht den Auftrag zurück, das Bündnis mit dieser Seite zu beenden, da es keine Feinde Roms mehr sind.
{SMT_MISSION_BREAK_ALLIANCE_FAILURE}		Der Senat ist empört, dass Ihr Euer Bündnis mit dieser Seite noch nicht beendet habt.
{SMT_MISSION_BREAK_ALLIANCE_SUCCESS}		Der Senat stellt fest, dass Ihr Euer Bündnis mit dieser Seite beendet habt.
{SMT_MISSION_CAPTURE_REBEL_CITY_TITLE}		Aufständischen-Siedlung einnehmen
{SMT_MISSION_CAPTURE_REBEL_CITY_PROPOSAL}	Der Senat toleriert keinen Aufstand, daher müsst Ihr diese Siedlung einnehmen und die Autorität Roms durchsetzen.
{SMT_MISSION_CAPTURE_REBEL_CITY_EXPIRY}	Diese Siedlung wurde zurückerobert. Ihr müsst nicht mehr versuchen, sie einzunehmen.
{SMT_MISSION_CAPTURE_REBEL_CITY_FAILURE}	Der Senat ist unzufrieden, da Ihr diese Siedlung nicht eingenommen habt.
{SMT_MISSION_CAPTURE_REBEL_CITY_SUCCESS}	Der Senat ist glücklich, dass Ihr diese Siedlung eingenommen habt.
{SMT_MISSION_DESTROY_REBEL_CITY_TITLE}		Aufständischen-Siedlung zerstören
{SMT_MISSION_DESTROY_REBEL_CITY_PROPOSAL}	Befreit das Imperium von dieser aufständischen Siedlung! Zerstört sie und statuiert an ihr ein Exempel für alle Untertanen Roms.
{SMT_MISSION_DESTROY_REBEL_CITY_EXPIRY}	Der Senat hält es nicht mehr für nötig, dass Ihr die Siedlung zerstört.
{SMT_MISSION_DESTROY_REBEL_CITY_FAILURE}	Der Senat ist unzufrieden, da Ihr diese Siedlung nicht zerstört habt.
{SMT_MISSION_DESTROY_REBEL_CITY_SUCCESS}	Der Senat ist zufrieden, da Ihr diese Siedlung zerstört habt.
{SMT_MISSION_GIVE_BACK_CITY_TITLE}		Siedlung zurückgeben
{SMT_MISSION_GIVE_BACK_CITY_PROPOSAL}		Der Senat verlangt, dass Ihr diese Siedlung zurückgebt.
{SMT_MISSION_GIVE_BACK_CITY_EXPIRY}		Der Senat verlangt nicht mehr, dass Ihr diese Siedlung zurückgebt.
{SMT_MISSION_GIVE_BACK_CITY_FAILURE}		Der Senat stellt fest, dass Ihr diese Siedlung nicht zurückgegeben habt.
{SMT_MISSION_GIVE_BACK_CITY_SUCCESS}		Der Senat stellt fest, dass Ihr diese Siedlung erfolgreich zurückgegeben habt.
{SMT_MISSION_ATTACK_OUTLAW_FACTION_TITLE}	Geächtete Seite angreifen
{SMT_MISSION_ATTACK_OUTLAW_FACTION_PROPOSAL}	Diese Seite wurde geächtet. Der Senat will, dass Ihr sie angreift.
{SMT_MISSION_ATTACK_OUTLAW_FACTION_EXPIRY}	Der Senat verlangt nicht mehr, dass Ihr diese Seite angreift, da ein Frieden ausgehandelt wurde.
{SMT_MISSION_ATTACK_OUTLAW_FACTION_FAILURE}	Der Senat stellt fest, dass Ihr diese Seite nicht angegriffen habt.
{SMT_MISSION_ATTACK_OUTLAW_FACTION_SUCCESS}	Der Senat stellt zufrieden fest, dass Ihr diese Seite angegriffen habt.
{SMT_MISSION_CEASE_HOSTILITIES_TITLE}		Feindseligkeiten einstellen
{SMT_MISSION_CEASE_HOSTILITIES_PROPOSAL}	Der Senat bittet Euch, die Feindseligkeiten gegen diese Seite einzustellen.
{SMT_MISSION_CEASE_HOSTILITIES_EXPIRY}		Der Senat hält es nicht mehr für nötig, die Feindseligkeiten gegen diese Seite einzustellen.
{SMT_MISSION_CEASE_HOSTILITIES_FAILURE}		Der Senat ist unzufrieden, da Ihr Eure Feindseligkeiten gegen diese Seite nicht eingestellt habt.
{SMT_MISSION_CEASE_HOSTILITIES_SUCCESS}	Der Senat stellt zufrieden fest, dass Ihr Eure Feindseligkeiten gegen diese Seite eingestellt habt.
{SMT_MISSION_DECLARE_WAR_TITLE}		Krieg erklären
{SMT_MISSION_DECLARE_WAR_PROPOSAL}		Diese Seite ist ein Feind Roms und der Senat wünscht, dass Ihr gegen sie in den Krieg zieht.
{SMT_MISSION_DECLARE_WAR_EXPIRY}		Der Senat verlangt nicht mehr, dass Ihr gegen diese Seite Krieg führt.
{SMT_MISSION_DECLARE_WAR_DECLINED}		Der Senat ist entrüstet, dass Ihr beschlossen habt, unserem Feind nicht den Krieg zu erklären.
{SMT_MISSION_DECLARE_WAR_FAILURE}		Der Senat ist empört, dass Ihr den Krieg nicht fortsetzt.
{SMT_MISSION_DECLARE_WAR_SUCCESS}		Der Senat ist dankbar für Eure Leistung im Sinne des Krieges.
{SMT_MISSION_HELP_PLAYER_TITLE}			Hilfe vom Senat
{SMT_MISSION_HELP_PLAYER_PROPOSAL}		Der Senat bewundert Eure Mühen für das Imperium und möchte mit dieser Prämie seinen Dank ausdrücken.
{SMT_MISSION_ASSASSINATION_TITLE}		Attentat
{SMT_MISSION_ASSASSINATION_PROPOSAL}		Der Senat findet, dass die Welt ohne diese Person ein schönerer Ort wäre, und verlangt ein Attentat.
{SMT_MISSION_ASSASSINATION_EXPIRY_NOW_AN_ALLY}	Die Attentatsmission ist nicht mehr erforderlich, da die Zielperson zum Freund Roms geworden ist.
{SMT_MISSION_ASSASSINATION_EXPIRY_OTHER_MEANS}	Die Attentatsmission ist nicht mehr erforderlich, da die Zielperson inzwischen verstorben ist.
{SMT_MISSION_ASSASSINATION_EXPIRY_HIDING}	Die Attentatsmission ist nicht mehr erforderlich, da die Zielperson sich versteckt hat.
{SMT_MISSION_ASSASSINATION_EXPIRY_IN_BATTLE}	Die Attentatsmission ist nicht mehr erforderlich, da der Senat die heimliche Ermordung der Zielperson wünschte, keinen lauten Tod auf dem Schlachtfeld.
{SMT_MISSION_ASSASSINATION_SUCCESS}		Der Senat ist zufrieden, da das Attentat erfolgreich vonstatten ging.
{SMT_MISSION_ASSASSINATION_FAILURE}		Der Senat ist nicht erfreut, dass Ihr nicht in der Lage wart, diese Person zu töten.
{SMT_MISSION_TAKE_CITY_TITLE}			Siedlung besetzen
{SMT_MISSION_TAKE_CITY_PROPOSAL}		Der Senat bittet Euch, diese Siedlung zum Ruhme des Imperiums zu besetzen.
{SMT_MISSION_TAKE_CITY_EXPIRY}			Der Senat wünscht nicht mehr, dass Ihr diese Siedlung besetzt.
{SMT_MISSION_TAKE_CITY_FAILURE}			Der Senat stellt unzufrieden fest, dass Ihr diese Siedlung nicht besetzt habt.
{SMT_MISSION_TAKE_CITY_SUCCESS}		Der Senat stellt zufrieden fest, dass Ihr diese Siedlung besetzt habt.
{SMT_MISSION_RECAPTURE_EAGLE_TITLE}		Legionsadler zurückerobern
{SMT_MISSION_RECAPTURE_EAGLE_PROPOSAL}	Der Senat erwartet, dass Ihr diese Siedlung besetzt und Eure Legionsadler um der römischen Ehre Willen zurückerobert.
{SMT_MISSION_RECAPTURE_EAGLE_EXPIRY}		Diese Siedlung wurde besetzt und Eure Adler sind verloren.
{SMT_MISSION_RECAPTURE_EAGLE_FAILURE}		Der Senat ist höchst ungehalten, da Ihr Eure Legionsadler nicht zurückerobern konntet.
{SMT_MISSION_RECAPTURE_EAGLE_SUCCESS}		Der Senat stellt mit Genugtuung fest, dass Ihr Eure Legionsadler zurückerobert habt.
{SMT_MISSION_SEND_EMISSARY_TITLE}		Gesandten schicken
{SMT_MISSION_SEND_EMISSARY_PROPOSAL}		Der Senat fordert Euch auf, einen Gesandten zu dieser Seite zu schicken.
{SMT_MISSION_SEND_EMISSARY_FAILURE}		Der Senat stellt fest, dass Eure Diplomaten sich nicht mit dieser Seite in Verbindung gesetzt haben.
{SMT_MISSION_SEND_EMISSARY_SUCCESS}		Der Senat stellt fest, dass Euer Gesandter sich mit dieser Seite in Verbindung gesetzt hat.
{SMT_MISSION_DEMAND_SUICIDE_TITLE}		Selbstmordforderung
{SMT_MISSION_DEMAND_SUICIDE_PROPOSAL}		Zum Wohl des Imperiums verlangt der Senat, dass Euer Anführer Selbstmord begeht.
{SMT_MISSION_DEMAND_SUICIDE_DECLINED}		Der Senat ist ungehalten, da Ihr Euch weigert, Euren Anführer Selbstmord begehen zu lassen.
{SMT_MISSION_DEMAND_SUICIDE_SUCCESS}		Der Senat ist angesichts des Selbstmords Eures Anführers zufrieden.
{SMT_SENATE_FAILURE}				Wenn Ihr versagt:
{SMT_SENATE_FINE_AWARDED}			Ihr werdet für Eure erbärmlichen Taten bestraft.
{SMT_PENALTY_OUTLAW_DESCRIPTION}		Ihr werdet geächtet.
{SMT_PENALTY_OUTLAW}				Der Senat erklärt Eurer Seite den Krieg. Ihr werdet geächtet.
{SMT_PENALTY_CENSOR_INVESTIGATES_FAMILY_DESCRIPTION}	Der Zensor wird Eure Familie untersuchen.
{SMT_PENALTY_CENSOR_INVESTIGATES_FAMILY}		Nach der Untersuchung Eurer Familie durch den Zensor hat das folgende Familienmitglied Selbstmord begangen. Der Senat drückt sein tiefstes Beileid aus.
{SMT_PENALTY_QUAESTOR_INVESTIGATES_FOR_CORRUPTION_DESCRIPTION}	Der Quästor wird Eure Seite auf Korruption untersuchen.
{SMT_PENALTY_QUAESTOR_INVESTIGATES_FOR_CORRUPTION}			Nach der Untersuchung Eurer Seite durch den Quästor müsst Ihr %d Denare Strafe zahlen.
{SMT_PENALTY_CENSOR_INVESTIGATES_FACTION_DESCRIPTION}			Der Zensor wird Eure Seite untersuchen.
{SMT_PENALTY_CENSOR_INVESTIGATES_FACTION}					Nach der Untersuchung Eurer Seite durch den Zensor hat %S Selbstmord begangen.
{SMT_PENALTY_QUAESTOR_INVESTIGATES_FOR_FINANCIAL_IRREGULARITIES_DESCRIPTION}	Der Quästor wird Eure Seite auf finanzielle Ungereimtheiten untersuchen.
{SMT_PENALTY_QUAESTOR_INVESTIGATES_FOR_FINANCIAL_IRREGULARITIES}		Nach der Untersuchung Eurer Seite durch den Quästor müsst Ihr %d Denare Strafe zahlen.
{SMT_PENALTY_QUAESTOR_INVESTIGATES_FOR_ACCOUNTING_IRREGULARITIES_DESCRIPTION}		Der Quästor wird Eure Seite auf Ungereimtheiten bei der Buchhaltung untersuchen.
{SMT_PENALTY_QUAESTOR_INVESTIGATES_FOR_ACCOUNTING_IRREGULARITIES}			Nach der Untersuchung Eurer Seite auf Ungereimtheiten bei der Buchhaltung durch den Quästor müsst Ihr %d Denare Strafe zahlen.
{SMT_PENALTY_SENATE_DISPLEASURE_DESCRIPTION}			Ihr werdet das Missfallen des Senats erregen.
{SMT_PENALTY_SECRET_INFORMATION_EXPOSURE_DESCRIPTION}		Euer Geheimnis wird gelüftet werden.
{SMT_PENALTY_SECRET_INFORMATION_EXPOSURE}			Euer Geheimnis wurde gelüftet.
{SMT_PENALTY_OFFICES_WITHELD_DESCRIPTION}			Eure Seite kommt vier Jahre lang nicht für einen Senatsposten in Frage.
{SMT_PENALTY_OFFICES_WITHELD}					Es ist unwahrscheinlich, dass der Senat Eure Seite in nächster Zeit für einen Senatsposten in Betracht zieht.
{SMT_SENATE_SUCCESS}						Wenn Ihr Erfolg habt:
{SMT_SENATE_BOUNTY_AWARDED}					Ihr erhaltet für Eure Mühen eine Prämie.
{SMT_REWARD_MAJOR_EXOTIC_UNIT_DESCRIPTION}			Ihr werdet mit einer bedeutenden exotischen Einheit belohnt.
{SMT_REWARD_TWO_MINOR_EXOTIC_UNITS_DESCRIPTION}		Ihr werdet mit zwei weniger bedeutenden exotischen Einheiten belohnt.
{SMT_REWARD_TWO_BEST_BUILDABLE_UNITS_DESCRIPTION}		Ihr werdet mit zwei Eurer besten möglichen Einheiten belohnt.
{SMT_REWARD_ONE_BEST_BUILDABLE_UNIT_DESCRIPTION}		Ihr werdet mit einer Eurer besten möglichen Einheiten belohnt.
{SMT_REWARD_ONE_MINOR_EXOTIC_UNIT_DESCRIPTION}		Ihr werdet mit einer weniger bedeutenden exotischen Einheit belohnt.
{SMT_REWARD_ONE_BUILDABLE_UNIT_DESCRIPTION}			Ihr werdet mit einer Eurer möglichen Einheiten belohnt.
{SMT_REWARD_CANNOT_BUILD_A_UNIT}				Ihr könnt keine Belohnung erhalten, da Ihr keine Einheiten produzieren könnt.
{SMT_REWARD_UNIT_AT_YOUR_CAPITAL}				Eure Belohnung befindet sich in Eurer Hauptstadt:\n
{SMT_REWARD_SENATE_GRATITUDE_DESCRIPTION}			Ihr erntet den Dank des Senats.
{SMT_REWARD_SENATE_GRATITUDE}					Der Senat hat Eure Mühen für Rom bemerkt und ist sehr dankbar.
{SMT_REWARD_THROW_GAMES_DESCRIPTION}				Spiele werden auf Kosten des Senats in Eurer Hauptstadt abgehalten.
{SMT_REWARD_MAJOR_REWARD_DESCRIPTION}			Ihr werdet reich belohnt.
{SMT_REWARD_MODERATE_REWARD_DESCRIPTION}			Ihr werdet großzügig belohnt.
{SMT_REWARD_MINOR_REWARD_DESCRIPTION}				Ihr werdet belohnt.
{SMT_REWARD_MONEY}						Er erhaltet ein Geschenk von %d Denaren.
{SMT_REWARD_PROMISE_OF_APPOINTMENT_DESCRIPTION}		Ihr erhaltet den Vorrang bei der Benennung für ein Amt.
{SMT_REWARD_PROMISE_OF_APPOINTMENT}				Der Senat wird Eure Seite bei der Besetzung eines Senatsposten besonders bedenken.
{SMT_SENATE_ATTITUDE}						Der Senat ist Euch wohl gesinnt.
{SMT_SENATE_OFFICE_QUAESTOR_TITLE}				Quästor
{SMT_SENATE_OFFICE_QUAESTOR_DESCRIPTION}			Beamter
{SMT_SENATE_OFFICE_AEDILE_TITLE}				Ädil
{SMT_SENATE_OFFICE_AEDILE_DESCRIPTION}				Verantwortlich für das Abhalten von Spielen
{SMT_SENATE_OFFICE_PRAETOR_TITLE}				Prätor
{SMT_SENATE_OFFICE_PRAETOR_DESCRIPTION}			Kommandant der Prätorianerwache
{SMT_SENATE_OFFICE_CONSUL_TITLE}				Konsul
{SMT_SENATE_OFFICE_CONSUL_DESCRIPTION}				Entwickler der Senatspolitik
{SMT_SENATE_OFFICE_CENSOR_TITLE}				Zensor
{SMT_SENATE_OFFICE_CENSOR_DESCRIPTION}				Hüter der öffentlichen Moral
{SMT_SENATE_OFFICE_PONTIFEX_MAXIMUS_TITLE}			Pontifex Maximus
{SMT_SENATE_OFFICE_PONTIFEX_MAXIMUS_DESCRIPTION}		Oberster Religionsanführer
{SMT_REMOVE_RALLY_POINT}					Sammelpunkt dieser Siedlung entfernen\nNeu rekrutierte Einheiten schließen sich der Garnison an.
{SMT_SET_RALLY_POINT}						Sammelpunkte anzeigen
{SMT_1_TURN}							1 Runde
{SMT_X_TURNS}							%d Runden
{SMT_SELECT_UNIT_TO_RECRUIT}					Einheit zum Rekrutieren wählen
{SMT_SELECT_UNIT_TO_RETRAIN}					Einheit zum Fortbilden wählen
{SMT_SET_TO_RECRUIT_MODE}					Rekrutierbare Einheiten anzeigen
{SMT_SET_TO_RETRAIN_MODE}					Einheiten der Garnison anzeigen, die Fortbildung und Ausrüstung benötigen
{SMT_MERGE_SELECTED_UNITS}					Gewählte Objekte vom linken Bereich in den rechten transferieren
{SMT_X_PERCENT_COMPLETE}					%d Prozent abgeschlossen
{SMT_DIPLOMACY_OFFER_ALLIANCE}					Bündnis
{SMT_DIPLOMACY_OFFER_CANCEL_ALLIANCE}				Bündnis beenden
{SMT_DIPLOMACY_OFFER_CEASEFIRE}				Waffenstillstand
{SMT_DIPLOMACY_OFFER_MILITARY_ACCESS}				Militärischer Zugang
{SMT_DIPLOMACY_OFFER_CANCEL_MILITARY_ACCESS}			Militärischen Zugang beenden
{SMT_DIPLOMACY_OFFER_TRADE_RIGHTS}				Handelsrechte
{SMT_DIPLOMACY_OFFER_CANCEL_TRADE_RIGHTS}			Handelsrechte beenden
{SMT_DIPLOMACY_OFFER_ATTACK_FACTION}				Seite angreifen
{SMT_DIPLOMACY_OFFER_CEDE_REGION}				Region abtreten
{SMT_DIPLOMACY_OFFER_SINGLE_PAYMENT}				Einmalige Zahlung
{SMT_DIPLOMACY_OFFER_YEARLY_PAYMENT}				Regelmäßiger Tribut
{SMT_DIPLOMACY_OFFER_CANCEL_YEARLY_PAYMENT}			Regelmäßigen Tribut beenden
{SMT_DIPLOMACY_OFFER_THREAT_OF_ATTACK}			Keine Angriffsdrohung
{SMT_DIPLOMACY_OFFER_DEMAND_NO_ATTACK}			Kein Angriff
{SMT_DIPLOMACY_OFFER_MAP_INFORMATION}				Karteninformation
{SMT_DIPLOMACY_OFFER_BRIBE}					Bestechung
{SMT_DIPLOMACY_OFFER_PROTECTORATE}				Protektorat werden
{SMT_MAKE_OFFER}						Angebot abgeben
{SMT_MAKE_DEMAND}						Forderung abgeben
