¬ Text file converted with loc_parser
{Otadinoi}					Ribelli otadini
{Metagonitai}					Ribelli metagoni
{Palmyrans}					Ribelli palmiri
{Cypriots}					Ribelli ciprioti
{Phoenicians}					Ribelli fenici
{Taladousioi}					Ribelli taladusi
{Helots}						Ribelli elodi
{Judeans}					Ribelli giudei
{Liby-Phoenicians}					Ribelli libico-fenici
{Cretans}						Ribelli cretesi
{Lycians}						Ribelli lici
{Nabataeans}					Ribelli nabatei
{Saraceni}					Ribelli saraceni 
{Numidians}					Ribelli numidi
{Marmaridai}					Ribelli marmaridi 
{Egyptians}					Ribelli egizi
{Oasitai}					Ribelli oasiti
{Chatonoi}				Ribelli cattoni
{Aethiopians}					Ribelli etiopi
{Gepids}						Ribelli gepidi
{Amazons}					Amazzoni
{Saka}						Ribelli saka
{Alans}						Ribelli alani
{Silures}						Ribelli siluriani
{Batavi}						Ribelli batavi
{Venedae}					Ribelli venedi
{Belgae}						Ribelli belgi
{Maeotae}					Ribelli meoti
{Alamanni}					Ribelli alamanni 
{Redones}					Ribelli redoni
{Treveri}					 	Ribelli treviriani
{Iazyges}						Ribelli iazigi
{Senones}					Ribelli senoni
{Carpi}						Ribelli carpi 
{Bosphorans}					Ribelli bosforiani
{Allobroges}					Ribelli allobrogi
{Colchians}					Ribelli colchidi
{Medes}						Ribelli medi
{Insubres}					Ribelli insubri
{Veneti}						Ribelli veneti
{Vocontii}						Ribelli voconti
{Odrysae}					Ribelli odrisi
{Ligurians}					Ribelli liguri
{Paionians}					Ribelli paioni
{Edones}						Ribelli edoni
{Sithones}					Ribelli sitoni
{Bithynians}					Ribelli bitini
{Galatians}					Ribelli galatiani
{Epirots}						Ribelli epiroti
{Thessalians}					Ribelli tessali
{Lucanians}					Ribelli lucani
{Aetolians}					Ribelli etoliani
{Athenians}					Ribelli ateniesi
{Elamites}					Ribelli elamiti 
{Achaeans}					Ribelli achei
{Sicani}						Ribelli siciliani
{Moors}						Ribelli mori
{Syracusans}					Ribelli siracusani
{Poeni}						Ribelli punici
{Rhodians}					Ribelli rodiani
{Gaetuli}						Ribelli getuli
{Libyans}						Ribelli libici
{Judaeans}					Ribelli giudei
{Volcae}						Ribelli volsci
{Aedui}						Ribelli edui
{Pictones}					Ribelli pittoni
{Illyrians}						Ribelli illirici
{Trinovantes}					Ribelli trinovanti 
{Arverni}						Ribelli arverni 
{Suebi}						Ribelli suebi
{Tectosages}					Ribelli tettosagi
{Ausci}						Ribelli ausci 
{Bituriges}					Ribelli biturgi
{Seduni}						Ribelli seduni 
{slave_uprising}					Schiavi insorti
{gladiator_uprising}					Gladiatori insorti
{brigands}					Briganti
{pirates}						Pirati


¬****************************************************************************************
¬****************************************************************************************
¬*
¬*			THIS FILE GONE FOR LOCALISATION!!!
¬*		ALL CHANGES & ADDITIONS MADE POST THE DATE SPECIFIED 
¬*			BELOW MUST GO UNDERNEATH THIS DIVIDER!!!
¬*
¬***** Changes made after 22/03/2004 17:30:00
¬*
¬****************************************************************************************
¬****************************************************************************************

¬****************************************************************************************
¬****************************************************************************************
¬*
¬*			THIS FILE GONE FOR LOCALISATION!!!
¬*		ALL CHANGES & ADDITIONS MADE POST THE DATE SPECIFIED 
¬*			BELOW MUST GO UNDERNEATH THIS DIVIDER!!!
¬*
¬***** Changes made after 21/04/2004 17:30:00
¬*
¬****************************************************************************************
¬****************************************************************************************

¬****************************************************************************************
¬****************************************************************************************
¬*
¬*			THIS FILE GONE FOR LOCALISATION!!!
¬*		ALL CHANGES & ADDITIONS MADE POST THE DATE SPECIFIED 
¬*			BELOW MUST GO UNDERNEATH THIS DIVIDER!!!
¬*
¬***** Changes made after 13/05/2004 09:00:00
¬*
¬****************************************************************************************
¬****************************************************************************************

¬****************************************************************************************
¬****************************************************************************************
¬*
¬*			THIS FILE GONE FOR LOCALISATION!!!
¬*		ALL CHANGES & ADDITIONS MADE POST THE DATE SPECIFIED 
¬*			BELOW MUST GO UNDERNEATH THIS DIVIDER!!!
¬*
¬***** Changes made after 03/06/2004 16:48:00
¬*
¬****************************************************************************************
¬****************************************************************************************

¬****************************************************************************************
¬****************************************************************************************
¬*
¬*			THIS FILE GONE FOR LOCALISATION!!!
¬*		ALL CHANGES & ADDITIONS MADE POST THE DATE SPECIFIED 
¬*			BELOW MUST GO UNDERNEATH THIS DIVIDER!!!
¬*
¬***** Changes made after 17/06/2004 13:01:00
¬*
¬****************************************************************************************
¬****************************************************************************************

¬****************************************************************************************
¬****************************************************************************************
¬*
¬*			THIS FILE GONE FOR LOCALISATION!!!
¬*		ALL CHANGES & ADDITIONS MADE POST THE DATE SPECIFIED 
¬*			BELOW MUST GO UNDERNEATH THIS DIVIDER!!!
¬*
¬*		This particular divider does not denote a changes round.
¬*	This is when the files were locked to be sent for Russian and Polish translation.
¬*
¬*
¬***** Changes made after 01/07/2004 09:00:00
¬*
¬****************************************************************************************
¬****************************************************************************************

¬****************************************************************************************
¬****************************************************************************************
¬*
¬*			THIS FILE GONE FOR LOCALISATION!!!
¬*		ALL CHANGES & ADDITIONS MADE POST THE DATE SPECIFIED 
¬*			BELOW MUST GO UNDERNEATH THIS DIVIDER!!!
¬*
¬*
¬***** Changes made after 07/07/2004 17:15:00
¬*
¬****************************************************************************************
¬****************************************************************************************

¬****************************************************************************************
¬****************************************************************************************
¬*
¬*			THIS FILE GONE FOR LOCALISATION!!!
¬*		ALL CHANGES & ADDITIONS MADE POST THE DATE SPECIFIED 
¬*			BELOW MUST GO UNDERNEATH THIS DIVIDER!!!
¬*
¬*
¬***** Changes made after 15/07/2004 17:00:00
¬*
¬****************************************************************************************
¬****************************************************************************************

¬****************************************************************************************
¬****************************************************************************************
¬*
¬*			THIS FILE GONE FOR LOCALISATION!!!
¬*		ALL CHANGES & ADDITIONS MADE POST THE DATE SPECIFIED 
¬*			BELOW MUST GO UNDERNEATH THIS DIVIDER!!!
¬*
¬*
¬***** Changes made after 22/07/2004 09:00:00
¬*
¬****************************************************************************************
¬****************************************************************************************

¬****************************************************************************************
¬****************************************************************************************
¬*
¬*			THIS FILE GONE FOR LOCALISATION!!!
¬*		ALL CHANGES & ADDITIONS MADE POST THE DATE SPECIFIED 
¬*			BELOW MUST GO UNDERNEATH THIS DIVIDER!!!
¬*
¬*
¬***** Changes made after 29/07/2004 09:00:00
¬*
¬****************************************************************************************
¬****************************************************************************************

¬****************************************************************************************
¬****************************************************************************************
¬*
¬*			THIS FILE GONE FOR LOCALISATION!!!
¬*		ALL CHANGES & ADDITIONS MADE POST THE DATE SPECIFIED 
¬*			BELOW MUST GO UNDERNEATH THIS DIVIDER!!!
¬*
¬*
¬***** Changes made after 05/08/2004 12:00:00
¬*
¬****************************************************************************************
¬****************************************************************************************

¬****************************************************************************************
¬****************************************************************************************
¬*
¬*			THIS FILE GONE FOR LOCALISATION!!!
¬*		ALL CHANGES & ADDITIONS MADE POST THE DATE SPECIFIED 
¬*			BELOW MUST GO UNDERNEATH THIS DIVIDER!!!
¬*
¬*
¬***** Changes made after 12/08/2004 09:53:00
¬*
¬****************************************************************************************
¬****************************************************************************************

¬****************************************************************************************
¬****************************************************************************************
¬*
¬*			THIS FILE GONE FOR LOCALISATION!!!
¬*		ALL CHANGES & ADDITIONS MADE POST THE DATE SPECIFIED 
¬*			BELOW MUST GO UNDERNEATH THIS DIVIDER!!!
¬*
¬*
¬***** Changes made after 19/08/2004 16:05:00
¬*
¬****************************************************************************************
¬****************************************************************************************

¬****************************************************************************************
¬****************************************************************************************
¬*
¬*			THIS FILE GONE FOR LOCALISATION!!!
¬*		ALL CHANGES & ADDITIONS MADE POST THE DATE SPECIFIED 
¬*			BELOW MUST GO UNDERNEATH THIS DIVIDER!!!
¬*
¬*
¬***** Changes made after 01/09/2004 09:00:00
¬*
¬****************************************************************************************
¬****************************************************************************************
