¬ Text file converted with loc_parser
{TMT_SETTLEMENT_INCOME}					Introiti insediamento
{TMT_HIDES_TOOLTIP}					Cuoio - una preziosa risorsa commerciale
{TMT_FURS_TOOLTIP}					Pellicce - una preziosa risorsa commerciale
{TMT_TIN_TOOLTIP}					Stagno - una preziosa risorsa commerciale
{TMT_COPPER_TOOLTIP}					Rame - una preziosa risorsa commerciale
{TMT_LEAD_TOOLTIP}					Piombo - una preziosa risorsa commerciale
{TMT_AMBER_TOOLTIP}					Ambra - una preziosa risorsa commerciale
{TMT_PIGS_TOOLTIP}					Consente la creazione di unità di porci incendiari
{TMT_DOGS_TOOLTIP}					Consente la creazione di unità di mastini
{TMT_CAMELS_TOOLTIP}					Consente la creazione di unità su dromedario
{TMT_ELEPHANTS_TOOLTIP}				Consente la creazione di unità di elefanti
{TMT_ROADS_TOOLTIP}					Consente alle armate di estendere gli spostamenti e aumenta gli introiti commerciali\nL'intensità del traffico indica l'entità dei commerci
{TMT_PAVED_ROADS_TOOLTIP}					Consente alle armate di compiere spostamenti più rapidi e aumenta gli introiti commerciali\nL'intensità del traffico indica l'entità dei commerci
{TMT_HIGHWAYS_TOOLTIP}					Consente alle armate di percorrere lunghe distanze e aumenta gli introiti commerciali\nL'intensità del traffico indica l'entità dei commerci
{TMT_SEA_LANES_TOOLTIP}					Rotte commerciali tra insediamenti dotati di porto
{TMT_FAMOUS_BATTLE_SITE_TOOLTIP}					Qui si è combattuta una famosa battaglia
{TMT_INFLUENCE_LEVEL_0}					Un'oliva farcita ha più influenza di quest'uomo: potrebbe soffocare qualcuno di importante e cambiare la storia.
{TMT_INFLUENCE_LEVEL_1}					Quest'uomo non ha praticamente alcuna influenza su cosa mangerà per cena, non parliamo poi di sua moglie o delle sorti del mondo.
{TMT_INFLUENCE_LEVEL_2}					Le opinioni di quest'uomo hanno poco peso. È considerato né più né meno un incapace.
{TMT_INFLUENCE_LEVEL_3}					Quest'uomo non è molto considerato. A volte esprime opinioni sensate, ma tali occasioni sono rare.
{TMT_INFLUENCE_LEVEL_4 }					Il parere di quest'uomo ha un certo peso e la sua opinione è tenuta da conto in poche, limitate questioni.
{TMT_INFLUENCE_LEVEL_5}					La parola di quest'uomo ha valore nei palazzi minori del mondo, benché la maggioranza di quelli importanti lo ignorino.
{TMT_INFLUENCE_LEVEL_6}					Spesso i consigli di quest'uomo vengono ascoltati con rispetto, anche se non sempre risultano azzeccati.
{TMT_INFLUENCE_LEVEL_7}					Le qualità di quest'uomo gli consentono di fungere da ago della bilancia in molte questioni.
{TMT_INFLUENCE_LEVEL_8}				Quest'uomo ha un grande ascendente politico e la sua parola influenza le opinioni della maggior parte dei suoi sottoposti.
{TMT_INFLUENCE_LEVEL_9}				Quando quest'uomo parla, tutti tacciono per ascoltare la sua parola. Le sue opinioni hanno per molti la forza della legge.
{TMT_INFLUENCE_LEVEL_10}					Quando quest'uomo parla, le sue parole portano la saggezza degli dei agli astanti.
{TMT_COMMAND_LEVEL_0}					"Carisma" è soltanto una parola per quest'uomo, come pure "ispirazione". Non possiede l'una né l'altra.
{TMT_COMMAND_LEVEL_1}					L'attitudine al comando è, a dir poco, una vistosa mancanza nella personalità di quest'uomo.
{TMT_COMMAND_LEVEL_2 }					Quest'uomo sa come impartire ordini, che però spesso risultano intempestivi e irrilevanti.
{TMT_COMMAND_LEVEL_3 }					Quest'uomo ha scarse doti di comando, ma compensa tale mancanza con una voce stentorea e un certo talento per intimorire i sottoposti.
{TMT_COMMAND_LEVEL_4 }					Quest'uomo ha le doti essenziali per comandare, benché a volte manchi di sicurezza.
{TMT_COMMAND_LEVEL_5 }					Quest'uomo ha dimostrato una certa attitudine al comando, ma occasionalmente commette errori tattici.
{TMT_COMMAND_LEVEL_6 }					Quest'uomo ispira fiducia ai suoi soldati sul campo. Talvolta la facciata mostra qualche crepa, ma non accade spesso.
{TMT_COMMAND_LEVEL_7 }					La competenza di quest'uomo in fatto di strategia e tattica ispira fiducia a tutti coloro che lo seguono in battaglia.
{TMT_COMMAND_LEVEL_8 }					Quest'uomo è una vera forza sul campo di battaglia. Il suo "occhio d'aquila" ispira chi lo segue.
{TMT_COMMAND_LEVEL_9 }					Al suono della voce di quest'uomo persino le nubi in cielo mutano il loro percorso!
{TMT_COMMAND_LEVEL_10}					Al suono della voce di quest'uomo persino le nuvole cambiano direzione nei cieli!
{TMT_MANAGEMENT_LEVEL_0 }					Un'ostrica darebbe maggior prova di talento di quest'uomo nel gestire gli affari quotidiani di un impero.
{TMT_MANAGEMENT_LEVEL_1}					A quest'uomo non andrebbe affidato nemmeno un deposito di alghe, per non parlare di cose importanti.
{TMT_MANAGEMENT_LEVEL_2}					L'amministrazione non è il punto forte di quest'uomo. Può gestire questioni semplici, ma senza capacità.
{TMT_MANAGEMENT_LEVEL_3}					Quest'uomo sopperisce con la determinazione alla mancanza di capacità amministrative.
{TMT_MANAGEMENT_LEVEL_4 }					Lo scarso talento amministrativo di quest'uomo produce risultati adeguati ma non certo brillanti.
{TMT_MANAGEMENT_LEVEL_5 }					Quest'uomo ha talento ma perde la testa se un evento inatteso sconvolge i suoi accurati progetti.
{TMT_MANAGEMENT_LEVEL_6 }					Quest'uomo risolve sovente problemi amministrativi, ma alcune congiunture negative lo mandano in crisi.
{TMT_MANAGEMENT_LEVEL_7 }					Quest'uomo è un efficace amministratore, perfettamente in grado di gestire situazioni di crisi inattese.
{TMT_MANAGEMENT_LEVEL_8 }					Quest'uomo è un turbine di efficienza, capace di gestire a dovere le questioni burocratiche.
{TMT_MANAGEMENT_LEVEL_9}					Quest'uomo plasma gli affari di stato a suo piacimento e riesce a raggiungere gli obiettivi prefissati malgrado gli imprevisti.
{TMT_MANAGEMENT_LEVEL_10}					Quest'uomo plasma tutti gli affari del mondo a suo piacimento e i sottoposti gli obbediscono in tutto e per tutto.
{TMT_SUBTERFUGE_LEVEL_0}					Quest'uomo è un innocente, precipitato in un mondo di volpi spietate.
{TMT_SUBTERFUGE_LEVEL_1}					"Astuto" e "scaltro" sono le ultime parole da usare nel descrivere questo candido individuo.
{TMT_SUBTERFUGE_LEVEL_2}					Il sotterfugio non fa parte dell'arsenale intellettuale di quest'uomo.
{TMT_SUBTERFUGE_LEVEL_3}					Quest'uomo non è nato per la cospirazione, ma ha qualche sprazzo d'intuizione a riguardo.
{TMT_SUBTERFUGE_LEVEL_4}					A volte quest'uomo riconosce il sotterfugio per ciò che è. Altre volte se ne serve personalmente.
{TMT_SUBTERFUGE_LEVEL_5}					Il sotterfugio è uno strumento che quest'uomo sa usare, benché occasionalmente gli capiti di sbagliare.
{TMT_SUBTERFUGE_LEVEL_6}					Quest'uomo può ordire trame e complotti con entusiasmo e, talvolta, con una certa abilità.
{TMT_SUBTERFUGE_LEVEL_7}					Quest'uomo ha più astuzia di un sacco di volpi affamate.
{TMT_SUBTERFUGE_LEVEL_8}					Quest'uomo ha una mente complessa e contorta, capace di ordire e comprendere le trame più astute.
{TMT_SUBTERFUGE_LEVEL_9}					Le trame di quest'uomo sono capolavori di menzogna celati all'interno di ulteriori cospirazioni.
{TMT_SUBTERFUGE_LEVEL_10}					Le macchinazioni di quest'uomo formano trame invisibili, mentre la sua mente acuta può svelare qualunque cospirazione nemica.
{TMT_TOGGLE_AUTOMANAGEMENT}					Attiva la gestione automatica dell'insediamento
{TMT_DECREASE_TAXATION}						Riduci la tassazione
{TMT_INCREASE_TAXATION}						Aumenta la tassazione
{TMT_CHANGE_GOVERNOR_POLICY}					Cambia politica di sviluppo
{TMT_DECREASE_GAMES_FREQUENCY}				Riduci la frequenza di giochi e/o corse
{TMT_INCREASE_GAMES_FREQUENCY}				Aumenta la frequenza di giochi e/o corse
{TMT_CURRENTLY_SELECTED_CHARACTER}				Personaggio attualmente selezionato:
{TMT_CURRENTLY_SELECTED_SETTLEMENT}				Insediamento attualmente selezionato:
{TMT_CURRENTLY_SELECTED_FORT}					Forte attualmente selezionato
{TMT_CURRENTLY_SELECTED_RALLY_POINT}			Punto di raduno attualmente selezionato
{TMT_CURRENTLY_SELECTED_RALLY_POINTS}			Punti di raduno attualmente selezionati
{TMT_LCLICK_ZOOM_TO_POS}					Clicca col pulsante sinistro per individuare l'elemento sulla mappa
{TMT_SHOW_SELECTED_ITEM}					Questo spazio mostra l'elemento attualmente selezionato

¬****************************************************************************************
¬****************************************************************************************
¬*
¬*			THIS FILE GONE FOR LOCALISATION!!!
¬*		ALL CHANGES & ADDITIONS MADE POST THE DATE SPECIFIED 
¬*			BELOW MUST GO UNDERNEATH THIS DIVIDER!!!
¬*
¬***** Changes made after 29/03/2004 17:30:00
¬*
¬****************************************************************************************
¬****************************************************************************************


{TMT_FIELD_CONSTRUCTION_TEST_NO_GENERAL}					Le armate senza generale non possono costruire forti o torri di guardia
{TMT_FIELD_CONSTRUCTION_TEST_NOT_NAMED_CHARACTER}			Solo i generali possono commissionare forti e torri di guardia
{TMT_FIELD_CONSTRUCTION_TEST_IN_SEA_REGION}				Impossibile costruire un forte o una torre di guardia in mare
{TMT_FIELD_CONSTRUCTION_TEST_FORT_IN_ENEMY_TERRITORY}			Impossibile costruire un forte in territorio nemico
{TMT_FIELD_CONSTRUCTION_TEST_FORT_INVALID_GAME_TILE}			Posizione non valida per un forte
{TMT_FIELD_CONSTRUCTION_TEST_FORT_NOT_ENOUGH_MONEY}			Non hai denaro sufficiente per costruire un forte
{TMT_FIELD_CONSTRUCTION_TEST_WATCHTOWER_IN_ENEMY_TERRITORY}		Impossibile costruire una torre di guardia in territorio nemico
{TMT_FIELD_CONSTRUCTION_TEST_WATCHTOWER_INVALID_GAME_TILE}		Posizione non valida per una torre di guardia
{TMT_FIELD_CONSTRUCTION_TEST_WATCHTOWER_NOT_ENOUGH_MONEY}		Non hai denaro sufficiente per costruire una torre di guardia
{TMT_NOT_ENOUGH_MONEY_FOR_FORT_OR_WATCHTOWER}				Non hai denaro sufficiente per costruire un forte o una torre di guardia
{TMT_CANNOT_RECRUIT_UNITS_IN_BATTLE}					Non puoi reclutare unità o mercenari dopo aver ingaggiato battaglia
{TMT_COMMAND_LEVEL_9 }					Al suono della voce di quest'uomo le armate marciano e potenti nazioni tremano!
{TMT_ROADS_TOOLTIP}					Strada: consente alle armate di estendere gli spostamenti e aumenta gli introiti commerciali\nL'intensità del traffico indica l'entità dei commerci
{TMT_PAVED_ROADS_TOOLTIP}				Strada lastricata: consente alle armate di compiere spostamenti più rapidi e aumenta gli introiti commerciali\nL'intensità del traffico indica l'entità dei commerci
{TMT_HIGHWAYS_TOOLTIP}					Arteria consolare: consente alle armate di percorrere lunghe distanze e aumenta gli introiti commerciali\nL'intensità del traffico indica l'entità dei commerci

¬****************************************************************************************
¬****************************************************************************************
¬*
¬*			THIS FILE GONE FOR LOCALISATION!!!
¬*		ALL CHANGES & ADDITIONS MADE POST THE DATE SPECIFIED 
¬*			BELOW MUST GO UNDERNEATH THIS DIVIDER!!!
¬*
¬***** Changes made after 21/04/2004 17:30:00
¬*
¬****************************************************************************************
¬****************************************************************************************

{TMT_MANAGEMENT_LEVEL_1}					A quest'uomo non andrebbe affidato nemmeno un deposito di alghe, per non parlare di cose importanti.
{TMT_NO_BODYGUARD_UNIT_TO_VIEW}				Non c'è unità di guardia da vedere per questo personaggio
{TMT_NOT_ENOUGH_INFO_FOR_BODYGUARD}				Non hai informazioni sufficienti su questo personaggio per vedere la sua unità di guardia

¬****************************************************************************************
¬****************************************************************************************
¬*
¬*			THIS FILE GONE FOR LOCALISATION!!!
¬*		ALL CHANGES & ADDITIONS MADE POST THE DATE SPECIFIED 
¬*			BELOW MUST GO UNDERNEATH THIS DIVIDER!!!
¬*
¬***** Changes made after 13/05/2004 09:00:00
¬*
¬****************************************************************************************
¬****************************************************************************************

{TMT_SETTLEMENT_STATUS_AUTOMANAGED}		Questo insediamento è gestito automaticamente
{TMT_PIGS_TOOLTIP}				Suini: consentono l'addestramento di unità di porci incendiari
{TMT_DOGS_TOOLTIP}				Cani: consentono l'addestramento di unità di mastini
{TMT_CAMELS_TOOLTIP}				Dromedari: consentono l'addestramento di unità su dromedario
{TMT_ELEPHANTS_TOOLTIP}				Elefanti: consentono l'addestramento di unità di elefanti
{TMT_CANNOT_ATTACK_SIEGED_SETTLEMENT}	Impossibile assediare un insediamento assediato da una fazione non alleata
{TMT_CANNOT_CONSTRUCT_WHILST_SIEGING}	Impossibile costruire forti o torri di guardia durante un assedio
{TMT_FIELD_CONSTRUCTION_TEST_WATCHTOWER_SIEGING}	Impossibile costruire una torre di guardia durante un assedio
{TMT_FIELD_CONSTRUCTION_TEST_FORT_SIEGING}		Impossibile costruire un forte durante un assedio

¬****************************************************************************************
¬****************************************************************************************
¬*
¬*			THIS FILE GONE FOR LOCALISATION!!!
¬*		ALL CHANGES & ADDITIONS MADE POST THE DATE SPECIFIED 
¬*			BELOW MUST GO UNDERNEATH THIS DIVIDER!!!
¬*
¬***** Changes made after 03/06/2004 16:48:00
¬*
¬****************************************************************************************
¬****************************************************************************************

{TMT_NEGATIVE_COMMAND}			Il potere di comando di quest'uomo è tale da risultare praticamente inesistente.
{TMT_NEGATIVE_INFLUENCE}		Quest'uomo non ha ascendente sulla propria famiglia, non parliamo poi di gente importante
{TMT_NEGATIVE_MANAGEMENT}		Quest'uomo non riuscirebbe a organizzare una pisciata da un birraio
{TMT_NEGATIVE_SUBTERFUGE}		Quest'uomo non riesce nemmeno a pronunciare "sotterfugio", figuriamoci capirne il senso

{TMT_SLAVES_TOOLTIP}					Schiavi - una risorsa preziosa\nDistribuita in tutti gli insediamenti con governatore. La risorsa si esaurisce dopo 7 turni
{TMT_GRAIN_TOOLTIP}					Grano - una risorsa preziosa\nAumenta la crescita demografica nell'insediamento locale

¬****************************************************************************************
¬****************************************************************************************
¬*
¬*			THIS FILE GONE FOR LOCALISATION!!!
¬*		ALL CHANGES & ADDITIONS MADE POST THE DATE SPECIFIED 
¬*			BELOW MUST GO UNDERNEATH THIS DIVIDER!!!
¬*
¬***** Changes made after 17/06/2004 13:01:00
¬*
¬****************************************************************************************
¬****************************************************************************************

{TMT_SLAVES_TOOLTIP}					Schiavi - una risorsa preziosa\nDistribuita in tutti gli insediamenti con governatore. La risorsa si esaurisce dopo %d turni
{TMT_SLAVES_TOOLTIP_SINGLE}				Schiavi - una risorsa preziosa\nDistribuita in tutti gli insediamenti con governatore. La risorsa si esaurisce dopo 1 turno
{TMT_SHOW_GENERAL_UNIT_DETAILS_ARMY}		Mostra i dettagli dell'unità a guardia del generale di questa armata
{TMT_CONSTRUCTION_HELP}					Clicca col sinistro per accodare

¬****************************************************************************************
¬****************************************************************************************
¬*
¬*			THIS FILE GONE FOR LOCALISATION!!!
¬*		ALL CHANGES & ADDITIONS MADE POST THE DATE SPECIFIED 
¬*			BELOW MUST GO UNDERNEATH THIS DIVIDER!!!
¬*
¬*		This particular divider does not denote a changes round.
¬*	This is when the files were locked to be sent for Russian and Polish translation.
¬*
¬*
¬***** Changes made after 01/07/2004 09:00:00
¬*
¬****************************************************************************************
¬****************************************************************************************

¬****************************************************************************************
¬****************************************************************************************
¬*
¬*			THIS FILE GONE FOR LOCALISATION!!!
¬*		ALL CHANGES & ADDITIONS MADE POST THE DATE SPECIFIED 
¬*			BELOW MUST GO UNDERNEATH THIS DIVIDER!!!
¬*
¬*
¬***** Changes made after 07/07/2004 17:15:00
¬*
¬****************************************************************************************
¬****************************************************************************************

¬****************************************************************************************
¬****************************************************************************************
¬*
¬*			THIS FILE GONE FOR LOCALISATION!!!
¬*		ALL CHANGES & ADDITIONS MADE POST THE DATE SPECIFIED 
¬*			BELOW MUST GO UNDERNEATH THIS DIVIDER!!!
¬*
¬*
¬***** Changes made after 15/07/2004 17:00:00
¬*
¬****************************************************************************************
¬****************************************************************************************

{TMT_LCLICK_INFO}		Clicca col sinistro per avere ulteriori informazioni
{TMT_COMMAND_LEVEL_3 }					A quest'uomo manca il carisma per comandare, ma sopperisce a tale mancanza con una voce stentorea e un discreto talento per intimorire i sottoposti.
{TMT_COMMAND_LEVEL_4 }					Quest'uomo ha un certo talento per il comando, benché talvolta difetti in sicurezza.
{TMT_CANNOT_MERGE_AGENT}	Il personaggio selezionato non può essere ricevuto in questo luogo
{TMT_CANNOT_MERGE_AGENTS}	I personaggi selezionati non possono essere ricevuti in questo luogo

¬****************************************************************************************
¬****************************************************************************************
¬*
¬*			THIS FILE GONE FOR LOCALISATION!!!
¬*		ALL CHANGES & ADDITIONS MADE POST THE DATE SPECIFIED 
¬*			BELOW MUST GO UNDERNEATH THIS DIVIDER!!!
¬*
¬*
¬***** Changes made after 22/07/2004 09:00:00
¬*
¬****************************************************************************************
¬****************************************************************************************

{TMT_AUTO_MERGE_AGENTS}		Clicca col destro per unire automaticamente gli agenti
{TMT_GOLD_MINE_TOOLTIP}		Miniera d'oro: una preziosa fonte di lucro
{TMT_SILVER_MINE_TOOLTIP}	Miniera d'argento: una preziosa fonte di lucro
{TMT_NO_WITHDRAW_NAVY}		Ritirata impossibile: le flotte non possono ritirarsi dalla battaglie
{TMT_NO_WITHDRAW_AMBUSH}	Ritirata impossibile: l'imboscata nemica è riuscita
{TMT_NO_WITHDRAW_SIEGE}		Ritirata impossibile: sei sotto assedio
{TMT_NO_WITHDRAW_AP}		Ritirata impossibile: punti movimento esauriti
{TMT_NO_WITHDRAW_RETREAT}	Ritirata impossibile: non hai dove ritirarti
{TMT_ALREADY_CAPITAL}		Questo insediamento è già la capitale
{TMT_NO_GENERAL_UNIT_TO_SHOW}			Nessuna unità di guardia personale da mostrare
{TMT_DOCK_BLOCKADED}				Questo arsenale è soggetto a blocco navale
{TMT_PORT_BLOCKADED}				Questo porto è soggetto a blocco navale
{TMT_CANNOT_ATTACK_FROM_SIEGED_SETTLEMENT}	Sotto assedio è possibile attaccare solo l'armata assediante

¬****************************************************************************************
¬****************************************************************************************
¬*
¬*			THIS FILE GONE FOR LOCALISATION!!!
¬*		ALL CHANGES & ADDITIONS MADE POST THE DATE SPECIFIED 
¬*			BELOW MUST GO UNDERNEATH THIS DIVIDER!!!
¬*
¬*
¬***** Changes made after 29/07/2004 09:00:00
¬*
¬****************************************************************************************
¬****************************************************************************************

{TMT_CURSOR_AUTO_MERGE}		Clicca col destro per unire le unità 

¬****************************************************************************************
¬****************************************************************************************
¬*
¬*			THIS FILE GONE FOR LOCALISATION!!!
¬*		ALL CHANGES & ADDITIONS MADE POST THE DATE SPECIFIED 
¬*			BELOW MUST GO UNDERNEATH THIS DIVIDER!!!
¬*
¬*
¬***** Changes made after 05/08/2004 12:00:00
¬*
¬****************************************************************************************
¬****************************************************************************************

¬****************************************************************************************
¬****************************************************************************************
¬*
¬*			THIS FILE GONE FOR LOCALISATION!!!
¬*		ALL CHANGES & ADDITIONS MADE POST THE DATE SPECIFIED 
¬*			BELOW MUST GO UNDERNEATH THIS DIVIDER!!!
¬*
¬*
¬***** Changes made after 12/08/2004 09:53:00
¬*
¬****************************************************************************************
¬****************************************************************************************

¬****************************************************************************************
¬****************************************************************************************
¬*
¬*			THIS FILE GONE FOR LOCALISATION!!!
¬*		ALL CHANGES & ADDITIONS MADE POST THE DATE SPECIFIED 
¬*			BELOW MUST GO UNDERNEATH THIS DIVIDER!!!
¬*
¬*
¬***** Changes made after 19/08/2004 16:05:00
¬*
¬****************************************************************************************
¬****************************************************************************************

{TMT_SETTLEMENT_AUTOMANAGED_BUILDING}		Impossibile aggiungere questa struttura giacché la costruzione è gestita automaticamente
{TMT_SETTLEMENT_AUTOMANAGED_TRAINING}		Impossibile aggiungere questa unità giacché il reclutamento è gestito automaticamente
{TMT_CANNOT_RECRUIT_MERCS_IN_BATTLE}		Impossibile reclutare mercenari una volta ingaggiato battaglia
{TMT_CANNOT_CHANGE_TAX_LEVEL_AS_AUTOMANAGED}	Impossibile cambiare il livello di tassazione nell'insediamento giacché le tasse della fazione vengono gestite automaticamente. Per cambiarlo, accedi alla pergamena di riepilogo della fazione
{TMT_CANNOT_DESTROY_THIS_BUILDING}			Questa struttura non può essere distrutta
{TMT_RECOUP_AMOUNT}					%d denari verranno recuperati.
{TMT_CANNOT_LEAVE_ZOC}					Impossibile spostarsi all'interno di una zona di controllo nemica

¬****************************************************************************************
¬****************************************************************************************
¬*
¬*			THIS FILE GONE FOR LOCALISATION!!!
¬*		ALL CHANGES & ADDITIONS MADE POST THE DATE SPECIFIED 
¬*			BELOW MUST GO UNDERNEATH THIS DIVIDER!!!
¬*
¬*
¬***** Changes made after 01/09/2004 09:00:00
¬*
¬****************************************************************************************
¬****************************************************************************************

¬****************************************************************************************
¬****************************************************************************************
¬*
¬*			THIS FILE GONE FOR LOCALISATION!!!
¬*		ALL CHANGES & ADDITIONS MADE POST THE DATE SPECIFIED 
¬*			BELOW MUST GO UNDERNEATH THIS DIVIDER!!!
¬*
¬*
¬***** Changes made after 01/09/2004 09:00:00
¬*
¬****************************************************************************************
¬****************************************************************************************

¬****************************************************************************************
¬****************************************************************************************
¬*
¬*			THIS FILE GONE FOR LOCALISATION!!!
¬*		ALL CHANGES & ADDITIONS MADE POST THE DATE SPECIFIED 
¬*			BELOW MUST GO UNDERNEATH THIS DIVIDER!!!
¬*
¬*
¬***** Changes made after 03/09/2004 09:00:00
¬*
¬****************************************************************************************
¬****************************************************************************************

{TMT_CAN_ONLY_SALLY_OUT_ONCE_PER_TURN}		Si può effettuare una sola sortita per turno
{TMT_CANNOT_FLEE}						Questa armata non può fuggire dalla battaglia. Se perde, tutte le unità verranno annientate
{TMT_LOYALTY_TOOLTIP_REVOLTING}			Fedeltà: potenziale rivolta
{TMT_LOYALTY_TOOLTIP_RIOTING}				fedeltà: potenziali tumulti


¬+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
¬*******************************************************************************************************
¬*******************************************************************************************************
¬*
¬*			EXPANSION PACK TEXT BEGINS HERE!!!
¬*		ALL TEXT BELOW THIS LINE SHOULD BE EXPANSION ADDITIONS/CHANGES ONLY!!!
¬*
¬*¬***** Changes made after 05/01/2005 15:18:00
¬*
¬*******************************************************************************************************
¬*******************************************************************************************************
¬+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++

{TMT_LOYALTY_TITLE}	Lealtà
{TMT_LOYALTY_LEVEL_0}	Per quest'uomo, la lealtà è una malattia che affligge i cani e i pazzi smidollati.
{TMT_LOYALTY_LEVEL_1}	Per quest'uomo la lealtà è un atteggiamento utile per farsi adottare e una debolezza da sfruttare.
