¬ Text file converted with loc_parser
{baggage_train}		Carro delle salmerie
{practice_range}	Campo di lancio
{archery_range}		Campo di tiro
{catapult_range}	Campo d'armi pesanti
{siege_engineer}	Campo d'assedio
{academy}		Accademia
{city_barracks}		Caserma urbana
{ludus_magna}		Scuola di retorica
{militia_barracks}	Caserma della milizia
{scriptorium}		Scrittoio
{camel_stables}		Stalle dei dromedari
{governor's_villa}	Villa del governatore
{pharoah's_palace}	Palazzo del faraone
{bazaar}		Bazar
{tomb}			Tomba
{huge_city}		Metropoli
{pyramid}		Piramide
{governor's_house}	Casa del governatore
{elite_cavalry_stables}	Scuderie nobiliari
{ruined_temple}		Tempio in rovina
{bath_house}		Terme pubbliche
{circus_maximus}	Circo Massimo
{colosseum}		Colosseo
{large_city}		Città
{hippodrome}		Ippodromo
{barracks}		Presidio
{country_villa}		Villa di campagna
{farm}			Coltivazioni
{governor's_house}	Casa del governatore
{imperial_palace}	Palazzo imperiale
{sarcophagus}		Sarcofago
{arena}			Arena
{amphitheatre}		Anfiteatro
{onager}	Onagro
{siege_tower}	Torre d'assedio
{ballista}	Balista
{sphinx}	Sfinge
{great_sphinx}	La Sfinge
{temple_of_zeus}	Tempio di Zeus a Olimpia
{temple_to_artemis}	Tempio di Artemide a Efeso
{mausoleum}		Mausoleo di Alicarnasso
{pharos}		Faro di Alessandria
{colossus}		Colosso di Rodi
{hanging_gardens}	Giardini Pensili di Bablonia
{construction_site}	Sito di costruzione
{wall}		Mura
{road}		Strada


¬****************************************************************************************
¬****************************************************************************************
¬*
¬*			THIS FILE GONE FOR LOCALISATION!!!
¬*		ALL CHANGES & ADDITIONS MADE POST THE DATE SPECIFIED 
¬*			BELOW MUST GO UNDERNEATH THIS DIVIDER!!!
¬*
¬***** Changes made after 30/03/2004 17:30:00
¬*
¬****************************************************************************************
¬****************************************************************************************

{none}					Nulla
{wagon}					Carro
{statue}					Statua	
{triumphal_column}			Colonna trionfale
{triumphal_arch}				Arco di trionfo



¬****************************************************************************************
¬****************************************************************************************
¬*
¬*			THIS FILE GONE FOR LOCALISATION!!!
¬*		ALL CHANGES & ADDITIONS MADE POST THE DATE SPECIFIED 
¬*			BELOW MUST GO UNDERNEATH THIS DIVIDER!!!
¬*
¬***** Changes made after 21/04/2004 17:30:00
¬*
¬****************************************************************************************
¬****************************************************************************************

¬****************************************************************************************
¬****************************************************************************************
¬*
¬*			THIS FILE GONE FOR LOCALISATION!!!
¬*		ALL CHANGES & ADDITIONS MADE POST THE DATE SPECIFIED 
¬*			BELOW MUST GO UNDERNEATH THIS DIVIDER!!!
¬*
¬***** Changes made after 13/05/2004 09:00:00
¬*
¬****************************************************************************************
¬****************************************************************************************

{sewers}				Sistema fognario
{baths}					Terme
{execution_square}			Piazza delle esecuzioni
{secret_police_hq}			Sede della guardia segreta
{secret_police_network}			Rete di informatori
{odeon}					Odeon
{lyceum}				Liceo
{tavern}				Taverna
{bardic_circle}				Circolo dei bardi
{aqueduct}				Acquedotto
{city_plumbing}				Sistema idrico
{grand_bazaar}				Gran bazar
{roman_armourer}			Fabbro loricario
{roman_foundry}				Forgia
{eastern_armourer}			Fabbro loricario
{eastern_foundry}			Forgia
{barbarian_blacksmith}			Armaiolo
{barbarian_armourer}			Fabbro di guerra
{eastern_trader}			Mercante
{urban_barracks_roman}			Caserma provinciale
{urban_barracks_egyptian}		Caserma provinciale
{urban_barracks_eastern}		Caserma provinciale
{royal_cavalry_stables}			Scuderie reali
{temple_city}				Città dei templi
{temple_complex}			Complesso sacro

¬****************************************************************************************
¬****************************************************************************************
¬*
¬*			THIS FILE GONE FOR LOCALISATION!!!
¬*		ALL CHANGES & ADDITIONS MADE POST THE DATE SPECIFIED 
¬*			BELOW MUST GO UNDERNEATH THIS DIVIDER!!!
¬*
¬***** Changes made after 03/06/2004 16:48:00
¬*
¬****************************************************************************************
¬****************************************************************************************

{greek_pantheion}			Pantheion

¬****************************************************************************************
¬****************************************************************************************
¬*
¬*			THIS FILE GONE FOR LOCALISATION!!!
¬*		ALL CHANGES & ADDITIONS MADE POST THE DATE SPECIFIED 
¬*			BELOW MUST GO UNDERNEATH THIS DIVIDER!!!
¬*
¬***** Changes made after 17/06/2004 13:01:00
¬*
¬****************************************************************************************
¬****************************************************************************************

¬****************************************************************************************
¬****************************************************************************************
¬*
¬*			THIS FILE GONE FOR LOCALISATION!!!
¬*		ALL CHANGES & ADDITIONS MADE POST THE DATE SPECIFIED 
¬*			BELOW MUST GO UNDERNEATH THIS DIVIDER!!!
¬*
¬*		This particular divider does not denote a changes round.
¬*	This is when the files were locked to be sent for Russian and Polish translation.
¬*
¬*
¬***** Changes made after 01/07/2004 09:00:00
¬*
¬****************************************************************************************
¬****************************************************************************************

{greek_great_agora}			Grande agorà


¬****************************************************************************************
¬****************************************************************************************
¬*
¬*			THIS FILE GONE FOR LOCALISATION!!!
¬*		ALL CHANGES & ADDITIONS MADE POST THE DATE SPECIFIED 
¬*			BELOW MUST GO UNDERNEATH THIS DIVIDER!!!
¬*
¬*
¬***** Changes made after 07/07/2004 17:15:00
¬*
¬****************************************************************************************
¬****************************************************************************************

¬****************************************************************************************
¬****************************************************************************************
¬*
¬*			THIS FILE GONE FOR LOCALISATION!!!
¬*		ALL CHANGES & ADDITIONS MADE POST THE DATE SPECIFIED 
¬*			BELOW MUST GO UNDERNEATH THIS DIVIDER!!!
¬*
¬*
¬***** Changes made after 15/07/2004 17:00:00
¬*
¬****************************************************************************************
¬****************************************************************************************
{gateway}	Posto di guardia
{tower}	Torre

¬****************************************************************************************
¬****************************************************************************************
¬*
¬*			THIS FILE GONE FOR LOCALISATION!!!
¬*		ALL CHANGES & ADDITIONS MADE POST THE DATE SPECIFIED 
¬*			BELOW MUST GO UNDERNEATH THIS DIVIDER!!!
¬*
¬*
¬***** Changes made after 22/07/2004 09:00:00
¬*
¬****************************************************************************************
¬****************************************************************************************

¬****************************************************************************************
¬****************************************************************************************
¬*
¬*			THIS FILE GONE FOR LOCALISATION!!!
¬*		ALL CHANGES & ADDITIONS MADE POST THE DATE SPECIFIED 
¬*			BELOW MUST GO UNDERNEATH THIS DIVIDER!!!
¬*
¬*
¬***** Changes made after 29/07/2004 09:00:00
¬*
¬****************************************************************************************
¬****************************************************************************************

¬****************************************************************************************
¬****************************************************************************************
¬*
¬*			THIS FILE GONE FOR LOCALISATION!!!
¬*		ALL CHANGES & ADDITIONS MADE POST THE DATE SPECIFIED 
¬*			BELOW MUST GO UNDERNEATH THIS DIVIDER!!!
¬*
¬*
¬***** Changes made after 05/08/2004 12:00:00
¬*
¬****************************************************************************************
¬****************************************************************************************

¬****************************************************************************************
¬****************************************************************************************
¬*
¬*			THIS FILE GONE FOR LOCALISATION!!!
¬*		ALL CHANGES & ADDITIONS MADE POST THE DATE SPECIFIED 
¬*			BELOW MUST GO UNDERNEATH THIS DIVIDER!!!
¬*
¬*
¬***** Changes made after 12/08/2004 09:53:00
¬*
¬****************************************************************************************
¬****************************************************************************************

¬****************************************************************************************
¬****************************************************************************************
¬*
¬*			THIS FILE GONE FOR LOCALISATION!!!
¬*		ALL CHANGES & ADDITIONS MADE POST THE DATE SPECIFIED 
¬*			BELOW MUST GO UNDERNEATH THIS DIVIDER!!!
¬*
¬*
¬***** Changes made after 19/08/2004 16:05:00
¬*
¬****************************************************************************************
¬****************************************************************************************

¬****************************************************************************************
¬****************************************************************************************
¬*
¬*			THIS FILE GONE FOR LOCALISATION!!!
¬*		ALL CHANGES & ADDITIONS MADE POST THE DATE SPECIFIED 
¬*			BELOW MUST GO UNDERNEATH THIS DIVIDER!!!
¬*
¬*
¬***** Changes made after 01/09/2004 09:00:00
¬*
¬****************************************************************************************
¬****************************************************************************************
