¬ Comments are marked with whatever character this is at the start
¬ There must be a comment on the first line if tag delimeters and comments are included in the rest of the file
{strat}					Меню стратегии		¬ Mid line comment, just to test
{strat_ed}					Меню редактора стратегии
{zoom_out}					Мелкий план карты
{display_standards}			Показать штандарты
{pause_battle}				Пауза в игре
{hide_gui}					Переключатель графического интерфейса пользователя
{formation_1}				Строй группы: одиночная линия
{formation_2}				Строй группы: одиночная отсортированная линия
{formation_3}				Строй группы: двойная линия
{formation_4}				Строй группы: двойная отсортированная линия
{formation_5}				Строй группы: три линии, застрельщики впереди
{formation_6}				Строй группы: три линии, пехота впереди
{formation_7}				Строй группы: три линии, кавалерия впереди
{formation_8}				Строй группы: колонна
{fov_up}					Расширить поле зрения
{fov_down}					Сузить поле зрения
{next_army}					Выделить следующую армию
{toggle_character_labels}	Переключать ярлыки персонажей
{toggle_settlement_labels}	Переключать ярлыки поселений
{show_waypoints}			Показать пункты маршрута
{toggle_run}				Переключить на бег
{assign0}					Назначить выбранной группе номер 1
{assign1}					Назначить выбранной группе номер 2
{assign2}					Назначить выбранной группе номер 3
{assign3}					Назначить выбранной группе номер 4
{assign4}					Назначить выбранной группе номер 5
{assign5}					Назначить выбранной группе номер 6
{assign6}					Назначить выбранной группе номер 7
{assign7}					Назначить выбранной группе номер 8
{assign8}					Назначить выбранной группе номер 9
{assign9}					Назначить выбранной группе номер 10
{select0}					Выделить группу соединений 1
{select1}					Выделить группу соединений 2
{select2}					Выделить группу соединений 3
{select3}					Выделить группу соединений 4
{select4}					Выделить группу соединений 5
{select5}					Выделить группу соединений 6
{select6}					Выделить группу соединений 7
{select7}					Выделить группу соединений 8
{select8}					Выделить группу соединений 9
{select9}					Выделить группу соединений 10
{bookmark1}					Закладка камеры 01
{bookmark2}					Закладка камеры 02
{bookmark3}					Закладка камеры 03
{bookmark4}					Закладка камеры 04
{bookmark5}					Закладка камеры 05
{bookmark6}					Закладка камеры 06
{bookmark7}					Закладка камеры 07
{bookmark8}					Закладка камеры 08
{bookmark9}					Закладка камеры 09
{bookmark10}				Закладка камеры 10
{bookmark11}				Закладка камеры 11
{bookmark12}				Закладка камеры 12
{bookmark13}				Закладка камеры 13
{bookmark14}				Закладка камеры 14
{bookmark15}				Закладка камеры 15
{bookmark16}				Закладка камеры 16
{bookmark17}				Закладка камеры 17
{bookmark18}				Закладка камеры 18
{bookmark19}				Закладка камеры 19
{bookmark20}				Закладка камеры 20
{bookmark21}				Закладка камеры 21
{bookmark22}				Закладка камеры 22
{automerge_units}			Автослияние соединений
{accel}						Увеличить скорость камеры
{decel}						Уменьшить скорость камеры
{toggle_overlays}			Переключатель цветных перекрытий
{dec_formation}				Уменьшить ширину построения
{inc_formation}				Увеличить ширину построения
{inc_xp}					Увеличить опыт (- чит включен)
{dec_xp}					Уменьшить опыт (- чит включен)
{toggle_sfx}				Звуковые эффекты вкл./выкл.
{toggle_music}				Музыка вкл./выкл.
{toggle_auto_link_up}		Автоматическое связывание выделенных отрядов вкл./выкл.
{toggle_unit_visibility}	Отображение невидимых отрядов вкл./выкл.
{unit_info_toggle}			Экран информации об отрядах вкл./выкл.
{dec_rotation}				Вращать соединение по часовой стрелке
{inc_rotation}				Вращать соединение против часовой стрелки
{intellizoom}				Закрыть действие
{show_console}				Показать консоль отладки
{toggle_formation_tightness}		Построение соединений (сомкнутое/врассыпную)
{toggle_fire_at_will}			Стрельба по готовности
{toggle_skirmish}				Перестрелка
{toggle_defend}				Режим охраны
{toggle_special_ability}			Особые качества отряда
{order_withdraw}				Отступить
{construction_button}			Открыть свиток строительства
{recruitment_button}			Открыть свиток найма
{diplomacy_overview_button}		Открыть свиток обзора дипломатии
{finances_button}				Открыть свиток обзора финансов
{senate_button}				Открыть свиток обзора Сената
{faction_button}				Открыть свиток обзора фракций

¬****************************************************************************************
¬****************************************************************************************
¬*
¬*			THIS FILE GONE FOR LOCALISATION!!!
¬*		ALL CHANGES & ADDITIONS MADE POST THE DATE SPECIFIED 
¬*			BELOW MUST GO UNDERNEATH THIS DIVIDER!!!
¬*
¬***** Changes made after 22/03/2004 17:30:00
¬*
¬****************************************************************************************
¬****************************************************************************************

{toggle_cam_mode}				Переключатель между камерой TotalWar и камерой реального времени

¬****************************************************************************************
¬****************************************************************************************
¬*
¬*			THIS FILE GONE FOR LOCALISATION!!!
¬*		ALL CHANGES & ADDITIONS MADE POST THE DATE SPECIFIED 
¬*			BELOW MUST GO UNDERNEATH THIS DIVIDER!!!
¬*
¬***** Changes made after 21/04/2004 17:30:00
¬*
¬****************************************************************************************
¬****************************************************************************************

{default}			Установки по умолчанию
{fps}				Установки по FPS

¬****************************************************************************************
¬****************************************************************************************
¬*
¬*			THIS FILE GONE FOR LOCALISATION!!!
¬*		ALL CHANGES & ADDITIONS MADE POST THE DATE SPECIFIED 
¬*			BELOW MUST GO UNDERNEATH THIS DIVIDER!!!
¬*
¬***** Changes made after 13/05/2004 09:00:00
¬*
¬****************************************************************************************
¬****************************************************************************************

{next_brush}		Выбрать следующую кисть
{prev_brush}		Выбрать предыдущую кисть
{battle_replay}		Повтор битвы
{toggle_cam_mode}		Переключатель между камерой TotalWar и камерой реального времени
{toggle_move_fast}	Переключатель скорости камеры
{battle_details_tool}	Установить детали сражения
{edit_armies_tool}	Режим создания армии
{edit_units_tool}		Режим редактуры соединений
{deployment_area_tool}	Режим района размещения
{heights_tool}		Режим установки высоты
{textures_tool}		Режим установки текстур
{place_settlements_tool}	Режим размещения поселений
{place_models_tool}		Режим размещения моделей
{victory_conditions_tool}	Диалог редактуры условий победы
{roads_tool}		Режим редактуры дорог
{update_trees_tool}	Обновить растительность
{options_button}		Показать внутриигровые настройки

¬****************************************************************************************
¬****************************************************************************************
¬*
¬*			THIS FILE GONE FOR LOCALISATION!!!
¬*		ALL CHANGES & ADDITIONS MADE POST THE DATE SPECIFIED 
¬*			BELOW MUST GO UNDERNEATH THIS DIVIDER!!!
¬*
¬***** Changes made after 03/06/2004 16:48:00
¬*
¬****************************************************************************************
¬****************************************************************************************

¬****************************************************************************************
¬****************************************************************************************
¬*
¬*			THIS FILE GONE FOR LOCALISATION!!!
¬*		ALL CHANGES & ADDITIONS MADE POST THE DATE SPECIFIED 
¬*			BELOW MUST GO UNDERNEATH THIS DIVIDER!!!
¬*
¬***** Changes made after 17/06/2004 13:01:00
¬*
¬****************************************************************************************
¬****************************************************************************************

{unit_info_toggle}			Переключатель экрана информации об отрядах

¬****************************************************************************************
¬****************************************************************************************
¬*
¬*			THIS FILE GONE FOR LOCALISATION!!!
¬*		ALL CHANGES & ADDITIONS MADE POST THE DATE SPECIFIED 
¬*			BELOW MUST GO UNDERNEATH THIS DIVIDER!!!
¬*
¬*		This particular divider does not denote a changes round.
¬*	This is when the files were locked to be sent for Russian and Polish translation.
¬*
¬*
¬***** Changes made after 01/07/2004 09:00:00
¬*
¬****************************************************************************************
¬****************************************************************************************

{radar_zoom_in_button}		Радар: увеличить масштаб
{radar_zoom_out_button}		Радар: уменьшить масштаб

¬****************************************************************************************
¬****************************************************************************************
¬*
¬*			THIS FILE GONE FOR LOCALISATION!!!
¬*		ALL CHANGES & ADDITIONS MADE POST THE DATE SPECIFIED 
¬*			BELOW MUST GO UNDERNEATH THIS DIVIDER!!!
¬*
¬*
¬***** Changes made after 07/07/2004 17:15:00
¬*
¬****************************************************************************************
¬****************************************************************************************

{camera}	Камера
{editor}	Редакторы
{misc}	Разное

¬****************************************************************************************
¬****************************************************************************************
¬*
¬*			THIS FILE GONE FOR LOCALISATION!!!
¬*		ALL CHANGES & ADDITIONS MADE POST THE DATE SPECIFIED 
¬*			BELOW MUST GO UNDERNEATH THIS DIVIDER!!!
¬*
¬*
¬***** Changes made after 15/07/2004 17:00:00
¬*
¬****************************************************************************************
¬****************************************************************************************

{default}			Установка стиля Total War
{pause_button}		Контроль скорости: пауза
{play_button}		Контроль скорости: нормальная
{ffwd_button}		Контроль скорости: удвоенная
{ultra_ffwd_button}	Контроль скорости: утроенная
{show_waypoints}			Показать пункты назначения отрядов


¬****************************************************************************************
¬****************************************************************************************
¬*
¬*			THIS FILE GONE FOR LOCALISATION!!!
¬*		ALL CHANGES & ADDITIONS MADE POST THE DATE SPECIFIED 
¬*			BELOW MUST GO UNDERNEATH THIS DIVIDER!!!
¬*
¬*
¬***** Changes made after 22/07/2004 09:00:00
¬*
¬****************************************************************************************
¬****************************************************************************************

¬****************************************************************************************
¬****************************************************************************************
¬*
¬*			THIS FILE GONE FOR LOCALISATION!!!
¬*		ALL CHANGES & ADDITIONS MADE POST THE DATE SPECIFIED 
¬*			BELOW MUST GO UNDERNEATH THIS DIVIDER!!!
¬*
¬*
¬***** Changes made after 29/07/2004 09:00:00
¬*
¬****************************************************************************************
¬****************************************************************************************
{reveal_advice}		Открыть/Продолжить совет
{dismiss_advice}		Убрать совет
{toggle_speed}		Переключатель скорости игры (быстрая/нормальная)

¬****************************************************************************************
¬****************************************************************************************
¬*
¬*			THIS FILE GONE FOR LOCALISATION!!!
¬*		ALL CHANGES & ADDITIONS MADE POST THE DATE SPECIFIED 
¬*			BELOW MUST GO UNDERNEATH THIS DIVIDER!!!
¬*
¬*
¬***** Changes made after 05/08/2004 12:00:00
¬*
¬****************************************************************************************
¬****************************************************************************************

{reset_rally_point}	Переустановить пункты сбора для выбранных поселений
{freelook}			Режим свободного взгляда

¬****************************************************************************************
¬****************************************************************************************
¬*
¬*			THIS FILE GONE FOR LOCALISATION!!!
¬*		ALL CHANGES & ADDITIONS MADE POST THE DATE SPECIFIED 
¬*			BELOW MUST GO UNDERNEATH THIS DIVIDER!!!
¬*
¬*
¬***** Changes made after 12/08/2004 09:53:00
¬*
¬****************************************************************************************
¬****************************************************************************************

¬****************************************************************************************
¬****************************************************************************************
¬*
¬*			THIS FILE GONE FOR LOCALISATION!!!
¬*		ALL CHANGES & ADDITIONS MADE POST THE DATE SPECIFIED 
¬*			BELOW MUST GO UNDERNEATH THIS DIVIDER!!!
¬*
¬*
¬***** Changes made after 19/08/2004 16:05:00
¬*
¬****************************************************************************************
¬****************************************************************************************

{rot_l}		Камера: повернуть/сдвинуть влево
{rot_r}		Камера: повернуть/сдвинуть вправо
{step_l}		Камера: сдвинуть/повернуть влево
{step_r}		Камера: сдвинуть/повернуть вправо

{toggle_auto_link_up}		Отключить контроль искусственного интеллекта над группами отрядов
{screen_grab}	Снять скриншот
{speedup_ai}				Ускорение анимации

¬****************************************************************************************
¬****************************************************************************************
¬*
¬*			THIS FILE GONE FOR LOCALISATION!!!
¬*		ALL CHANGES & ADDITIONS MADE POST THE DATE SPECIFIED 
¬*			BELOW MUST GO UNDERNEATH THIS DIVIDER!!!
¬*
¬*
¬***** Changes made after 01/09/2004 09:00:00
¬*
¬****************************************************************************************
¬****************************************************************************************

¬****************************************************************************************
¬****************************************************************************************
¬*
¬*			THIS FILE GONE FOR LOCALISATION!!!
¬*		ALL CHANGES & ADDITIONS MADE POST THE DATE SPECIFIED 
¬*			BELOW MUST GO UNDERNEATH THIS DIVIDER!!!
¬*
¬*
¬***** Changes made after 03/09/2004 09:00:00
¬*
¬****************************************************************************************
¬****************************************************************************************

{toggle_hires_radar}	Переключение полноэкранного радара
{disband}			Распустить все выбранные отряды
{dec_rotation}				Вращать соединение против часовой стрелки
{inc_rotation}				Вращать соединение по часовой стрелке
{global_chat}		Быстрый чат (общий)
{general_chat}		Направить сообщение/Быстрый чат (командный)
{toggle_radar}		Переключение обзора радара
{toggle_buttons}		Переключение видимости кнопки
{toggle_cards}		Переключение видимости карточки соединения
{show_multi_turn_paths}	Показать все многоходовые маршруты
{select_next_selected}	Показать следующий объект выбранного типа
{select_prev_selected}	Показать предыдущий объект выбранного типа


¬+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
¬*******************************************************************************************************
¬*******************************************************************************************************
¬*
¬*			EXPANSION PACK TEXT BEGINS HERE!!!
¬*		ALL TEXT BELOW THIS LINE SHOULD BE EXPANSION ADDITIONS/CHANGES ONLY!!!
¬*
¬*¬***** Changes made after 05/01/2005 15:18:00
¬*
¬*******************************************************************************************************
¬*******************************************************************************************************
¬+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
