¬ Strings that only appear in battle
{BMT_TURTLE}										Особая способность: Строй 'Черепаха'
{BMT_CONCERNED_ARMY_DESTRUCTION}						В отчаянии из-за проигранной битвы
{BMT_CONCERNED_GENERAL_JUST_DIED}						Паникуют из-за смерти военачальника
{BMT_CONCERNED_FLANKS_EXPOSED}						Озабочены неприкрытыми флангами
{BMT_CONCERNED_FATIGUE}								Подавлены из-за усталости
{BMT_CONCERNED_CASUALTIES}							Подавлены из-за понесенных потерь
{BMT_CONCERNED_ATTACKED_BY_FIRE}						Паникуют из-за огня противника
{BMT_CONCERNED_ATTACKED_BY_ARTILLERY}					Паникуют из-за артиллерийского огня
{BMT_CONCERNED_FIGHTING_CAVALRY}						Озабочены необходимостью биться с конным отрядом
{BMT_CONCERNED_FRIENDS_ROUTING}						Подавлены, видя, как друзья отступают
{BMT_CONCERNED_ENEMY_NUMBERS}							Поражены количеством врагов
{BMT_CONCERNED_SURPRISED}								Потрясены неожиданным появлением противника
{BMT_CONCERNED_PANIC}									Бегут в панике, забыв обо всем
{BMT_CONCERNED_FEAR_PIGS}								Испуганы свиньями
{BMT_CONCERNED_FEAR_DOGS}								Испуганы собаками
{BMT_CONCERNED_FEAR_ELEPHANTS}						Испуганы слонами
{BMT_CONCERNED_FEAR_CHARIOTS}							Испуганы колесницами
{BMT_CONCERNED_FEAR_ENEMY_UNIT}						Устрашены близостью противника
{BMT_DESTROY_OR_ROUT_ENEMY}							Уничтожить или обратить в бегство всех врагов
{BMT_ACHIEVE_BALANCE_OF_STRENGTH_OF_X_PERCENT}		Достигнуть баланса сил в %d%%
{BMT_DESTROY_ENEMY_STRENGTH_X_PERCENT}				Уничтожить %d%% сил противника
{BMT_WITH_MIN_X_ALLIES}								С как минимум %d союзных солдат
{BMT_WITH_MAX_X_ENEMY}								И максимум %d вражеских солдат
{BMT_LOCATION}										Участок
{BMT_DROP_SIEGE_EQUIPMENT}							Бросить осадное оборудование
{BMT_AUTODEPLOY_SIEGE}								Автоматически разместить осадное оборудование
{BMT_PAUSED}											ПАУЗА
{BMT_WAITING_TO_DEPLOY}								Ждем, когда другие игроки начнут фазу размещения
{BMT_WAITING_TO_END_DEPLOYMENT}						Ждем, когда другие игроки закончат фазу размещения
{BMT_WAITING_TO_END_BATTLE}							Ждем, когда другие игроки закончат битву
{BMT_SELECT_NEXT_ARMY}								Переключаться вперед по списку войск
{BMT_SELECT_PREV_ARMY}								Переключаться назад по списку войск
{BMT_PERCENTAGE_ALLIES_KILLED}						Процент убитых союзников:
{BMT_PERCENTAGE_ENEMIES_KILLED}						Процент убитых противников:
{BMT_EXIT_BATTLE}										Выйти из битвы
{BMT_RETURN_TO_CAMPAIGN}								Вернуться на стратегическую карту
{BMT_LINK_UNITS}									Разрешить состыковку отрядов
{BMT_UNLINK_UNITS}									Запретить состыковку отрядов
{BMT_ENABLE_AI_GROUPING}								Отдать группу под управление ИИ
{BMT_DISABLE_AI_GROUPING}								Отключить ИИ группы
{BMT_BATTLE_RESOLUTION_AUTO_RESOLVE_QUITTER_LOSES}	Если вы прервете битву сейчас, вы ее проиграете
{BMT_BATTLE_RESOLUTION_SUCCESSFUL_SALLY_OUT}			Ваша вылазка была успешной. Вы можете покинуть битву
{BMT_BATTLE_RESOLUTION_SUCCESSFUL_WITHDRAW}			Вы успешно отступили с поля боя. Вы можете покинуть битву
{BMT_BATTLE_RESOLUTION_QUIT_PROLOGUE}					Если вы прерветесь сейчас, вы прервете все обучение.  Вы уверены, что хотите выйти?
{BMT_CONDITIONS_COMPLETE}								Победа
{BMT_CONDITIONS_COMPLETE_CONTINUE}					Вы выполнили задачи этой битвы! Хотите ли вы продолжить бой и перебить неприятелей как бессмысленных животных, коими они и являются?
{BMT_SAVE_REPLAY}										Сохранить запись битвы
{BMT_FLAMING_AMMO_SPECIAL}							Особая способность: стрельба огненными стрелами
{BMT_WARCRY_SPECIAL}									Особая способность: боевой клич
{BMT_CHANT_SPECIAL}									Особая способность: песнь друидов
{BMT_CURSE_SPECIAL}									Особая способность: женский визг
{BMT_BERSERK_SPECIAL}									Особая способность: атака берсерков
{BMT_RALLY_SPECIAL}									Особая способность: сбор войск
{BMT_WEDGE_SPECIAL}								Особая способность: строй клином
{BMT_KILL_ELEPHANTS_SPECIAL}							Особая способность: уничтожение бешеных слонов
{BMT_MOVE_AND_SHOOT_SPECIAL}							Особая способность: стрельба конных лучников по готовности
{BMT_CANTABRIAN_CIRCLE_SPECIAL}						Особая способность: кантабрийский круг\nКонные лучники окружают врага
{BMT_SHIELD_WALL_SPECIAL}								Особая способность: стена щитов
{BMT_STEALTH_SPECIAL}									Особая способность: скрытность\nДвигаются, оставаясь укрытыми
{BMT_FEIGNED_ROUT_SPECIAL}							Особая способность: ложное бегство
{BMT_NO_SPECIAL_ABILITY}								Особая способность: нет
{BMT_ALL_ALLIES}									Все союзники
{BMT_ALL_ENEMIES}									Все враги
{BMT_CONTINUE_BATTLE_AFTER_VICTORY}						Продолжить битву						
{BMT_QUIT_BATTLE_AFTER_VICTORY}						Завершить битву
{BMT_GROUP_FORMATION_1}				Построение группы: отряды выстроены в шеренгу
{BMT_GROUP_FORMATION_2}				Построение группы: отряды выстроены в шеренгу, с тяжелой пехотой в центре, легкой пехотой с флангов и конницей на флангах
{BMT_GROUP_FORMATION_3}				Построение группы: отряды выстроены в две шеренги
{BMT_GROUP_FORMATION_4}				Построение группы: отряды выстроены в две шеренги, с нестреляющей пехотой впереди, стрелками, а также военачальником, позади и конницей на флангах
{BMT_GROUP_FORMATION_5}				Построение группы: отряды выстроены в три шеренги, с пешими стрелками впереди, нестреляющей пехотой позади и конницей в тылу
{BMT_GROUP_FORMATION_6}				Построение группы: отряды выстроены в три шеренги, с нестреляющей пехотой впереди, стрелками позади и нестреляющей конницей в тылу
{BMT_GROUP_FORMATION_7}				Построение группы: отряды выстроены в три шеренги, конница впереди, пешие стрелки позади, нестреляющая пехота в тылу
{BMT_GROUP_FORMATION_8}				Построение группы: отряды построены в колонну шириной в один отряд, впереди конница, позади пехота

¬****************************************************************************************
¬****************************************************************************************
¬*
¬*			THIS FILE GONE FOR LOCALISATION!!!
¬*		ALL CHANGES & ADDITIONS MADE POST THE DATE SPECIFIED 
¬*			BELOW MUST GO UNDERNEATH THIS DIVIDER!!!
¬*
¬***** Changes made after 22/03/2004 17:30:00
¬*
¬****************************************************************************************
¬****************************************************************************************

{BMT_CHAT_ALL_PLAYERS}		Все игроки
{BMT_NETWORK_INFO_PROBLEMS}	В работе сети замечены неполадки
{BMT_NETWORK_INFO_RETRY}	Еще раз
{BMT_ABANDON_GAME}		Бросить игру
{BMT_GROUP_FORMATION_1}		Одинарная шеренга: отряды выстроены в шеренгу
{BMT_GROUP_FORMATION_2}		Упорядоченная одинарная шеренга: отряды выстроены в шеренгу, с тяжелой пехотой в центре, легкой пехотой с флангов и конницей на флангах
{BMT_GROUP_FORMATION_3}		Двойная шеренга: отряды выстроены в две шеренги
{BMT_GROUP_FORMATION_4}		Упорядоченная двойная шеренга: отряды выстроены в две шеренги, с нестреляющей пехотой впереди, стрелками, а также военачальником, позади и конницей на флангах
{BMT_GROUP_FORMATION_5}		Тройная шеренга со стрелками впереди: отряды выстроены в три шеренги, пешими стрелками впереди, нестреляющей пехотой позади и конницей в тылу
{BMT_GROUP_FORMATION_6}		Тройная шеренга с пехотой впереди: отряды выстроены в три шеренги, с нестреляющей пехотой впереди, стрелками позади и нестреляющей конницей в тылу
{BMT_GROUP_FORMATION_7}		Тройная шеренга с конницей впереди: отряды выстроены в три шеренги, конница впереди, пешие стрелки позади, нестреляющая пехота в тылу
{BMT_GROUP_FORMATION_8}		Колонна: отряды построены в колонну шириной в один отряд, впереди конница, позади пехота
{BMT_CANTABRIAN_CIRCLE_SPECIAL}						Особая способность: кантабрийский круг\nКонные стрелки окружают врага

¬****************************************************************************************
¬****************************************************************************************
¬*
¬*			THIS FILE GONE FOR LOCALISATION!!!
¬*		ALL CHANGES & ADDITIONS MADE POST THE DATE SPECIFIED 
¬*			BELOW MUST GO UNDERNEATH THIS DIVIDER!!!
¬*
¬***** Changes made after 21/04/2004 17:30:00
¬*
¬****************************************************************************************
¬****************************************************************************************

{BMT_UNIT_HEAVY_INFANTRY}		Тяжелая пехота
{BMT_UNIT_LIGHT_INFANTRY}		Легкая пехота
{BMT_UNIT_SKIRMISHER_INFANTRY}	Застрельщики
{BMT_UNIT_SPEARMEN}			Копейщики
{BMT_UNIT_MISSILE}			Стрелки
{BMT_UNIT_HEAVY_CAVALRY}		Тяжелая конница
{BMT_UNIT_LIGHT_CAVALRY}		Легкая конница
{BMT_UNIT_SKIRMISHER_CAVALRY}		Конные застрельщики
{BMT_UNIT_MISSILE_CAVALRY}		Конные стрелки
{BMT_UNIT_HEAVY_SIEGE}			Тяжелая артиллерия
{BMT_UNIT_LIGHT_SIEGE}			Легкая артиллерия
{BMT_UNIT_SIEGE}				Артиллерия
{BMT_UNIT_HEAVY_SPECIAL}		Тяжелая
{BMT_UNIT_LIGHT_SPECIAL}		Легкая

¬****************************************************************************************
¬****************************************************************************************
¬*
¬*			THIS FILE GONE FOR LOCALISATION!!!
¬*		ALL CHANGES & ADDITIONS MADE POST THE DATE SPECIFIED 
¬*			BELOW MUST GO UNDERNEATH THIS DIVIDER!!!
¬*
¬***** Changes made after 13/05/2004 09:00:00
¬*
¬****************************************************************************************
¬****************************************************************************************

{BMT_TOGGLE_SPECIAL_FORMATION_OFF}		Отключить особую способность отряда
{BMT_TIME_REMAINING_HOURS}			Осталось времени: %d часов
{BMT_TIME_REMAINING_MINS}			Осталось времени: %d минут
{BMT_NEW_PLAY}					Обычная скорость игры
{BMT_DESTROY_CHARACTER}				Убить персонаж:
{BMT_WAIT}						ЖДАТЬ:


¬****************************************************************************************
¬****************************************************************************************
¬*
¬*			THIS FILE GONE FOR LOCALISATION!!!
¬*		ALL CHANGES & ADDITIONS MADE POST THE DATE SPECIFIED 
¬*			BELOW MUST GO UNDERNEATH THIS DIVIDER!!!
¬*
¬***** Changes made after 03/06/2004 16:48:00
¬*
¬****************************************************************************************
¬****************************************************************************************

{BMT_CANTABRIAN_CIRCLE_SPECIAL} 	Особая способность: кантабрийский круг\nКонные стрелки образуют круг перед противником
{BMT_COM_WIN_BIG}			Победа, похоже, неизбежна. Только дурак мог бы проиграть эту битву
{BMT_COM_WIN}				Победа почти у вас в руках
{BMT_COM_WIN_SLIGHT}			Победа определенно возможна
{BMT_COM_EVEN}				Силы равны
{BMT_COM_LOSE_SLIGHT}			Поражение определенно возможно
{BMT_COM_LOSE}				Поражение практически неизбежно
{BMT_COM_LOSE_BIG}			Поражение, похоже, неминуемо. Только военный гений мог бы выиграть эту битву

¬****************************************************************************************
¬****************************************************************************************
¬*
¬*			THIS FILE GONE FOR LOCALISATION!!!
¬*		ALL CHANGES & ADDITIONS MADE POST THE DATE SPECIFIED 
¬*			BELOW MUST GO UNDERNEATH THIS DIVIDER!!!
¬*
¬***** Changes made after 17/06/2004 13:01:00
¬*
¬****************************************************************************************
¬****************************************************************************************

{BMT_GROUP_FORMATION_2}		Упорядоченная одинарная шеренга: отряды выстроены в шеренгу, со стрелками посередине, тяжелой и легкой пехотой с флангов и конницей на флангах
{BMT_STATE_AI_LINKED}		ИИ подсоединен
{BMT_STATE_RUNNING_AMOK}	В боевом безумии
{BMT_STATE_FIGHTING_TO_DEATH}	Стоят насмерть
{BMT_STATE_WITHDRAWING}		Отступает
{BMT_END_DEPLOYMENT_SALLY}	ЗАКОНЧИТЬ РАЗМЕЩЕНИЕ И НАЧАТЬ БИТВУ
{BMT_NETWORK_PLAYERS_JOINING}	Ожидаем присоединения следующих игроков:

¬****************************************************************************************
¬****************************************************************************************
¬*
¬*			THIS FILE GONE FOR LOCALISATION!!!
¬*		ALL CHANGES & ADDITIONS MADE POST THE DATE SPECIFIED 
¬*			BELOW MUST GO UNDERNEATH THIS DIVIDER!!!
¬*
¬*		This particular divider does not denote a changes round.
¬*	This is when the files were locked to be sent for Russian and Polish translation.
¬*
¬*
¬***** Changes made after 01/07/2004 09:00:00
¬*
¬****************************************************************************************
¬****************************************************************************************

¬****************************************************************************************
¬****************************************************************************************
¬*
¬*			THIS FILE GONE FOR LOCALISATION!!!
¬*		ALL CHANGES & ADDITIONS MADE POST THE DATE SPECIFIED 
¬*			BELOW MUST GO UNDERNEATH THIS DIVIDER!!!
¬*
¬*
¬***** Changes made after 07/07/2004 17:15:00
¬*
¬****************************************************************************************
¬****************************************************************************************

{BMT_ACT_CELEBRATING}	Празднуют
{BMT_NO_TIME_LIMIT}	Для этой битвы нет ограничений по времени

¬****************************************************************************************
¬****************************************************************************************
¬*
¬*			THIS FILE GONE FOR LOCALISATION!!!
¬*		ALL CHANGES & ADDITIONS MADE POST THE DATE SPECIFIED 
¬*			BELOW MUST GO UNDERNEATH THIS DIVIDER!!!
¬*
¬*
¬***** Changes made after 15/07/2004 17:00:00
¬*
¬****************************************************************************************
¬****************************************************************************************

{BMT_TURTLE_OFF}						Отключить особую способность: разойтись из строя 'черепахой'
{BMT_PHALANX_OFF}						Отключить особую способность: разойтись из фаланги
{BMT_FLAMING_AMMO_SPECIAL_OFF}			Отключить особую способность: стрельба обычными стрелами
{BMT_WARCRY_SPECIAL_OFF}				Отключить особую способность: прекратить боевой клич
{BMT_CHANT_SPECIAL_OFF}					Отключить особую способность: прекратить песнь друидов
{BMT_CURSE_SPECIAL_OFF}					Отключить особую способность: прекратить визг
{BMT_BERSERK_SPECIAL_OFF}				Отключить особую способность: прекратить атаку берсерков
{BMT_WEDGE_SPECIAL_OFF}					Отключить особую способность: перестроиться из клина
{BMT_CANTABRIAN_CIRCLE_SPECIAL_OFF}			Отключить особую способность: разойтись кантабрийскому кругу
{BMT_MOVE_AND_SHOOT_SPECIAL_OFF}			Отключить особую способность: прекратить стрельбу конных лучников по готовности


¬****************************************************************************************
¬****************************************************************************************
¬*
¬*			THIS FILE GONE FOR LOCALISATION!!!
¬*		ALL CHANGES & ADDITIONS MADE POST THE DATE SPECIFIED 
¬*			BELOW MUST GO UNDERNEATH THIS DIVIDER!!!
¬*
¬*
¬***** Changes made after 22/07/2004 09:00:00
¬*
¬****************************************************************************************
¬****************************************************************************************

{BMT_1_HOUR_REMAINING}			остается 1 час
{BMT_1_MIN_REMAINING}			остается 1 минута
{BMT_AI_CONTROLLED}			Подкрепление ИИ
{BMT_CHOOSE_ANOTHER_TARGET_WALL}		Эта часть стены пробита
{BMT_CHOOSE_ANOTHER_TARGET_TOWER}		Эта башня полностью уничтожена
{BMT_CHOOSE_ANOTHER_TARGET_GATE}		Ворота полностью уничтожены
{BMT_CHOOSE_ANOTHER_TARGET_BUILDING}	Это здание полностью уничтожено
{BMT_CHOOSE_ANOTHER_TARGET_GATEHOUSE}	Караульное помещение полностью уничтожено
{BMT_ENGINE_DESTROYED}				Это оборудование уничтожено
{BMT_THIS_UNIT_SELECTION_CANNOT_EQUIP}	Выбранный отряд не может использовать это оборудование
{BMT_THESE_UNITS_CANNOT_EQUIP}		Выбранные отряды не могут использовать это оборудование
{BMT_THIS_UNIT_CANNOT_ATTACK_WALLS}		Выбранный отряд не может атаковать стены
{BMT_THESE_UNITS_CANNOT_ATTACK_WALLS}	Выбранные отряды не могут атаковать стены
{BMT_THIS_UNIT_HAS_LEFT_THE_BATTLE}		Этот отряд покинул бой
{BMT_CANNOT_REACH_THIS_POSITION}		Выбранные отряды не могут достичь этой точки
{BMT_CANNOT_REACH_THIS_POSITION_SINGLE}	Выбранный отряд не может достичь этой точки

¬****************************************************************************************
¬****************************************************************************************
¬*
¬*			THIS FILE GONE FOR LOCALISATION!!!
¬*		ALL CHANGES & ADDITIONS MADE POST THE DATE SPECIFIED 
¬*			BELOW MUST GO UNDERNEATH THIS DIVIDER!!!
¬*
¬*
¬***** Changes made after 29/07/2004 09:00:00
¬*
¬****************************************************************************************
¬****************************************************************************************

{BMT_REPLAY_FINISHED}		Повтор закончен
{BMT_PAUSE}				переключение паузы
{BMT_THIS_UNIT_CANNOT_ATTACK_TOWERS}	Выбранный отряд не может атаковать башни
{BMT_THESE_UNITS_CANNOT_ATTACK_TOWERS}	Выбранные отряды не могут атаковать башни
{BMT_THIS_UNIT_CANNOT_ATTACK_GATES}		Выбранный отряд не может атаковать ворота
{BMT_THESE_UNITS_CANNOT_ATTACK_GATES}	Выбранные отряды не могут атаковать ворота
{BMT_THIS_UNIT_CANNOT_ATTACK_BUILDINGS}	Выбранный отряд не может атаковать здания
{BMT_THESE_UNITS_CANNOT_ATTACK_BUILDINGS}	Выбранные отряды не могут атаковать здания
{BMT_CHAT_RETREAT_GENERAL}			Всем войскам немедленно отступить!
{BMT_FIGHT_AGAIN}					Провести эту битву еще раз?

¬****************************************************************************************
¬****************************************************************************************
¬*
¬*			THIS FILE GONE FOR LOCALISATION!!!
¬*		ALL CHANGES & ADDITIONS MADE POST THE DATE SPECIFIED 
¬*			BELOW MUST GO UNDERNEATH THIS DIVIDER!!!
¬*
¬*
¬***** Changes made after 05/08/2004 12:00:00
¬*
¬****************************************************************************************
¬****************************************************************************************

{BMT_ENABLE_AI_GROUPING}					Отдать группу под управление ИИ
{BMT_CANNOT_MOVE_MULTIPLE_UNITS_ON_WALLS}			Нельзя переместить несколько отрядов на стены

¬****************************************************************************************
¬****************************************************************************************
¬*
¬*			THIS FILE GONE FOR LOCALISATION!!!
¬*		ALL CHANGES & ADDITIONS MADE POST THE DATE SPECIFIED 
¬*			BELOW MUST GO UNDERNEATH THIS DIVIDER!!!
¬*
¬*
¬***** Changes made after 12/08/2004 09:53:00
¬*
¬****************************************************************************************
¬****************************************************************************************

{BMT_RETURN_OUTSIDE_PLAYABLE_AREA}		Эта точка находится вне поля боя
{BMT_RETURN_OUTSIDE_DEPLOYMENT_AREA}	Невозможно размещение вне выделенной зоны
{BMT_RETURN_SIEGE_ENGINES_IN_FOREST}	Осадные орудия не могут двигаться по лесу
{BMT_RETURN_SIEGE_ENGINES_IN_SETTLEMENTS}	Нельзя передвигать осадные орудия внутри поселений
{BMT_RETURN_UNITS_ON_SIEGE_TOWER}		Выбранные отряды нельзя направить на осадные башни
{BMT_RETURN_UNIT_ON_SIEGE_TOWER}		Выбранный отряд нельзя направить на осадные башни
{BMT_RETURN_OBSTRUCTION}			Путь прегражден, переход в эту точку невозможен
{BMT_THIS_UNIT_IS_YET_TO_JOIN_BATTLE}	Этот отряд еще не вышел на поле боя
{BMT_PLAZA_PREVIOUS_BANNER_TOOLTIP}		Чтобы захватить это поселение, удерживайте площадь до тех пор, пока обратный отсчет не дойдет до нуля
{BMT_PLAZA_CURRENT_BANNER_TOOLTIP}		Чтобы захватить это поселение, удерживайте площадь до тех пор, пока обратный отсчет не дойдет до нуля
{BMT_ZOOM_TO_UNIT}				Найти этот отряд
{BMT_WITH_MIN_1_ALLY}				По крайней мере с 1 солдатом союзников
{BMT_WITH_MAX_1_ENEMY}				И хотя бы 1 вражеский солдат
{BMT_WITH_MAX_0_ENEMY}				И ни одного вражеского солдата
{BMT_WARCRY_SPECIAL_OFF}			Особая способность: боевой клич активен
{BMT_RALLY_SPECIAL_OFF}				Особая способность: попытка сбора войск

¬****************************************************************************************
¬****************************************************************************************
¬*
¬*			THIS FILE GONE FOR LOCALISATION!!!
¬*		ALL CHANGES & ADDITIONS MADE POST THE DATE SPECIFIED 
¬*			BELOW MUST GO UNDERNEATH THIS DIVIDER!!!
¬*
¬*
¬***** Changes made after 19/08/2004 16:05:00
¬*
¬****************************************************************************************
¬****************************************************************************************

{BMT_GROUP_FORMATION_2}		Упорядоченное линейное построение: отряды выстроены в шеренгу, в центре тяжелая пехота, с флангов легкая пехота и стрелки, на флангах конница

¬****************************************************************************************
¬****************************************************************************************
¬*
¬*			THIS FILE GONE FOR LOCALISATION!!!
¬*		ALL CHANGES & ADDITIONS MADE POST THE DATE SPECIFIED 
¬*			BELOW MUST GO UNDERNEATH THIS DIVIDER!!!
¬*
¬*
¬***** Changes made after 01/09/2004 09:00:00
¬*
