¬ Text file converted with loc_parser
{BET_CREATE_NEW_ARMY}					Редактировать армию
{BET_REGIONS_TOOL}						Редактировать регионы
{BET_EDIT_ROADS}						Редактировать дорогу
{BET_EDIT_FACTION}						Редактировать фракцию
{BET_STARTING_DENARI}					Начальные динарии
{BET_RESOURCES}					Ресурсы
{BET_WATCHTOWERS}					Сторожевые башни
{BET_STARTING_FORMATION}					Выбрать первоначальный строй
{BET_STONE_ROAD}					Каменная дорога
{BET_DIRT_ROAD}					Грязная дорога
{BET_SELECT_BRUSH}					Доступные кисти
{BET_SELECT_TEXTURE}					Доступные текстуры
{BET_CREATE_CHARACTER_TOOLTIP}					Щелкните на ячейку, чтобы разместить нового персонажа\nДважды щелкните на существующем персонаже, чтобы редактировать его
{BET_EDIT_REGIONS_TOOLTIP}					Щелкните на ячейку правой кнопкой, чтобы выбрать цвет для нее\nНанесите цвет левой кнопкой мыши\nЧтобы покрасить более крупные участки, выберите кисть
{BET_ADD_ARMY_TOOLTIP}					Щелкните левой кнопкой на существующем военачальнике,\nименном персонаже или поселении, чтобы добавить (или удалить) отряды к его армии
{BET_ADD_SETTLEMENT_TOOLTIP}					Щелкните левой кнопкой на позиции поселения, чтобы создать новое поселение\nДважды щелкните на существующем поселении, чтобы редактировать его\nСуществующие поселения могут быть передвинуты с помощью инструмента перемещения\nРасположение поселений по умолчанию может быть изменено с помощью инструмента редактирования регионов
{BET_CREATE_NEW_REGION}					Создать новый регион
{BET_REGION_NAME}					Название региона:
{BET_SETTLEMENT_NAME}					Название поселения:
{BET_NEED_TO_SELECT_A_NAME}					Вы должны выбрать название перед тем, как продолжить
{BET_INVALID_CHARACTER_TYPE_FOR_POS}					Персонаж выбранного типа не может быть создан на данной позиции
{BET_NEED_TO_SELECT_CHARACTER_TYPE}					Вы должны выбрать тип персонажа, чтобы иметь возможность создать персонаж
{BET_NEED_TO_SELECT_FACTION_CHARACTER}					Вы должны выбрать фракцию, чтобы создать персонаж
{BET_NEED_TO_SELECT_FACTION_SETTLEMENT}					Вы должны выбрать фракцию, чтобы создать поселение
{BET_NEED_TO_SELECT_PLAN}					Вы должны выбрать план поселения, чтобы создать поселение
{BET_NEED_TO_SELECT_SIZE}					Вы должны выбрать размер поселения, чтобы создать поселение
{BET_RECALCULATE_REGIONS}					Переопределить границы регионов
{BET_SEA_REGION_COLOUR_ERROR}					Этот цвет зарезервирован для обозначения морских регионов, поэтому не может быть использован для наземных ландшафтов
{BET_LAND_REGION_COLOUR_ERROR}					Этот цвет не был зарезервирован для обозначения морских регионов, поэтому не может быть использован для их создания
{BET_SETTLEMENT_COLOUR_ERROR}					Этот цвет зарезервирован для обозначения поселений по умолчанию на карте регионов, поэтому не может быть использован в качестве цвета региона
{BET_PORT_COLOUR_ERROR}					Этот цвет зарезервирован для обозначения портов по умолчанию на карте регионов, поэтому не может быть использован в качестве цвета региона
{BET_CREATE_CHARACTER_MODE_HELP}					Щелкните левой кнопкой на карте, чтобы создать новый персонаж.  Дважды щелкните на существующем персонаже, чтобы вернуться к редактированию его свойств.  Первый размещенный член семьи станет лидером фракции
{BET_ADD_UNIT_MODE_HELP}					Щелкните левой кнопкой на военачальнике или адмирале, чтобы добавить отряды в его армию.  Щелкните на поселении, чтобы добавить отряды в его гарнизон
{BET_ADD_SETTTLEMENT_MODE_HELP}					На карте показаны возможные места для размещения поселений и портов.  Чтобы создать поселение, выберите место и щелкните на нем.  Размещение поселения может быть передвинуто с помощью инструмента перемещения или в режиме редактирования региона
{BET_ADD_RESOURCE_MODE_HELP}					Выберите ресурс (и его уровень), сторожевую башню или форт из меню и разместите на карте с помощью левой кнопки мыши
{BET_MOVE_MODE_HELP}					Щелкните левой кнопкой на детали, чтобы выбрать ее, затем щелкните еще раз, чтобы поставить ее на выбранное место
{BET_FAMILY_TREE_DISABLED_HELP}					Выберите фракцию вместе с ее лидером из списка сбоку.  (Чтобы создать лидера фракции, добавьте нового члена семьи в режиме персонажей)
{BET_FAMILY_TREE_MODE_HELP}					Чтобы создать родственные связи между семьями, соедините имя из списка и один из объектов в родословной, затем выберите 'добавить как ребенка' или 'добавить как супруга'
{BET_EDIT_REGIONS_MODE_HELP}					Чтобы перекрасить регион, выберите цвет из палитры или щелкните правой кнопкой на существующем регионе и назначьте цвет в появившемся меню.  Выбор цвета несуществующего региона создаст новый регион в первой указанной ячейке.  Вы не можете использовать цвета наземных регионов для обозначения моря и наоборот.  Удаление последней ячейки из региона будет означать удаление этого региона.  Нажмите 'переопределить границы', чтобы изменить береговую линию.
{BET_EDIT_REGION_MODE_PLACE_SETTLEMENT_HELP}					Каждый новый регион требует, чтобы в нем было размещено поселение.
{BET_EDIT_REGION_MODE_PLACE_PORT_HELP}					Новые регионы, граничащие с морем, требуют, чтобы на побережье был расположен порт.
{BET_EDIT_CLIMATE_MODE_HELP}					Выберите тип климата из списка или щелкните правой кнопкой на ячейку, чтобы назначить климат
{BET_EDIT_GROUND_TYPE_MODE_HELP}					Выберите тип почвы из списка или щелкните правой кнопкой на ячейку, чтобы назначить тип почвы. Для областей ниже уровня моря должен быть использован морской тип
{BET_EDIT_RIVERS_MODE_HELP}					Выберите деталь ландшафта из списка и нанесите ее на участок земли левой кнопкой мыши.  Если ячейка не изменила цвет, значит, этот тип деталей не может быть здесь размещен.  Деталь можно убрать правой кнопкой мыши. Реки следует удалять в последовательности, обратной той, в какой они были размещены.
{BET_EDIT_TRADE_ROUTES_MODE_HELP}					Эта деталь еще не закончена!!!
{BET_EDIT_HEIGHTS_MODE_HELP}					Зажмите левую кнопку мыши и ведите курсор вверх или вниз, чтобы установить высоту.  Зажмите shift и левую кнопку, чтобы установить рельеф на той высоте, на которой была зажата кнопка
{BET_TRIUMPH_VALUE}					Цена триумфа:
{BET_DEPLOYMENT_AREA_HELP}					Щелкните мышью, чтобы поставить метки углов.  Участки размещения должны определяться как минимум 3 точками. Удалить метку угла можно щелчком правой кнопки в тот момент, когда курсор подсвечен.  Передвинуть метку можно левой кнопкой мыши в тот момент, когда курсор подсвечен.  Чтобы создать новый участок, выйдите из этого режима и зайдите снова.
{BET_EDIT_TEXTURES_HELP}					Выберите текстуру и кисть из списка.  Нанесите выбранную текстуру левой кнопкой мыши.  Добавлять и удалять растительность можно с помощью соответствующих текстур почвы.  Чтобы увидеть результаты изменений для растительности, нажмите на обновление лесного массива.
{BET_PLACE_SETTLEMENT_HELP}					Выберите свойства поселения из списка.  Чтобы разместить поселение, зажмите левую кнопку и двигайте мышь.  Отпустите левую кнопку, когда контур поселения окажется в нужном месте (разрешенные участки подсвечены зеленым).  Щелкните правой кнопкой, удерживая левую, чтобы повернуть поселение.  Передвигать существующее поселение можно в режиме 'размещения моделей'. Удалить поселение можно, выбрав его в списке фракций и нажав delete.
{BET_PLACE_MODEL_HELP}					Выберите модель из списка.  Используйте левую кнопку мыши, чтобы разместить модель.  Отпустите левую кнопку мыши, когда контур окажется в нужном месте (разрешенные участки подсвечены зеленым).  Щелкните правой кнопкой, удерживая левую, чтобы повернуть модель.  Щелкните правой кнопкой на существующей модели, чтобы удалить ее.
{BET_ADD_UNITS_HELP}					Выберите боевую единицу из списка. Отряды, отмеченные звездой, подходят для военачальников.  В каждой армии должен быть хотя бы один 'командирский отряд'.  Щелкните левой кнопкой на существующий участок размещения, чтобы разместить отряд, зажмите кнопку и двигайте мышь, чтобы изменить ширину строя.  Чтобы передвинуть существующий отряд, щелкните на его флаг и перетащите на новое место. Ширину строя и направление отряда можно изменить, зажав левую и правую кнопку на флаге отряда и передвигая мышь.
{BET_EDIT_ROAD_HELP}					Выберите тип дороги из списка и разместите ячейку левой кнопкой мыши.
{BET_ERROR_UNIT_OVERFLOW}					В армии не может быть больше 20 боевых единиц
{BET_ERROR_UNIT_IN_ALIEN_AREA}					Невозможно разместить отряд на этом участке, поскольку здесь уже размещена другая армия
{BET_ERROR_INVALID_DEPLOYMENT}					Этот отряд размещен в неверном месте и не может переместиться в правильное.  Пожалуйста, передвиньте его вручную, чтобы он не выходил за границы участка размещения и не накладывался на детали ландшафта.
{BET_ERROR_UNIT_CHANGE_ARMY}					Передвинутый отряд изменил принадлежность к армии (и, возможно, фракции), поскольку этот участок размещения принадлежит другой армии.
{BET_ERROR_UNITS_LEFT_IN_DEPLOYMENT_AREA}					Невозможно удалить эту метку для участка размещения, поскольку участок должен быть определен более чем 3 точками, пока внутри него остаются отряды.
{BET_SELECT_AN_ARMY_HELP}					Выберите армию из списка фракций, чтобы определить условие победы
{BET_SELECT_A_SETTLEMENT_HELP}					Выберите поселение из списка фракций, чтобы определить условие победы
{BET_SELECT_LOCATION_HELP}					Выберите точку на карте, щелкнув по ней мышью, чтобы определить условие победы
{BET_INVALID_VICTORY_CONDITION}					Из-за неверного условия победы продолжение невозможно
{BET_EDIT_ALLIANCES}					Редактировать союзы
{BET_ALLIED}					В союзе
{BET_AT_WAR}					В состоянии войны
{BET_NEUTRAL}					Нейтральные отношения
{BET_ADD_ALLY}					Добавить выбранную фракцию как союзника данной фракции
{BET_ADD_ENEMY}					Добавить выбранную фракцию как противника данной фракции
{BET_REMOVE_ALLY}					Убрать выбранную фракцию из списка союзников данной фракции
{BET_REMOVE_ENEMY}					Убрать выбранную фракцию из списка противников данной фракции
{BET_EDIT_TRAITS}					Редактировать характеристики персонажа
{BET_TRAIT_LEVEL}					Уровень характеристики
{BET_ADD_TRAIT}					Добавить выбранную характеристику
{BET_REMOVE_TRAIT}					Удалить выбранную характеристику
{BET_EXISTING_TRAITS}					Существующие характеристики
{BET_ADD_FACTION_TO_ALLIANCE}					Добавить фракцию из этой колонки к данному союзу
{BET_RECALCULATING_REGIONS}					Переопределяются границы регионов. Пожалуйста, подождите.
{BET_IS_PLAYABLE}					Играбелен?
{BET_NAMED_CHARACTER_WITH_NO_ARMY}					Этот персонаж именной, но не имеет армии.  Это не допускается.
{BET_STRAT_ERROR_REPORT_END}					Тем не менее, сценарий битвы может быть создан, но возможно, что битва загрузится неверно или возникнут непредвиденные побочные эффекты.\nЛучше устранить все ошибки.
{BET_ADD_RESOURCE}					Добавить в регион выбранный ресурс
{BET_REMOVE_RESOURCE}					Удалить выбранный ресурс из списка для этого региона
{BET_RIVER_SOURCE}					Исток реки
{BET_RIVER}					Река
{BET_CLIFF}					Утес
{BET_VOLCANO}					Вулкан
{BET_FORD}					Ручей
{BET_RECALCULATING_FEATURES}					Переопределяются детали ландшафта
{BET_RECALCULATING_MOUNTAINS}					Переопределяется расположение гор
{BET_SAVING_GAME}					Сохранение игры
{BET_MUST_BE_1_ATTACKER}					Должен быть как минимум 1 атакующий союз.  Назначьте атакующий союз в диалоговом окне 'редактировать союз'
{BET_MUST_BE_1_DEFENDER}					Должен быть как минимум 1 обороняющийся союз.  Назначьте обороняющийся союз в диалоговом окне 'редактировать союз'
{BET_PLAYABLE}					Играбелен
{BET_NONPLAYABLE}					Неиграбелен
{BET_UNLOCKABLE}					Отпирается
{BET_DUPLICATE_CHARACTER_NAME}					Двое (или больше) персонажей названы одним именем
{BET_REGION}					Регион
{BET_SETTLEMENT_PLACEMENT_INVALID}					Поселение в этом регионе размещено в неверной ячейке
{BET_PORT_PLACEMENT_INVALID}					Порт в этом регионе размещен в неверной ячейке
{BET_NO_DEFAULT_FACTION}					Для этого региона не установлено фракции
{BET_NO_REBEL_FACTION}					Для этого региона не установлено восставшей фракции
{BET_TO_FEW_TILES_IN_REGION}					В этом регионе менее 5 ячеек
{BET_TWO_REGIONS_SAME_COLOUR}					У этого региона тот же цветовой идентификатор, что и у другого
{BET_NO_SETTLEMENT_POS_SET}					В этом регионе не выбрано позиции для размещения поселения
{BET_NO_PORT_POS_SET}					Этот регион граничит с морем, однако размещение порта не указано
{BET_INVALID_PLACEMENT_IN_SEA}			Неверное размещение: эта ячейка помечена как морская
{BET_INVALID_PLACEMENT_IN_DENSE_FOREST}		Неверное размещение: эта ячейка помечена как густой лес
{BET_INVALID_PLACEMENT_FLOODED}			Неверное размещение: эта ячейка помечена как покрытая водой
{BET_INVALID_PLACEMENT_TOO_MOUNTAINOUS}		Неверное размещение: эта ячейка помечена как непроходимые горы
{BET_INVALID_PLACEMENT_ON_CLIFF}			Неверное размещение: эта ячейка помечена как утес
{BET_INVALID_PLACEMENT_ON_INTERNAL_BORDER}	Неверное размещение: эта ячейка помечена как внутренняя граница
{BET_INVALID_PLACEMENT_ON_EXISTING_LANDMARK}	Неверное размещение: эта ячейка помечена как содержащая ориентир
{BET_INVALID_PLACEMENT_ON_WALL}			Неверное размещение: эта ячейка помечена как стена
{BET_INVALID_PLACEMENT_IN_RIVER}			Неверное размещение: эта ячейка помечена как река
{BET_INVALID_PLACEMENT_ON_ENEMY_CHARACTER}	Неверное размещение: эта ячейка заперта другим игровым объектом
{BET_INVALID_PLACEMENT_WRONG_REGION}		Неверное размещение: нельзя менять регионы
{BET_INVALID_PLACEMENT_NON_COASTAL}			Неверное размещение: эта ячейка не прибрежная
{BET_EDIT_FORT}						Редактировать свойства форта
{BET_FORTIFICATION_LEVEL}				Уровень фортификации
{BET_GATE_STRENGTH}					Прочность ворот

¬****************************************************************************************
¬****************************************************************************************
¬*
¬*			THIS FILE GONE FOR LOCALISATION!!!
¬*		ALL CHANGES & ADDITIONS MADE POST THE DATE SPECIFIED 
¬*			BELOW MUST GO UNDERNEATH THIS DIVIDER!!!
¬*
¬***** Changes made after 22/03/2004 17:30:00
¬*
¬****************************************************************************************
¬****************************************************************************************


¬****************************************************************************************
¬****************************************************************************************
¬*
¬*			THIS FILE GONE FOR LOCALISATION!!!
¬*		ALL CHANGES & ADDITIONS MADE POST THE DATE SPECIFIED 
¬*			BELOW MUST GO UNDERNEATH THIS DIVIDER!!!
¬*
¬***** Changes made after 21/04/2004 17:30:00
¬*
¬****************************************************************************************
¬****************************************************************************************

¬****************************************************************************************
¬****************************************************************************************
¬*
¬*			THIS FILE GONE FOR LOCALISATION!!!
¬*		ALL CHANGES & ADDITIONS MADE POST THE DATE SPECIFIED 
¬*			BELOW MUST GO UNDERNEATH THIS DIVIDER!!!
¬*
¬***** Changes made after 13/05/2004 09:00:00
¬*
¬****************************************************************************************
¬****************************************************************************************

{BET_EDIT_HEIGHTS_MODE_HELP}				Зажмите левую кнопку мыши и ведите курсор вверх или вниз, чтобы установить высоту.  Зажмите shift и левую кнопку, чтобы установить рельеф на той высоте, на которой была зажата кнопка.  Зажмите ctrl и левую кнопку, чтобы сгладить перепады высот.
{BET_SELECT_ROAD_TYPE}					Выбрать тип дороги
{BET_SELECT_UNIT}						Выбрать отряд
{BET_SELECT_SETTLEMENT_PLAN}				Выбрать план поселения
{BET_SELECT_MODEL}					Выбрать модель
{BET_SELECT_SUBFACTION}					Выбрать изначальную фракцию раба
{BET_INVALID_PLACEMENT_ON_EXISTING_VOLCANO}	Неверное размещение: на этой ячейке расположен вулкан

¬****************************************************************************************
¬****************************************************************************************
¬*
¬*			THIS FILE GONE FOR LOCALISATION!!!
¬*		ALL CHANGES & ADDITIONS MADE POST THE DATE SPECIFIED 
¬*			BELOW MUST GO UNDERNEATH THIS DIVIDER!!!
¬*
¬***** Changes made after 03/06/2004 16:48:00
¬*
¬****************************************************************************************
¬****************************************************************************************

¬****************************************************************************************
¬****************************************************************************************
¬*
¬*			THIS FILE GONE FOR LOCALISATION!!!
¬*		ALL CHANGES & ADDITIONS MADE POST THE DATE SPECIFIED 
¬*			BELOW MUST GO UNDERNEATH THIS DIVIDER!!!
¬*
¬***** Changes made after 17/06/2004 13:01:00
¬*
¬****************************************************************************************
¬****************************************************************************************

¬****************************************************************************************
¬****************************************************************************************
¬*
¬*			THIS FILE GONE FOR LOCALISATION!!!
¬*		ALL CHANGES & ADDITIONS MADE POST THE DATE SPECIFIED 
¬*			BELOW MUST GO UNDERNEATH THIS DIVIDER!!!
¬*
¬*		This particular divider does not denote a changes round.
¬*	This is when the files were locked to be sent for Russian and Polish translation.
¬*
¬*
¬***** Changes made after 01/07/2004 09:00:00
¬*
¬****************************************************************************************
¬****************************************************************************************

¬****************************************************************************************
¬****************************************************************************************
¬*
¬*			THIS FILE GONE FOR LOCALISATION!!!
¬*		ALL CHANGES & ADDITIONS MADE POST THE DATE SPECIFIED 
¬*			BELOW MUST GO UNDERNEATH THIS DIVIDER!!!
¬*
¬*
¬***** Changes made after 07/07/2004 17:15:00
¬*
¬****************************************************************************************
¬****************************************************************************************

¬****************************************************************************************
¬****************************************************************************************
¬*
¬*			THIS FILE GONE FOR LOCALISATION!!!
¬*		ALL CHANGES & ADDITIONS MADE POST THE DATE SPECIFIED 
¬*			BELOW MUST GO UNDERNEATH THIS DIVIDER!!!
¬*
¬*
¬***** Changes made after 15/07/2004 17:00:00
¬*
¬****************************************************************************************
¬****************************************************************************************

¬****************************************************************************************
¬****************************************************************************************
¬*
¬*			THIS FILE GONE FOR LOCALISATION!!!
¬*		ALL CHANGES & ADDITIONS MADE POST THE DATE SPECIFIED 
¬*			BELOW MUST GO UNDERNEATH THIS DIVIDER!!!
¬*
¬*
¬***** Changes made after 22/07/2004 09:00:00
¬*
¬****************************************************************************************
¬****************************************************************************************

¬****************************************************************************************
¬****************************************************************************************
¬*
¬*			THIS FILE GONE FOR LOCALISATION!!!
¬*		ALL CHANGES & ADDITIONS MADE POST THE DATE SPECIFIED 
¬*			BELOW MUST GO UNDERNEATH THIS DIVIDER!!!
¬*
¬*
¬***** Changes made after 29/07/2004 09:00:00
¬*
¬****************************************************************************************
¬****************************************************************************************

¬****************************************************************************************
¬****************************************************************************************
¬*
¬*			THIS FILE GONE FOR LOCALISATION!!!
¬*		ALL CHANGES & ADDITIONS MADE POST THE DATE SPECIFIED 
¬*			BELOW MUST GO UNDERNEATH THIS DIVIDER!!!
¬*
¬*
¬***** Changes made after 05/08/2004 12:00:00
¬*
¬****************************************************************************************
¬****************************************************************************************

¬****************************************************************************************
¬****************************************************************************************
¬*
¬*			THIS FILE GONE FOR LOCALISATION!!!
¬*		ALL CHANGES & ADDITIONS MADE POST THE DATE SPECIFIED 
¬*			BELOW MUST GO UNDERNEATH THIS DIVIDER!!!
¬*
¬*
¬***** Changes made after 12/08/2004 09:53:00
¬*
¬****************************************************************************************
¬****************************************************************************************

¬****************************************************************************************
¬****************************************************************************************
¬*
¬*			THIS FILE GONE FOR LOCALISATION!!!
¬*		ALL CHANGES & ADDITIONS MADE POST THE DATE SPECIFIED 
¬*			BELOW MUST GO UNDERNEATH THIS DIVIDER!!!
¬*
¬*
¬***** Changes made after 19/08/2004 16:05:00
¬*
¬****************************************************************************************
¬****************************************************************************************

¬****************************************************************************************
¬****************************************************************************************
¬*
¬*			THIS FILE GONE FOR LOCALISATION!!!
¬*		ALL CHANGES & ADDITIONS MADE POST THE DATE SPECIFIED 
¬*			BELOW MUST GO UNDERNEATH THIS DIVIDER!!!
¬*
¬*
¬***** Changes made after 01/09/2004 09:00:00
¬*
¬****************************************************************************************
¬****************************************************************************************

¬****************************************************************************************
¬****************************************************************************************
¬*
¬*			THIS FILE GONE FOR LOCALISATION!!!
¬*		ALL CHANGES & ADDITIONS MADE POST THE DATE SPECIFIED 
¬*			BELOW MUST GO UNDERNEATH THIS DIVIDER!!!
¬*
¬*
¬***** Changes made after 03/09/2004 09:00:00
¬*
¬****************************************************************************************
¬****************************************************************************************

{BET_AMBIENT_SETTLEMENT}		Поселения из внешней среды?
{BET_MULTIPLAYER}				Карта для сетевой игры?
{BET_SINGLEPLAYER}			Карта для одиночной игры?
{BET_WALL_CULTURE}			Тип фракции строителя стен
{BET_NUM_SAP_POINTS}			Число очков подкопа
{BET_TIME_TO_REINFORCE}			Присоединится через %d минут (в реальном времени)
{BET_ONE_MIN_TO_REINFORCE}		Присоединится через 1 минуту (в реальном времени)
{BET_ERROR_DELETING_SETTLEMENT_WRONG_MODE}	Нельзя удалять поселения в этом режиме.  Чтобы удалить поселение, выберите его в списке фракции и нажмите клавишу DELETE.


¬+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
¬*******************************************************************************************************
