¬ Text file converted with loc_parser
{Otadinoi}					Восставшие отадины 
{Maezaei}					Восставшие мезеи
{Makatoutai}					Восставшие макатутаи
{Metagonitai}					Восставшие метагоны
{Palmyrans}					Восставшие пальмирцы
{Cypriots}					Восставшие киприоты
{Phoenicians}					Восставшие финикийцы
{Taladousioi}					Восставшие таладусы
{Helots}					Восставшие илоты
{Judeans}					Восставшие иудеи
{Liby-Phoenicians}					Восставшие ливийские финикийцы 
{Cretans}					Восставшие критяне
{Lycians}					Восставшие ликийцы
{Nabataeans}					Восставшие набатеи
{Saraceni}					Восставшие сарацины
{Numidians}					Восставшие нумидийцы
{Marmaridai}					Восставшие мармариды
{Egyptians}					Восставшие египтяне
{Oasitai}					Восставшие жители оазисов
{Chatonoi}					Восставшие хатоны
{Aethiopians}					Восставшие эфиопы
{Gepids}					Восставшие гепиды
{Amazons}					Амазонки
{Saka}					Восставшие саки
{Alans}					Восставшие аланы
{Silures}					Восставшие силуры
{Batavi}					Восставшие батавы
{Venedae}					Восставшие венеды
{Belgae}					Восставшие бельги
{Maeotae}					Восставшие меотийцы
{Alamanni}					Восставшие алеманны
{Redones}					Восставшие редоны
{Treveri}					Восставшие треверы
{Iazyges}					Восставшие язиги
{Senones}					Восставшие сеноны
{Carpi}					Восставшие карпетаны
{Bosphorans}					Восставшие босфорцы
{Allobroges}					Восставшие аллоброги
{Colchians}					Восставшие колхи
{Medes}					Восставшие меды
{Insubres}					Восставшие инсубры
{Veneti}					Восставшие венеты
{Vocontii}					Восставшие воконты
{Odrysae}					Восставшие одрисы
{Ligurians}					Восставшие лигуры
{Paionians}					Восставшие пайоны
{Edones}					Восставшие эдоны
{Sithones}					Восставшие сифоны
{Bithynians}					Восставшие вифинияне
{Galatians}					Восставшие галаты
{Epirots}					Восставшие эпироты
{Thessalians}					Восставшие фессалийцы
{Lucanians}					Восставшие луканы
{Aetolians}					Восставшие этолийцы
{Athenians}					Восставшие афиняне
{Elamites}					Восставшие эламиты
{Achaeans}					Восставшие ахейцы
{Sicani}					Восставшие сицилийцы
{Moors}					Восставшие мавры
{Syracusans}					Восставшие сиракузцы
{Poeni}					Восставшие пуны
{Rhodians}					Восставшие родосцы
{Gaetuli}					Восставшие гетулы
{Libyans}					Восставшие ливийцы
{Judaeans}					Восставшие иудеи
{Volcae}					Восставшие вольки
{Aedui}					Восставшие эдуи
{Pictones}					Восставшие пикты
{Illyrians}					Восставшие иллирийцы
{Trinovantes}					Восставшие тринобанты
{Arverni}					Восставшие арверны
{Suebi}					Восставшие свевы
{Tectosages}					Восставшие тектосаги
{Ausci}					Восставшие авскии
{Bituriges}					Восставшие битуриги
{Seduni}					Восставшие седуны
{slave_uprising}					Восстание рабов
{gladiator_uprising}					Восстание гладиаторов
{brigands}					Бриганды
{pirates}					Пираты


¬****************************************************************************************
¬****************************************************************************************
¬*
¬*			THIS FILE GONE FOR LOCALISATION!!!
¬*		ALL CHANGES & ADDITIONS MADE POST THE DATE SPECIFIED 
¬*			BELOW MUST GO UNDERNEATH THIS DIVIDER!!!
¬*
¬***** Changes made after 22/03/2004 17:30:00
¬*
¬****************************************************************************************
¬****************************************************************************************

¬****************************************************************************************
¬****************************************************************************************
¬*
¬*			THIS FILE GONE FOR LOCALISATION!!!
¬*		ALL CHANGES & ADDITIONS MADE POST THE DATE SPECIFIED 
¬*			BELOW MUST GO UNDERNEATH THIS DIVIDER!!!
¬*
¬***** Changes made after 21/04/2004 17:30:00
¬*
¬****************************************************************************************
¬****************************************************************************************

¬****************************************************************************************
¬****************************************************************************************
¬*
¬*			THIS FILE GONE FOR LOCALISATION!!!
¬*		ALL CHANGES & ADDITIONS MADE POST THE DATE SPECIFIED 
¬*			BELOW MUST GO UNDERNEATH THIS DIVIDER!!!
¬*
¬***** Changes made after 13/05/2004 09:00:00
¬*
¬****************************************************************************************
¬****************************************************************************************

¬****************************************************************************************
¬****************************************************************************************
¬*
¬*			THIS FILE GONE FOR LOCALISATION!!!
¬*		ALL CHANGES & ADDITIONS MADE POST THE DATE SPECIFIED 
¬*			BELOW MUST GO UNDERNEATH THIS DIVIDER!!!
¬*
¬***** Changes made after 03/06/2004 16:48:00
¬*
¬****************************************************************************************
¬****************************************************************************************

¬****************************************************************************************
¬****************************************************************************************
¬*
¬*			THIS FILE GONE FOR LOCALISATION!!!
¬*		ALL CHANGES & ADDITIONS MADE POST THE DATE SPECIFIED 
¬*			BELOW MUST GO UNDERNEATH THIS DIVIDER!!!
¬*
¬***** Changes made after 17/06/2004 13:01:00
¬*
¬****************************************************************************************
¬****************************************************************************************

¬****************************************************************************************
¬****************************************************************************************
¬*
¬*			THIS FILE GONE FOR LOCALISATION!!!
¬*		ALL CHANGES & ADDITIONS MADE POST THE DATE SPECIFIED 
¬*			BELOW MUST GO UNDERNEATH THIS DIVIDER!!!
¬*
¬*		This particular divider does not denote a changes round.
¬*	This is when the files were locked to be sent for Russian and Polish translation.
¬*
¬*
¬***** Changes made after 01/07/2004 09:00:00
¬*
¬****************************************************************************************
¬****************************************************************************************

¬****************************************************************************************
¬****************************************************************************************
¬*
¬*			THIS FILE GONE FOR LOCALISATION!!!
¬*		ALL CHANGES & ADDITIONS MADE POST THE DATE SPECIFIED 
¬*			BELOW MUST GO UNDERNEATH THIS DIVIDER!!!
¬*
¬*
¬***** Changes made after 07/07/2004 17:15:00
¬*
¬****************************************************************************************
¬****************************************************************************************

¬****************************************************************************************
¬****************************************************************************************
¬*
¬*			THIS FILE GONE FOR LOCALISATION!!!
¬*		ALL CHANGES & ADDITIONS MADE POST THE DATE SPECIFIED 
¬*			BELOW MUST GO UNDERNEATH THIS DIVIDER!!!
¬*
¬*
¬***** Changes made after 15/07/2004 17:00:00
¬*
¬****************************************************************************************
¬****************************************************************************************

¬****************************************************************************************
¬****************************************************************************************
¬*
¬*			THIS FILE GONE FOR LOCALISATION!!!
¬*		ALL CHANGES & ADDITIONS MADE POST THE DATE SPECIFIED 
¬*			BELOW MUST GO UNDERNEATH THIS DIVIDER!!!
¬*
¬*
¬***** Changes made after 22/07/2004 09:00:00
¬*
¬****************************************************************************************
¬****************************************************************************************

¬****************************************************************************************
¬****************************************************************************************
¬*
¬*			THIS FILE GONE FOR LOCALISATION!!!
¬*		ALL CHANGES & ADDITIONS MADE POST THE DATE SPECIFIED 
¬*			BELOW MUST GO UNDERNEATH THIS DIVIDER!!!
¬*
¬*
¬***** Changes made after 29/07/2004 09:00:00
¬*
¬****************************************************************************************
¬****************************************************************************************

¬****************************************************************************************
¬****************************************************************************************
¬*
¬*			THIS FILE GONE FOR LOCALISATION!!!
¬*		ALL CHANGES & ADDITIONS MADE POST THE DATE SPECIFIED 
¬*			BELOW MUST GO UNDERNEATH THIS DIVIDER!!!
¬*
¬*
¬***** Changes made after 05/08/2004 12:00:00
¬*
¬****************************************************************************************
¬****************************************************************************************

¬****************************************************************************************
¬****************************************************************************************
¬*
¬*			THIS FILE GONE FOR LOCALISATION!!!
¬*		ALL CHANGES & ADDITIONS MADE POST THE DATE SPECIFIED 
¬*			BELOW MUST GO UNDERNEATH THIS DIVIDER!!!
¬*
¬*
¬***** Changes made after 12/08/2004 09:53:00
¬*
¬****************************************************************************************
¬****************************************************************************************

¬****************************************************************************************
¬****************************************************************************************
¬*
¬*			THIS FILE GONE FOR LOCALISATION!!!
¬*		ALL CHANGES & ADDITIONS MADE POST THE DATE SPECIFIED 
¬*			BELOW MUST GO UNDERNEATH THIS DIVIDER!!!
¬*
¬*
¬***** Changes made after 19/08/2004 16:05:00
¬*
¬****************************************************************************************
¬****************************************************************************************

¬****************************************************************************************
¬****************************************************************************************
¬*
¬*			THIS FILE GONE FOR LOCALISATION!!!
¬*		ALL CHANGES & ADDITIONS MADE POST THE DATE SPECIFIED 
¬*			BELOW MUST GO UNDERNEATH THIS DIVIDER!!!
¬*
¬*
¬***** Changes made after 01/09/2004 09:00:00
¬*
¬****************************************************************************************
¬****************************************************************************************

¬****************************************************************************************
¬****************************************************************************************
¬*
¬*			THIS FILE GONE FOR LOCALISATION!!!
¬*		ALL CHANGES & ADDITIONS MADE POST THE DATE SPECIFIED 
¬*			BELOW MUST GO UNDERNEATH THIS DIVIDER!!!
¬*
¬*
¬***** Changes made after 03/09/2004 09:00:00
¬*
¬****************************************************************************************
¬****************************************************************************************

¬+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
¬*******************************************************************************************************
¬*******************************************************************************************************
¬*
¬*			EXPANSION PACK TEXT BEGINS HERE!!!
¬*		ALL TEXT BELOW THIS LINE SHOULD BE EXPANSION ADDITIONS/CHANGES ONLY!!!
¬*
¬*¬***** Changes made after 05/01/2005 15:18:00
¬*
¬*******************************************************************************************************
¬*******************************************************************************************************
¬+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
