¬Strings that use a base enumeration and add to it with a faction index to attain the proper string
¬ alemanni, empire_east, empire_west, empire_east_rebels, empire_west_rebels, franks, huns, sarmatians, sassanids, saxons, vandals, goths, 
¬ white_huns, ostrogoths, romano_british, slavs, celts, slave

¬ Faction Names
{ROMANS_JULII}					The House of Julii
{EMT_EMPIRE_EAST_DIPLOMAT}					Roman (Eastern Empire) Diplomat
{EMT_EMPIRE_EAST_ADMIRAL}					Roman (Eastern Empire) Navy
{EMT_EMPIRE_EAST_GENERAL}					Roman (Eastern Empire) Army
{EMT_EMPIRE_EAST_NAMED_CHARACTER}			Roman (Eastern Empire) Family Member

{EMT_EMPIRE_WEST_SPY}						Roman (Western Empire) Spy
{EMT_EMPIRE_WEST_ASSASSIN}					Roman (Western Empire) Assassin
{EMT_EMPIRE_WEST_DIPLOMAT}					Roman (Western Empire) Diplomat
{EMT_EMPIRE_WEST_ADMIRAL}					Roman (Western Empire) Navy
{EMT_EMPIRE_WEST_GENERAL}					Roman (Western Empire) Army
{EMT_EMPIRE_WEST_NAMED_CHARACTER}			Roman (Western Empire) Family Member

{EMT_EMPIRE_EAST_REBELS_SPY}						Roman (Eastern Empire Rebels) Spy
{EMT_EMPIRE_EAST_REBELS_ASSASSIN}					Roman (Eastern Empire Rebels) Assassin
{EMT_EMPIRE_EAST_REBELS_DIPLOMAT}					Roman (Eastern Empire Rebels) Diplomat
{EMT_EMPIRE_EAST_REBELS_ADMIRAL}					Roman (Eastern Empire Rebels) Navy
{EMT_EMPIRE_EAST_REBELS_GENERAL}					Roman (Eastern Empire Rebels) Army
{EMT_EMPIRE_EAST_REBELS_NAMED_CHARACTER}			Roman (Eastern Empire Rebels) Family Member

{EMT_EMPIRE_WEST_REBELS_SPY}						Roman (Western Empire Rebels) Spy
{EMT_EMPIRE_WEST_REBELS_ASSASSIN}					Roman (Western Empire Rebels) Assassin
{EMT_EMPIRE_WEST_REBELS_DIPLOMAT}					Roman (Western Empire Rebels) Diplomat
{EMT_EMPIRE_WEST_REBELS_ADMIRAL}					Roman (Western Empire Rebels) Navy
{EMT_EMPIRE_WEST_REBELS_GENERAL}					Roman (Western Empire Rebels) Army
{EMT_EMPIRE_WEST_REBELS_NAMED_CHARACTER}			Roman (Western Empire Rebels) Family Member

{EMT_FRANKS_SPY}							Frankish Spy
{EMT_FRANKS_ASSASSIN}						Frankish Assassin
{EMT_FRANKS_DIPLOMAT}						Frankish Diplomat
{EMT_FRANKS_ADMIRAL}						Frankish Navy
{EMT_FRANKS_GENERAL}						Frankish Army
{EMT_FRANKS_NAMED_CHARACTER}				Frankish Family Member

{EMT_HUNS_SPY}						Hunnic Spy
{EMT_HUNS_ASSASSIN}					Hunnic Assassin
{EMT_HUNS_DIPLOMAT}					Hunnic Diplomat
{EMT_HUNS_ADMIRAL}					Hunnic Navy
{EMT_HUNS_GENERAL}					Hunnic Army
{EMT_HUNS_NAMED_CHARACTER}			Hunnic Family Member

{EMT_SARMATIANS_SPY}						Sarmatian Spy
{EMT_SARMATIANS_ASSASSIN}					Sarmatian Assassin
{EMT_SARMATIANS_DIPLOMAT}					Sarmatian Diplomat
{EMT_SARMATIANS_ADMIRAL}					Sarmatian Navy
{EMT_SARMATIANS_GENERAL}					Sarmatian Army
{EMT_SARMATIANS_NAMED_CHARACTER}			Sarmatian Family Member

{EMT_SASSANIDS_SPY}							Sassanid Spy
{EMT_SASSANIDS_ASSASSIN}					Sassanid Assassin
{EMT_SASSANIDS_DIPLOMAT}					Sassanid Diplomat
{EMT_SASSANIDS_ADMIRAL}						Sassanid Navy
{EMT_SASSANIDS_GENERAL}						Sassanid Army
{EMT_SASSANIDS_NAMED_CHARACTER}				Sassanid Family Member

{EMT_SAXONS_SPY}							Saxon Spy
{EMT_SAXONS_ASSASSIN}						Saxon Assassin
{EMT_SAXONS_DIPLOMAT}						Saxon Diplomat
{EMT_SAXONS_ADMIRAL}						Saxon Navy
{EMT_SAXONS_GENERAL}						Saxon Army
{EMT_SAXONS_NAMED_CHARACTER}				Saxon Family Member

{EMT_VANDALS_SPY}							Vandal Spy
{EMT_VANDALS_ASSASSIN}						Vandal Assassin
{EMT_VANDALS_DIPLOMAT}						Vandal Diplomat
{EMT_VANDALS_ADMIRAL}						Vandal Navy
{EMT_VANDALS_GENERAL}						Vandal Army
{EMT_VANDALS_NAMED_CHARACTER}				Vandal Family Member

{EMT_GOTHS_SPY}							Gothic Spy
{EMT_GOTHS_ASSASSIN}					Gothic Assassin
{EMT_GOTHS_DIPLOMAT}					Gothic Diplomat
{EMT_GOTHS_ADMIRAL}						Gothic Navy
{EMT_GOTHS_GENERAL}						Gothic Army
{EMT_GOTHS_NAMED_CHARACTER}				Gothic Family Member

{EMT_WHITE_HUNS_SPY}						Hunnic (White) Spy
{EMT_WHITE_HUNS_ASSASSIN}					Hunnic (White) Assassin
{EMT_WHITE_HUNS_DIPLOMAT}					Hunnic (White) Diplomat
{EMT_WHITE_HUNS_ADMIRAL}					Hunnic (White) Navy
{EMT_WHITE_HUNS_GENERAL}					Hunnic (White) Army
{EMT_WHITE_HUNS_NAMED_CHARACTER}			Hunnic (White) Family Member

{EMT_OSTROGOTHS_SPY}						Ostrogoth Spy
{EMT_OSTROGOTHS_ASSASSIN}					Ostrogoth Assassin
{EMT_OSTROGOTHS_DIPLOMAT}					Ostrogoth Diplomat
{EMT_OSTROGOTHS_ADMIRAL}					Ostrogoth Navy
{EMT_OSTROGOTHS_GENERAL}					Ostrogoth Army
{EMT_OSTROGOTHS_NAMED_CHARACTER}			Ostrogoth Family Member

{EMT_ROMANO_BRITISH_SPY}					Romano British Spy
{EMT_ROMANO_BRITISH_ASSASSIN}				Romano British Assassin
{EMT_ROMANO_BRITISH_DIPLOMAT}				Romano British Diplomat
{EMT_ROMANO_BRITISH_ADMIRAL}				Romano British Navy
{EMT_ROMANO_BRITISH_GENERAL}				Romano British Army
{EMT_ROMANO_BRITISH_NAMED_CHARACTER}		Romano British Family Member

{EMT_SLAVS_SPY}							Slavic Spy
{EMT_SLAVS_ASSASSIN}					Slavic Assassin
{EMT_SLAVS_DIPLOMAT}					Slavic Diplomat
{EMT_SLAVS_ADMIRAL}						Slavic Navy
{EMT_SLAVS_GENERAL}						Slavic Army
{EMT_SLAVS_NAMED_CHARACTER}				Slavic Family Member

{EMT_CELTS_SPY}							Celtic Spy
{EMT_CELTS_ASSASSIN}					Celtic Assassin
{EMT_CELTS_DIPLOMAT}					Celtic Diplomat
{EMT_CELTS_ADMIRAL}						Celtic Navy
{EMT_CELTS_GENERAL}						Celtic Army
{EMT_CELTS_NAMED_CHARACTER}				Celtic Family Member

{EMT_BERBERS_SPY}							Berber Spy
{EMT_BERBERS_ASSASSIN}						Berber Assassin
{EMT_BERBERS_DIPLOMAT}						Berber Diplomat
{EMT_BERBERS_ADMIRAL}						Berber Navy
{EMT_BERBERS_GENERAL}						Berber Army
{EMT_BERBERS_NAMED_CHARACTER}					Berber Family Member

{EMT_MOORS_SPY}							Moorish Spy
{EMT_MOORS_ASSASSIN}						Moorish Assassin
{EMT_MOORS_DIPLOMAT}						Moorish Diplomat
{EMT_MOORS_ADMIRAL}						Moorish Navy
{EMT_MOORS_GENERAL}						Moorish Army
{EMT_MOORS_NAMED_CHARACTER}					Moorish Family Member

{EMT_SLAVE_SPY}						Rebel Spy
{EMT_SLAVE_ASSASSIN}					Rebel Assassin
{EMT_SLAVE_DIPLOMAT}					Rebel Diplomat
{EMT_SLAVE_ADMIRAL}					Rebel Navy
{EMT_SLAVE_GENERAL}					Rebel Army
{EMT_SLAVE_NAMED_CHARACTER}					Rebel Family Member

{EMT_ROMANS_JULII_VILLAGE}					Roman (Julii) Village
{EMT_ROMANS_JULII_TOWN}					Roman (Julii) Town
{EMT_ROMANS_JULII_LARGE_TOWN}					Roman (Julii) Large Town
{EMT_ROMANS_JULII_CITY}					Roman (Julii) City
{EMT_ROMANS_JULII_LARGE_CITY}					Roman (Julii) Large City
{EMT_ROMANS_JULII_HUGE_CITY}					Roman (Julii) Huge City
{EMT_ROMANS_BRUTII_VILLAGE}					Roman (Brutii) Village
{EMT_ROMANS_BRUTII_TOWN}					Roman (Brutii) Town
{EMT_ROMANS_BRUTII_LARGE_TOWN}					Roman (Brutii) Large Town
{EMT_ROMANS_BRUTII_CITY}					Roman (Brutii) City
{EMT_ROMANS_BRUTII_LARGE_CITY}					Roman (Brutii) Large City
{EMT_ROMANS_BRUTII_HUGE_CITY}					Roman (Brutii) Huge City
{EMT_ROMANS_SCIPII_VILLAGE}					Roman (Scipii) Village
{EMT_ROMANS_SCIPII_TOWN}					Roman (Scipii) Town
{EMT_ROMANS_SCIPII_LARGE_TOWN}					Roman (Scipii) Large Town
{EMT_ROMANS_SCIPII_CITY}					Roman (Scipii) City
{EMT_ROMANS_SCIPII_LARGE_CITY}					Roman (Scipii) Large City
{EMT_ROMANS_SCIPII_HUGE_CITY}					Roman (Scipii) Huge City
{EMT_ROMANS_SENATE_VILLAGE}					Roman (Senate) Village
{EMT_ROMANS_SENATE_TOWN}					Roman (Senate) Town
{EMT_ROMANS_SENATE_LARGE_TOWN}					Roman (Senate) Large Town
{EMT_ROMANS_SENATE_CITY}					Roman (Senate) City
{EMT_ROMANS_SENATE_LARGE_CITY}					Roman (Senate) Large City
{EMT_ROMANS_SENATE_HUGE_CITY}					Roman (Senate) Huge City
{EMT_MACEDON_VILLAGE}					Macedonian Village
{EMT_MACEDON_TOWN}					Macedonian Town
{EMT_MACEDON_LARGE_TOWN}					Macedonian Large Town
{EMT_MACEDON_CITY}					Macedonian City
{EMT_MACEDON_LARGE_CITY}					Macedonian Large City
{EMT_MACEDON_HUGE_CITY}					Macedonian Huge City
{EMT_EGYPT_VILLAGE}					Egyptian Village
{EMT_EGYPT_TOWN}					Egyptian Town
{EMT_EGYPT_LARGE_TOWN}					Egyptian Large Town
{EMT_EGYPT_CITY}					Egyptian City
{EMT_EGYPT_LARGE_CITY}					Egyptian Large City
{EMT_EGYPT_HUGE_CITY}					Egyptian Huge City
{EMT_SELEUCID_VILLAGE}					Seleucid Village
{EMT_SELEUCID_TOWN}					Seleucid Town
{EMT_SELEUCID_LARGE_TOWN}					Seleucid Large Town
{EMT_SELEUCID_CITY}					Seleucid City
{EMT_SELEUCID_LARGE_CITY}					Seleucid Large City
{EMT_SELEUCID_HUGE_CITY}					Seleucid Huge City
{EMT_CARTHAGE_VILLAGE}					Carthaginian Village
{EMT_CARTHAGE_TOWN}					Carthaginian Town
{EMT_CARTHAGE_LARGE_TOWN}					Carthaginian Large Town
{EMT_CARTHAGE_CITY}					Carthaginian City
{EMT_CARTHAGE_LARGE_CITY}					Carthaginian Large City
{EMT_CARTHAGE_HUGE_CITY}					Carthaginian Huge City
{EMT_PARTHIA_VILLAGE}					Parthian Village
{EMT_PARTHIA_TOWN}					Parthian Town
{EMT_PARTHIA_LARGE_TOWN}					Parthian Large Town
{EMT_PARTHIA_CITY}					Parthian City
{EMT_PARTHIA_LARGE_CITY}					Parthian Large City
{EMT_PARTHIA_HUGE_CITY}					Parthian Huge City
{EMT_PONTUS_VILLAGE}					Pontic Village
{EMT_PONTUS_TOWN}					Pontic Town
{EMT_PONTUS_LARGE_TOWN}					Pontic Large Town
{EMT_PONTUS_CITY}					Pontic City
{EMT_PONTUS_LARGE_CITY}					Pontic Large City
{EMT_PONTUS_HUGE_CITY}					Pontic Huge City
{EMT_GAULS_VILLAGE}					Gallic Village
{EMT_GAULS_TOWN}					Gallic Town
{EMT_GAULS_LARGE_TOWN}					Gallic Large Town
{EMT_GAULS_CITY}					Gallic City
{EMT_GAULS_LARGE_CITY}					Gallic Large City
{EMT_GAULS_HUGE_CITY}					Gallic Huge City
{EMT_GERMANS_VILLAGE}					Germanic Village
{EMT_GERMANS_TOWN}					Germanic Town
{EMT_GERMANS_LARGE_TOWN}					Germanic Large Town
{EMT_GERMANS_CITY}					Germanic City
{EMT_GERMANS_LARGE_CITY}					Germanic Large City
{EMT_GERMANS_HUGE_CITY}					Germanic Huge City
{EMT_BRITONS_VILLAGE}					Briton Village
{EMT_BRITONS_TOWN}					Briton Town
{EMT_BRITONS_LARGE_TOWN}					Briton Large Town
{EMT_BRITONS_CITY}					Briton City
{EMT_BRITONS_LARGE_CITY}					Briton Large City
{EMT_BRITONS_HUGE_CITY}					Briton Huge City
{EMT_ARMENIA_VILLAGE}					Armenian Village
{EMT_ARMENIA_TOWN}					Armenian Town
{EMT_ARMENIA_LARGE_TOWN}					Armenian Large Town
{EMT_ARMENIA_CITY}					Armenian City
{EMT_ARMENIA_LARGE_CITY}					Armenian Large City
{EMT_ARMENIA_HUGE_CITY}					Armenian Huge City
{EMT_DACIA_VILLAGE}					Dacian Village
{EMT_DACIA_TOWN}					Dacian Town
{EMT_DACIA_LARGE_TOWN}					Dacian Large Town
{EMT_DACIA_CITY}					Dacian City
{EMT_DACIA_LARGE_CITY}					Dacian Large City
{EMT_DACIA_HUGE_CITY}					Dacian Huge City
{EMT_GREEK_CITIES_VILLAGE}					Greek Village
{EMT_GREEK_CITIES_TOWN}					Greek Town
{EMT_GREEK_CITIES_LARGE_TOWN}					Greek Large Town
{EMT_GREEK_CITIES_CITY}					Greek City
{EMT_GREEK_CITIES_LARGE_CITY}					Greek Large City
{EMT_GREEK_CITIES_HUGE_CITY}					Greek Huge City
{EMT_NUMIDIA_VILLAGE}					Numidian Village
{EMT_NUMIDIA_TOWN}					Numidian Town
{EMT_NUMIDIA_LARGE_TOWN}					Numidian Large Town
{EMT_NUMIDIA_CITY}					Numidian City
{EMT_NUMIDIA_LARGE_CITY}					Numidian Large City
{EMT_NUMIDIA_HUGE_CITY}					Numidian Huge City
{EMT_SCYTHIA_VILLAGE}					Scythian Village
{EMT_SCYTHIA_TOWN}					Scythian Town
{EMT_SCYTHIA_LARGE_TOWN}					Scythian Large Town
{EMT_SCYTHIA_CITY}					Scythian City
{EMT_SCYTHIA_LARGE_CITY}					Scythian Large City
{EMT_SCYTHIA_HUGE_CITY}					Scythian Huge City
{EMT_SPAIN_VILLAGE}					Spanish Village
{EMT_SPAIN_TOWN}					Spanish Town
{EMT_SPAIN_LARGE_TOWN}					Spanish Large Town
{EMT_SPAIN_CITY}					Spanish City
{EMT_SPAIN_LARGE_CITY}					Spanish Large City
{EMT_SPAIN_HUGE_CITY}					Spanish Huge City
{EMT_THRACE_VILLAGE}					Thracian Village
{EMT_THRACE_TOWN}					Thracian Town
{EMT_THRACE_LARGE_TOWN}					Thracian Large Town
{EMT_THRACE_CITY}					Thracian City
{EMT_THRACE_LARGE_CITY}					Thracian Large City
{EMT_THRACE_HUGE_CITY}					Thracian Huge City
{EMT_SLAVE_VILLAGE}					Rebel Village
{EMT_SLAVE_TOWN}					Rebel Town
{EMT_SLAVE_LARGE_TOWN}					Rebel Large Town
{EMT_SLAVE_CITY}					Rebel City
{EMT_SLAVE_LARGE_CITY}					Rebel Large City
{EMT_SLAVE_HUGE_CITY}					Rebel Huge City
{EMT_ALEMANNI_VILLAGE}		Alemanni Village
{EMT_ALEMANNI_TOWN}			Alemanni Town
{EMT_ALEMANNI_LARGE_TOWN}	Alemanni Large Town
{EMT_ALEMANNI_CITY}			Alemanni City
{EMT_ALEMANNI_LARGE_CITY}	Alemanni Large City
{EMT_ALEMANNI_HUGE_CITY}	Alemanni Huge City
{EMT_EMPIRE_EAST_VILLAGE}		Roman (Eastern Empire) Village
{EMT_EMPIRE_EAST_TOWN}			Roman (Eastern Empire) Town
{EMT_EMPIRE_EAST_LARGE_TOWN}	Roman (Eastern Empire) Large Town
{EMT_EMPIRE_EAST_CITY}			Roman (Eastern Empire) City
{EMT_EMPIRE_EAST_LARGE_CITY}	Roman (Eastern Empire) Large City
{EMT_EMPIRE_EAST_HUGE_CITY}		Roman (Eastern Empire) Huge City
{EMT_EMPIRE_WEST_VILLAGE}		Roman (Western Empire) Village
{EMT_EMPIRE_WEST_TOWN}			Roman (Western Empire) Town
{EMT_EMPIRE_WEST_LARGE_TOWN}	Roman (Western Empire) Large Town
{EMT_EMPIRE_WEST_CITY}			Roman (Western Empire) City
{EMT_EMPIRE_WEST_LARGE_CITY}	Roman (Western Empire) Large City
{EMT_EMPIRE_WEST_HUGE_CITY}		Roman (Western Empire) Huge City
{EMT_EMPIRE_EAST_REBELS_VILLAGE}		Roman (Eastern Empire Rebels) Village
{EMT_EMPIRE_EAST_REBELS_TOWN}			Roman (Eastern Empire Rebels) Town
{EMT_EMPIRE_EAST_REBELS_LARGE_TOWN}		Roman (Eastern Empire Rebels) Large Town
{EMT_EMPIRE_EAST_REBELS_CITY}			Roman (Eastern Empire Rebels) City
{EMT_EMPIRE_EAST_REBELS_LARGE_CITY}		Roman (Eastern Empire Rebels) Large City
{EMT_EMPIRE_EAST_REBELS_HUGE_CITY}		Roman (Eastern Empire Rebels) Huge City
{EMT_EMPIRE_WEST_REBELS_VILLAGE}		Roman (Western Empire Rebels) Village
{EMT_EMPIRE_WEST_REBELS_TOWN}			Roman (Western Empire Rebels) Town
{EMT_EMPIRE_WEST_REBELS_LARGE_TOWN}		Roman (Western Empire Rebels) Large Town
{EMT_EMPIRE_WEST_REBELS_CITY}			Roman (Western Empire Rebels) City
{EMT_EMPIRE_WEST_REBELS_LARGE_CITY}		Roman (Western Empire Rebels) Large City
{EMT_EMPIRE_WEST_REBELS_HUGE_CITY}		Roman (Western Empire Rebels) Huge City
{EMT_FRANKS_VILLAGE}		Frankish Village
{EMT_FRANKS_TOWN}			Frankish Town
{EMT_FRANKS_LARGE_TOWN}		Frankish Large Town
{EMT_FRANKS_CITY}			Frankish City
{EMT_FRANKS_LARGE_CITY}		Frankish Large City
{EMT_FRANKS_HUGE_CITY}		Frankish Huge City
{EMT_HUNS_VILLAGE}		Hunnic Village
{EMT_HUNS_TOWN}			Hunnic Town
{EMT_HUNS_LARGE_TOWN}		Hunnic Large Town
{EMT_HUNS_CITY}			Hunnic City
